wallet,trades,pnl_pct,avg_pnl,win_rate,trades_7d,volume
0x5ef14a5010815e63f75e4827be4da983e18e4669,100,1.48,42.1203,0.2,24,284602
0x482954976e8778433e9446309e37b52648bd7404,100,1.12,15.4924,0.21,76,138492
0x07fd993f0fa3a185f7207adccd29f7a87404689d,100,1.72,8.7343,0.27,100,50692
0x14052f2848cbcb7a6bfba394a79242d35beac3bf,100,5.74,33.8656,0.62,100,58958
0x5ca77826b954ecd94383f81daf62058a46ed9c3b,100,7.28,32.6691,0.32,37,44892
0x721fe4d9f1ac1941c37952651adb62c72a0c5ab6,100,1.01,5.2039,0.27,100,51545
0xca230e816bdb34a46960c2f978a30a563d1ae9e0,100,3.56,194.9582,1.0,100,547616
0xfad17af4900f3d3afa663103f58b41607ee45d70,100,29.67,0.2967,0.36,100,45486
0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,100,4947.86,49.4786,0.53,100,1659393
0x948286ad8526c135f81e30f7d018b3f75933355e,100,284.31,2.8431,0.45,100,118496
0x48ea62a2cc8391fbbe210e8ee89db573a8ec145f,100,62.31,0.6231,0.44,100,191303
0x2343a60ab9745a3d86593c387dc726edab8b08ed,100,3050.34,30.5034,0.18,27,188165
0x48b5c751c2d63ac9134ce31f8d3e08b6836f6ee0,100,193.89,1.9389,0.35,100,40449
0xd02928c445d780ea954fe0b6f0be0f6cb9727678,100,76.66,0.7666,0.53,100,37523
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,100,546.14,5.4614,0.36,100,266881
0x15094c3ec74e8a43c082042815e0c135deebb152,100,112.97,1.1297,0.34,100,48422
0x46b7a6882e3d83e625a54ce3ad665a2d584faa07,100,65.43,0.6543,0.21,1,43102
0xc1914d36f97dc5557e4df26cbdab98e9c988ef37,100,68.06,0.6806,0.46,100,251140
0x891140a93bef082312952b48479a853e90952fc2,100,14261.45,142.6145,0.99,100,65813
0xa4a6e0fd7528a6f5c6ccbb3240ba8a2f825446cf,100,20.38,0.2038,0.27,100,53656
0x4e5ac8bc43cec91f4255e326cbb166b0b1eb4e0a,100,710.78,7.1078,0.67,3,51240
0x2025137a136bea7446deba681cbfc7cf1970840e,100,1445.61,14.4561,0.32,100,641624
