wallet,trades,total_pnl,win_rate,avg_pnl,pnl_std,max_drawdown,max_win,max_loss,profit_factor,largest_win_ratio,max_consec_wins,max_consec_losses,trades_7d,equity_slope,pnl_stability_score,consistency_score,drawdown_duration,recovery_time,martingale_flag,trade_freq_std,inactivity_score,edge_score_raw,skew_ratio,one_big_trade_flag,equity_collapse_flag,first_timestamp,last_timestamp,timespan_hours,symbol_count,fetch_cycles,termination_reason,suspected_truncated,short_span_flag,negative_total_flag
0x07fd993f0fa3a185f7207adccd29f7a87404689d,13818,109475.05,0.38,7.9226,51.5627,-10542.28,570.73,818.39,2.56,0.005,54,28,11600,7.92202,0.1537,0.8765,3477,3477,1,167709.29,3820260,0.1537,0.003,0,0,2026-03-30T09:25:02.527000+00:00,2026-04-07T16:04:11.926000+00:00,198.65,58,28,natural_end,0,0,0
0x5ca77826b954ecd94383f81daf62058a46ed9c3b,34,0.72,0.176,0.0212,0.3153,-0.99,1.64,0.63,1.57,2.275,3,6,34,0.021204,0.0673,0.7879,0,0,1,32660.02,153864,0.0673,0.824,1,1,2026-04-06T16:46:20.461000+00:00,2026-04-06T16:58:04.237000+00:00,0.2,5,16,natural_end,0,1,0
0x482954976e8778433e9446309e37b52648bd7404,855,3261.36,0.234,3.8145,41.0729,-3417.74,268.45,393.04,1.76,0.082,18,22,98,3.814454,0.0929,0.8714,609,609,1,31076376.17,539795459,0.0929,0.036,0,0,2026-01-03T11:45:29.050000+00:00,2026-04-07T16:02:33.999000+00:00,2260.28,28,110,natural_end,0,0,0
0x721fe4d9f1ac1941c37952651adb62c72a0c5ab6,6440,3547.51,0.203,0.5509,24.9576,-2540.3,599.51,599.44,1.25,0.169,47,33,1345,0.550856,0.0221,0.9612,2485,2485,1,2491753.09,81320740,0.0221,0.034,0,0,2026-03-12T11:00:06.001000+00:00,2026-04-07T15:00:48.043000+00:00,628.01,63,42,natural_end,0,0,0
0x2343a60ab9745a3d86593c387dc726edab8b08ed,1101,85.8,0.153,0.0779,201.6051,-6887.51,3609.09,1426.58,1.0,42.064,27,88,27,0.463391,0.0004,0.9043,370,370,1,56185399.4,823680596,0.0004,0.147,1,1,2025-12-16T05:41:15.392000+00:00,2026-04-06T16:35:03.545000+00:00,2674.9,25,128,natural_end,0,0,0
0xca230e816bdb34a46960c2f978a30a563d1ae9e0,10882,115620.59,0.285,10.6249,160.9085,-95763.7,642.7,9375.65,1.87,0.006,790,791,4115,10.621868,0.066,0.7946,935,935,1,3194558.32,179033723,0.066,0.003,0,0,2026-03-20T16:47:48.266000+00:00,2026-04-07T14:07:08.129000+00:00,429.32,2,152,natural_end,1,0,0
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,4383,-7816.04,0.206,-1.7833,91.1399,-23762.33,1987.19,968.57,0.78,0,11,18,4383,-1.783263,-0.0196,0.9009,100,100,1,39462.61,2612424,-0.0196,0.073,0,1,2026-04-07T14:07:02.992000+00:00,2026-04-07T15:25:47.129000+00:00,1.31,85,23,natural_end,1,1,1
0x15094c3ec74e8a43c082042815e0c135deebb152,14995,10784.17,0.328,0.7192,12.3101,-3906.43,150.62,362.61,1.7,0.014,85,59,14995,0.719184,0.0584,0.9771,4381,4381,1,14029.12,205541,0.0584,0.006,0,0,2026-04-06T09:54:21.696000+00:00,2026-04-07T16:09:41.956000+00:00,30.26,42,40,natural_end,0,0,0
0x891140a93bef082312952b48479a853e90952fc2,773,69285.51,0.47,89.632,399.0402,-3423.47,6967.04,2700.63,9.41,0.101,111,60,144,89.118683,0.2246,0.7107,77,77,1,30587792.67,560164286,0.2246,0.09,0,0,2026-02-27T12:15:40.378000+00:00,2026-04-07T11:24:05.387000+00:00,935.14,18,55,natural_end,0,0,0
0xc1914d36f97dc5557e4df26cbdab98e9c988ef37,14256,15093.35,0.411,1.0587,12.8775,-2465.8,288.79,293.08,1.87,0.019,288,57,14256,1.058737,0.0822,0.8077,2063,2063,1,34389.93,809303,0.0822,0.009,0,0,2026-04-05T22:16:04.649000+00:00,2026-04-07T16:10:22.826000+00:00,41.91,62,47,natural_end,0,0,0
