ts,profile,equity
1775672005036,ideal,-0.0916691625
1775672005036,good,-0.09162331875
1775672005036,realistic,-0.09154996875
1775672005036,bad,-0.09136659375
1775672400692,ideal,0.94892564563681
1775672400692,good,0.745782424603835
1775672400692,realistic,0.420753270951075
1775672400692,bad,-0.391819613180825
1775672400692,ideal,0.90481410484276
1775672400692,good,0.70164883244966
1775672400692,realistic,0.3765843966207
1775672400692,bad,-0.4360766929517
1775681276436,ideal,10.28480027704276
1775681276436,good,9.87443293514966
1775681276436,realistic,9.2178451881207
1775681276436,bad,7.5763758205483
1775681810865,ideal,10.00002074434276
1775681810865,good,9.58979582069966
1775681810865,realistic,8.9334359428707
1775681810865,bad,7.2925362482983
1775687714104,ideal,9.67048416484276
1775687714104,good,9.26042404244966
1775687714104,realistic,8.6043278466207
1775687714104,bad,6.9640873570483
1775689232982,ideal,21.22285096624276
1775689232982,good,20.37119034734966
1775689232982,realistic,19.0085333571207
1775689232982,bad,15.6018908815483
1775692336177,ideal,90.59277996784276
1775692336177,good,89.32842185294966
1775692336177,realistic,87.3054488691207
1775692336177,bad,82.2480164095483
1775695617678,ideal,90.54801655720081
1775695617678,good,89.283636065077835
1775695617678,realistic,87.260627277681075
1775695617678,bad,82.203105309189175
1775695617742,ideal,90.51776796844276
1775695617742,good,89.25337235504966
1775695617742,realistic,87.2303393736207
1775695617742,bad,82.1727569200483
1775714192622,ideal,186.56502836944276
1775714192622,good,184.90127125854966
1775714192622,realistic,182.2392598811207
1775714192622,bad,175.5842314375483
1775738214935,ideal,186.25340270704276
1775738214935,good,184.58980144014966
1775738214935,realistic,181.9280394131207
1775738214935,bad,175.2736343455483
1775738215740,ideal,185.94191201764276
1775738215740,good,184.27846652724966
1775738215740,realistic,181.6169537426207
1775738215740,bad,174.9631717810483
1775738679172,ideal,180.56996049217276
1775738679172,good,178.90382956310466
1775738679172,realistic,176.2380200765957
1775738679172,bad,169.5734963603233
1775738679172,ideal,179.85471482164276
1775738679172,good,178.18822634124966
1775738679172,realistic,175.5218447726207
1775738679172,bad,168.8558908510483
1775738757823,ideal,179.69161344844276
1775738757823,good,178.02520653504966
1775738757823,realistic,175.3589554736207
1775738757823,bad,168.6933278200483
1775739843104,ideal,181.347839112442
1775739843104,good,179.669743849547
1775739843104,realistic,176.984791428915
1775739843104,bad,170.272410377335
1775739844312,ideal,187.96638633611356
1775739844312,good,186.24158252689746
1775739844312,realistic,183.4818964321517
1775739844312,bad,176.5826811952873
1775739848600,ideal,205.11334275004276
1775739848600,good,203.26752909064966
1775739848600,realistic,200.3142272356207
1775739848600,bad,192.9309725980483
1775742782259,ideal,205.10475992315152
1775742782259,good,203.25895055603032
1775742782259,realistic,200.3056555686364
1775742782259,bad,192.9224181001516
1775742850530,ideal,205.05980582521963
1775742850530,good,203.214018939643705
1775742850530,realistic,200.260759922722225
1775742850530,bad,192.877612380418525
1775742908750,ideal,205.02522337744276
1775742908750,good,203.17945378654966
1775742908750,realistic,200.2262224411207
1775742908750,bad,192.8431440775483
