ts,profile,equity
1775658095622,ideal,-0.25416495684
1775658095622,good,-0.25403784894
1775658095622,realistic,-0.2538344763
1775658095622,bad,-0.2533260447
1775658095622,ideal,-1.00651255722
1775658095622,good,-1.00600920027
1775658095622,realistic,-1.00520382915
1775658095622,bad,-1.00319040135
1775658128185,ideal,-1.3820385098925
1775658128185,good,-1.38172287837375
1775658128185,realistic,-1.38121786794375
1775658128185,bad,-1.37995534186875
1775658128185,ideal,-2.5261066177605
1775658128185,good,-2.52636290591175
1775658128185,realistic,-2.52677296695375
1775658128185,bad,-2.52779811955875
1775658131640,ideal,-4.0523079979242
1775658131640,good,-4.0518010327347
1775658131640,realistic,-4.0509898884315
1775658131640,bad,-4.0489620276735
1775658206683,ideal,-5.38824534190722
1775658206683,good,-5.38707027442527
1775658206683,realistic,-5.38519016645415
1775658206683,bad,-5.38048989652635
1775658206683,ideal,-5.57508961307772
1775658206683,good,-5.57382110477202
1775658206683,realistic,-5.5717914914829
1775658206683,bad,-5.5667174582601
1775658208103,ideal,-5.85545812306722
1775658208103,good,-5.85432977098527
1775658208103,realistic,-5.85252440765415
1775658208103,bad,-5.84801099932635
1775658208103,ideal,-7.15108541471082
1775658208103,good,-7.15060474673787
1775658208103,realistic,-7.14983567798115
1775658208103,bad,-7.14791300608935
1775658295206,ideal,-8.88918558123402
1775658295206,good,-8.88957378956907
1775658295206,realistic,-8.89019492290515
1775658295206,bad,-8.89174775624535
1775658295206,ideal,-9.24703085097702
1775658295206,good,-9.24759794616957
1775658295206,realistic,-9.24850529847765
1775658295206,bad,-9.25077367924785
1775658320925,ideal,-9.33454952624052
1775658320925,good,-9.33507285334182
1775658320925,realistic,-9.3359101767039
1775658320925,bad,-9.3380034851091
1775658364519,ideal,-9.60751317159072
1775658364519,good,-9.60789998956752
1775658364519,realistic,-9.6085188983304
1775658364519,bad,-9.6100661702376
1775658410740,ideal,-9.77221208028582
1775658410740,good,-9.77268123125037
1775658410740,realistic,-9.77343187279365
1775658410740,bad,-9.77530847665185
1775658430414,ideal,-10.79588496395772
1775658430414,good,-11.24233417535202
1775658430414,realistic,-11.9566529135829
1775658430414,bad,-13.7424497591601
1775658471634,ideal,-11.91880221930108
1775658471634,good,-12.36581277705378
1775658471634,realistic,-13.0810296694581
1775658471634,bad,-14.8690719004689
1775658495054,ideal,-12.17390675000508
1775658495054,good,-12.62104483451778
1775658495054,realistic,-13.3364657697381
1775658495054,bad,-15.1250181077889
1775658605133,ideal,-12.36431100153708
1775658605133,good,-12.81135386487978
1775658605133,realistic,-13.5266224462281
1775658605133,bad,-15.3147938995989
1775658605133,ideal,-12.36623427680508
1775658605133,good,-12.81327617831778
1775658605133,realistic,-13.5285432207381
1775658605133,bad,-15.3167108267889
1775658605133,ideal,-12.40083055616508
1775658605133,good,-12.84785515607778
1775658605133,realistic,-13.5630945159381
1775658605133,bad,-15.3511929155889
1775658605133,ideal,-12.54830381061408
