ts,profile,equity
1775659973664,ideal,-0.15946070636412
1775659973664,good,-0.15954042077442
1775659973664,realistic,-0.1596679638309
1775659973664,bad,-0.1599868214721
1775659992068,ideal,-0.21615363048168
1775659992068,good,-0.21626168568588
1775659992068,realistic,-0.2164345740126
1775659992068,bad,-0.2168667948294
1775659992597,ideal,-0.27284655459924
1775659992597,good,-0.27298295059734
1775659992597,realistic,-0.2732011841943
1775659992597,bad,-0.2737467681867
1775660005602,ideal,-0.32544539436366
1775660005602,good,-0.32560808452281
1775660005602,realistic,-0.32586838877745
1775660005602,bad,-0.32651914941405
1775660043071,ideal,-0.3368029366179
1775660043071,good,-0.33697130441265
1775660043071,realistic,-0.33724069288425
1775660043071,bad,-0.33791416406325
1775660056148,ideal,-0.44027265267315
1775660056148,good,-0.440492744981025
1775660056148,realistic,-0.440844892673625
1775660056148,bad,-0.441725261905125
1775660184304,ideal,-0.51901140177315
1775660184304,good,-0.519192116831025
1775660184304,realistic,-0.519481260923625
1775660184304,bad,-0.520204121155125
1775660184304,ideal,-0.52568019274815
1775660184304,good,-0.525857572743525
1775660184304,realistic,-0.526141380736125
1775660184304,bad,-0.526850900717625
1775660184304,ideal,-0.60441444274815
1775660184304,good,-0.604552447743525
1775660184304,realistic,-0.604773255736125
1775660184304,bad,-0.605325275717625
1775660184304,ideal,-0.66583066704615
1775660184304,good,-0.665937957786525
1775660184304,realistic,-0.666109622971125
1775660184304,bad,-0.666538785932625
1775660190903,ideal,-0.89897065472115
1775660190903,good,-0.898961352149025
1775660190903,realistic,-0.898946468033625
1775660190903,bad,-0.898909257745125
1775660191564,ideal,-1.15829765394615
1775660191564,good,-1.158158661936525
1775660191564,realistic,-1.157936274721125
1775660191564,bad,-1.157380306682625
1775660192246,ideal,-1.16809219464615
1775660192246,good,-1.167948304386525
1775660192246,realistic,-1.167718079971125
1775660192246,bad,-1.167142518932625
1775663118597,ideal,-1.618838886484900664762708384
1775663118597,good,-1.639408952267064647226819845
1775663118597,realistic,-1.672321057518527019169398198
1775663118597,bad,-1.754601320647182949025844074
1775663169950,ideal,-9.411159542579263903222665821
1775663169950,good,-9.776530560326773773245058832
1775663169950,realistic,-10.36112418872278956528088794
1775663169950,bad,-11.82260825971282904537046059
1775663169950,ideal,-18.21771368172922687339759206
1775663169950,good,-18.97276428078842409940609468
1775663169950,realistic,-20.18084523928313966101969948
1775663169950,bad,-23.20104763551992856505371125
1775663183059,ideal,-26.52067636549919414630188577
1775663183059,good,-27.64221663567903051650277458
1775663183059,realistic,-29.43668106796676870882419758
1775663183059,bad,-33.92284214868611418962775475
1775663183059,ideal,-34.97599434502620365029911644
1775663183059,good,-36.47074919216596850144419534
1775663183059,realistic,-38.86235694758959226327632276
1775663183059,bad,-44.8413763361486516678566409
1775663183059,ideal,-38.17781364469735000000000029
1775663183059,good,-39.81354773956572499999999968
1775663183059,realistic,-42.430722291355125
1775663183059,bad,-48.97365867082862500000000033
1775664445463,ideal,-38.70902876647735000000000029
1775664445463,good,-40.34502841579572499999999968
1775664445463,realistic,-42.962627854705125
1775664445463,bad,-49.50662645197862500000000033
1775664457023,ideal,-38.72500069520260000000000029
1775664457023,good,-40.36099235695909999999999968
1775664457023,realistic,-42.9785790157695
1775664457023,bad,-49.52254566279550000000000033
1775668108772,ideal,-38.30533770987121796438320579
1775668108772,good,-39.97506810561825416612504841
1775668108772,realistic,-42.64663673881351208891199793
1775668108772,bad,-49.32555832180165689587937118
1775668185450,ideal,-38.17478090086060613544780997
1775668185450,good,-39.85493584980449766021058071
1775668185450,realistic,-42.54318376811472409983101522
1775668185450,bad,-49.26380356389029019888210093
1775668185450,ideal,-38.04422409184999430651241415
1775668185450,good,-39.73480359399074115429611301
1775668185450,realistic,-42.43973079741593611075003251
1775668185450,bad,-49.20204880597892350188483068
1775668185450,ideal,-37.91366728283938247757701833
1775668185450,good,-39.61467133817698464838164531
1775668185450,realistic,-42.3362778267171481216690498
1775668185450,bad,-49.14029404806755680488756043
1775668185450,ideal,-36.73719889450045401013908771
1775668185450,good,-38.53214027406954041986221201
1775668185450,realistic,-41.4040464813800786754192123
1775668185450,bad,-48.58381199965642431431171223
1775668186059,ideal,-36.60664208548984218120369189
1775668186059,good,-38.41200801825578391394774431
1775668186059,realistic,-41.30059351068129068633822959
1775668186059,bad,-48.52205724174505761731444198
1775668194157,ideal,-29.77557761760313107370336672
1775668194157,good,-32.12638270039337459053685102
1775668194157,realistic,-35.88767083285776421747042779
1775668194157,bad,-45.29089116401873828480436772
1775668951962,ideal,-29.85446536654720107370336672
1775668951962,good,-32.20523099757261959053685102
1775668951962,realistic,-35.96645600721328921747042779
1775668951962,bad,-45.36951853131496328480436772
1775668952033,ideal,-30.02071259505028107370336672
1775668952033,good,-32.37139508583339959053685102
1775668952033,realistic,-36.13248707108638921747042779
1775668952033,bad,-45.53521703421886328480436772
1775668952033,ideal,-30.09960034399435107370336672
1775668952033,good,-32.45024338301264459053685102
1775668952033,realistic,-36.21127224544191421747042779
1775668952033,bad,-45.61384440151508828480436772
1775670782834,ideal,-30.12992310822835107370336672
1775670782834,good,-32.48055098283164459053685102
1775670782834,realistic,-36.24155558219691421747042779
1775670782834,bad,-45.64406708061008828480436772
1775670851172,ideal,-30.46327307719789107370336672
1775670851172,good,-32.81373424347503459053685102
1775670851172,realistic,-36.57447210951846421747042779
1775670851172,bad,-45.97631677462703828480436772
1775670863539,ideal,-30.79199511083965107370336672
1775670863539,good,-33.14229188322119459053685102
1775670863539,realistic,-36.90276671903166421747042779
1775670863539,bad,-46.30395380855783828480436772
1775675242070,ideal,-31.10989491288661107370336672
1775675242070,good,-33.46035060338555459053685102
1775675242070,realistic,-37.22107970818386421747042779
1775675242070,bad,-46.62290247017963828480436772
1775676134470,ideal,-31.11723902691571107370336672
1775676134470,good,-33.46769838873740459053685102
1775676134470,realistic,-37.22843336765211421747042779
1775676134470,bad,-46.63027081493888828480436772
1775676166838,ideal,-31.16225992459477107370336672
