ts,profile,equity
1775658246570,ideal,-1.78598255683635
1775658246570,good,-1.786875369552225
1775658246570,realistic,-1.788303869897625
1775658246570,bad,-1.791875120761125
1775658722548,ideal,-1.90336131597576
1775658722548,good,-1.92409339416516
1775658722548,realistic,-1.9572647192682
1775658722548,bad,-2.0401930320258
1775658722548,ideal,-2.02074007511517
1775658722548,good,-2.061311418778095
1775658722548,realistic,-2.126225568638775
1775658722548,bad,-2.288510943290475
1775658772105,ideal,-11.21034079374837
1775658772105,good,-11.255506018994295
1775658772105,realistic,-11.327770379387775
1775658772105,bad,-11.508431280371475
1775658772105,ideal,-13.04707450023501
1775658772105,good,-13.093157908697535
1775658772105,realistic,-13.166891362237575
1775658772105,bad,-13.351224996087675
1775658808094,ideal,-13.82013125707029
1775658808094,good,-13.866601116621015
1775658808094,realistic,-13.940952891902175
1775658808094,bad,-14.126832330105075
1775658808094,ideal,-14.59318801390557
1775658808094,good,-14.640044324544495
1775658808094,realistic,-14.715014421566775
1775658808094,bad,-14.902439664122475
1775662581288,ideal,-14.61101607880557
1775662581288,good,-14.657881301694495
1775662581288,realistic,-14.732865658316775
1775662581288,bad,-14.920326549872475
1775663257677,ideal,-21.12069281901837
1775663257677,good,-21.164302552439295
1775663257677,realistic,-21.234078125912775
1775663257677,bad,-21.408517059596475
1775663417904,ideal,-22.10846676390429
1775663417904,good,-22.152570285540015
1775663417904,realistic,-22.223135920157175
1775663417904,bad,-22.399550006700075
1775663805431,ideal,-22.21244899069119
1775663805431,good,-22.256604493044165
1775663805431,realistic,-22.327253296808925
1775663805431,bad,-22.503875306220825
1775663805431,ideal,-22.21740733066089
1775663805431,good,-22.261565311688115
1775663805431,realistic,-22.332218081331675
1775663805431,bad,-22.508850005440575
1775663805431,ideal,-22.32144726123624
1775663805431,good,-22.36565725182684
1775663805431,realistic,-22.4363932367718
1775663805431,bad,-22.6132331991342
1775663805431,ideal,-22.42018272678072
1775663805431,good,-22.46444207523252
1775663805431,realistic,-22.5352570327554
1775663805431,bad,-22.7122944265626
1775663805431,ideal,-22.55791015470831
1775663805431,good,-22.602238353104085
1775663805431,realistic,-22.673163470537325
1775663805431,bad,-22.850476264120425
1775663805431,ideal,-22.66195008528366
1775663805431,good,-22.70633029324281
1775663805431,realistic,-22.77733862597745
1775663805431,bad,-22.95485945781405
1775663805431,ideal,-22.66781082059634
1775663805431,good,-22.71219395833719
1775663805431,realistic,-22.78320697872255
1775663805431,bad,-22.96073952968595
1775663805431,ideal,-22.78374102895173
1775663805431,good,-22.828182120206055
1775663805431,realistic,-22.899287866212975
1775663805431,bad,-23.077052231230275
1775663805431,ideal,-22.78960177056567
1775663805431,good,-22.834045791604845
