ts,profile,equity
1775658194238,ideal,-11.1454479863685
1775658194238,good,-11.15101959603975
1775658194238,realistic,-11.15993417151375
1775658194238,bad,-11.18222061019875
1775658641693,ideal,-33.7873224217617
1775658641693,good,-33.80421270491595
1775658641693,realistic,-33.83123715796275
1775658641693,bad,-33.89879829057975
1775658935738,ideal,-166.8648001607748
1775658935738,good,-166.9482158777118
1775658935738,realistic,-167.081681024811
1775658935738,bad,-167.415343892559
1775658947842,ideal,-211.079599738452
1775658947842,good,-211.185118434582
1775658947842,realistic,-211.35394834839
1775658947842,bad,-211.77602313291
1775658973149,ideal,-254.9533923903816
1775658973149,good,-255.0808435963356
1775658973149,realistic,-255.284765525862
1775658973149,bad,-255.794570349678
1775658973282,ideal,-255.0336567600456
1775658973282,good,-255.1611480901596
1775658973282,realistic,-255.365134218342
1775658973282,bad,-255.875099538798
1775658984603,ideal,-295.4645008721479963100708814
1775658984603,good,-326.2921083460332932488381674
1775658984603,realistic,-375.616280304249768350865814
1775658984603,bad,-498.9267101997909561059349442
1775659007476,ideal,-337.2602339847754963100708814
1775659007476,good,-368.1087351464795432488381674
1775659007476,realistic,-417.466337005206018350865814
1775659007476,bad,-540.8603416520222061059349442
1775659007978,ideal,-337.2428472975618054610076362
1775659007978,good,-368.31466438130983675747885
1775659007978,realistic,-418.0295717153066868318327806
1775659007978,bad,-542.3168400502988120177176212
1775659008574,ideal,-336.4795167512136983227863096
1775659008574,good,-377.3556089499955488018518995
1775659008574,realistic,-442.7573564680465095683568194
1775659008574,bad,-606.261725263173911484619142
1775659010330,ideal,-342.1841358122504395624970567
1775659010330,good,-481.3994947641051938314245858
1775659010330,realistic,-704.1440690870728006617084837
1775659010330,bad,-1261.00550489449181773741834
1775659031034,ideal,-583.8674727536494395624970567
1775659031034,good,-747.7296290465016938314245858
1775659031034,realistic,-1009.909079115065300661708484
1775659031034,bad,-1665.35770428647431773741834
1775659134517,ideal,-588.3591340127707395624970567
1775659134517,good,-752.2235356871762438314245858
1775659134517,realistic,-1014.406578366225050661708484
1775659134517,bad,-1669.86418506384706773741834
1775659161849,ideal,-599.1458096475169395624970567
1775659161849,good,-763.0156035812879438314245858
1775659161849,realistic,-1025.207273875321550661708484
1775659161849,bad,-1680.68644961040556773741834
1775659374047,ideal,-525.3408355731744395624970567
1775659374047,good,-730.9608587898391938314245858
1775659374047,realistic,-1059.952895936502800661708484
1775659374047,bad,-1882.43298880316181773741834
1775659407273,ideal,-569.6438962515420395624970567
1775659407273,good,-775.2860665691257938314245858
1775659407273,realistic,-1104.313539077259800661708484
1775659407273,bad,-1926.88222034759481773741834
1775659407273,ideal,-613.9529747322294395624970567
1775659407273,good,-819.6172951590316938314245858
1775659407273,realistic,-1148.680207841915300661708484
1775659407273,bad,-1971.33748954912431773741834
1775659430911,ideal,-614.20510752976736792737162
1775659430911,good,-820.2137313817433564136381188
1775659430911,realistic,-1149.827529544904937991664368
1775659430911,bad,-1973.862024952808891936730102
1775659431802,ideal,-614.3311739285363321098089017
1775659431802,good,-820.5119494930991877047448853
1775659431802,realistic,-1150.40119039639975665664231
1775659431802,bad,-1975.124292654651179036385983
1775659431802,ideal,-614.4359060136674715844491049
1775659431802,good,-820.7596999240717244696643528
1775659431802,realistic,-1150.8777701807185290860086
1775659431802,bad,-1976.17294582233554062686933
1775659431802,ideal,-616.7485779367253029773914939
1775659431802,good,-826.2304729438032500394678422
1775659431802,realistic,-1161.401504955127965338789847
1775659431802,bad,-1999.329084983439753587094974
1775659438412,ideal,-616.9699028656870615798388846
1775659438412,good,-826.6137456915767271775093378
1775659438412,realistic,-1162.04389421300019213378191
1775659438412,bad,-2000.619265516558854524463457
1775659439746,ideal,-617.1142832113223285397175762
1775659439746,good,-826.8799288923857770142925879
1775659439746,realistic,-1162.504961982087294573612454
1775659439746,bad,-2001.567544706341088471912234
1775659439826,ideal,-617.3083596904190098517284262
1775659439826,good,-827.237733122458811396345435
1775659439826,realistic,-1163.124730613722493867732496
1775659439826,bad,-2002.842224341881700046200264
1775659440521,ideal,-629.4459863918765520132695236
1775659440521,good,-849.6149639803282999396909466
1775659440521,realistic,-1201.885328121851096621965061
1775659440521,bad,-2082.561238475658088327650472
1775659441035,ideal,-629.5050986348359185584372488
1775659441035,good,-849.7239447835580920830116251
1775659441035,realistic,-1202.074098621513569722330465
1775659441035,bad,-2082.949483216402263820627689
1775659441035,ideal,-629.9387627889360501154641886
1775659441035,good,-850.5234588178722309043642134
1775659441035,realistic,-1203.458972464170120166604091
1775659441035,bad,-2085.797756579914843322203908
1775659441035,ideal,-630.9075758328364646433458441
1775659441035,good,-852.3095866725764348816199353
1775659441035,realistic,-1206.552804016160387262858318
1775659441035,bad,-2092.1608473751202682159544
1775659441035,ideal,-631.5758580485939050101756578
1775659441035,good,-853.541648408205279687745305
1775659441035,realistic,-1208.686912983583479171856577
1775659441035,bad,-2096.550074422028977882134882
1775659441035,ideal,-631.5993983223387854927645749
1775659441035,good,-853.5850478431197986828730088
1775659441035,realistic,-1208.76208707636941978704634
1775659441035,bad,-2096.704685159493472547479791
1775659441178,ideal,-633.247217484480419273988773
1775659441178,good,-856.6230082871361283418122766
1775659441178,realistic,-1214.024273571385262850329718
1775659441178,bad,-2107.527436782008099121623446
