ts,profile,equity
1775715596324,ideal,-0.34595233058079
1775715596324,good,-0.346125272157765
1775715596324,realistic,-0.346401978680925
1775715596324,bad,-0.347093744988825
1775715596324,ideal,-0.45134463442671
1775715596324,good,-0.451570261618485
1775715596324,realistic,-0.451931265125325
1775715596324,bad,-0.452833773892425
1775715596324,ideal,-1.20969825082191
1775715596324,good,-1.210302979001685
1775715596324,realistic,-1.211270544089325
1775715596324,bad,-1.213689456808425
1775715596324,ideal,-1.27832176458027
1775715596324,good,-1.278960797655945
1775715596324,realistic,-1.279983250577025
1775715596324,bad,-1.282539382879725
1775715596324,ideal,-1.53818073458199
1775715596324,good,-1.538949671161965
1775715596324,realistic,-1.540179969689925
1775715596324,bad,-1.543255716009825
1775715596324,ideal,-1.76658201610407
1775715596324,good,-1.767465130489245
1775715596324,realistic,-1.768878113505525
1775715596324,bad,-1.772410571046225
1775715596324,ideal,-2.02631777666883
1775715596324,good,-2.027330732965905
1775715596324,realistic,-2.028951463041225
1775715596324,bad,-2.033003288229525
1775715596324,ideal,-2.31964366661613
1775715596324,good,-2.320803256531455
1775715596324,realistic,-2.322658600395975
1775715596324,bad,-2.327296960057275
1775715596324,ideal,-3.22049088903393
1775715596324,good,-3.222100812493755
1775715596324,realistic,-3.224676690029475
1775715596324,bad,-3.231116383868775
1775715596324,ideal,-3.31331338542105
1775715596324,good,-3.314969710848675
1775715596324,realistic,-3.317619831532875
1775715596324,bad,-3.324245133243375
1775715596324,ideal,-3.38501061329931
1775715596324,good,-3.386702780172585
1775715596324,realistic,-3.389410247169825
1775715596324,bad,-3.396178914662925
1775715708426,ideal,-3.80267129888334
1775715708426,good,-3.80457225434169
1775715708426,realistic,-3.80761378307505
1775715708426,bad,-3.81521760490845
1775715783819,ideal,-4.44665647556442
1775715783819,good,-4.44887935922547
1775715783819,realistic,-4.45243597308315
1775715783819,bad,-4.46132750772735
1775715783819,ideal,-4.89340381736646
1775715783819,good,-4.89585003003261
1775715783819,realistic,-4.89976397029845
1775715783819,bad,-4.90954882096305
1775715783819,ideal,-5.51800928303037
1775715783819,good,-5.520767735981295
1775715783819,realistic,-5.525181260702775
1775715783819,bad,-5.536215072506475
