ts,profile,equity
1775658262425,ideal,-7.992818979147
1775658262425,good,-7.9968145895145
1775658262425,realistic,-8.0032075661025
1775658262425,bad,-8.0191900075725
1775658284038,ideal,-7.9995646985211
1775658284038,good,-8.00356368107385
1775658284038,realistic,-8.00996205315825
1775658284038,bad,-8.02595798336925
1775658287828,ideal,-8.7496980151851
1775658287828,good,-8.75407198939785
1775658287828,realistic,-8.76107034813825
1775658287828,bad,-8.77856624498925
1775658287828,ideal,-8.8920145287963
1775658287828,good,-8.89645964703705
1775658287828,realistic,-8.90357183622225
1775658287828,bad,-8.92135230918525
1775658287893,ideal,-9.6334739270235
1775658287893,good,-9.63828970083225
1775658287893,realistic,-9.64599493892625
1775658287893,bad,-9.66525803416125
1775658287893,ideal,-11.5012576970811
1775658287893,good,-11.50700717603385
1775658287893,realistic,-11.51620634235825
1775658287893,bad,-11.53920425816925
1775658287893,ideal,-12.8264396804811
1775658287893,good,-12.83285161793385
1775658287893,realistic,-12.84311071785825
1775658287893,bad,-12.86875846766925
1775658287961,ideal,-13.8647398429899
1775658287961,good,-13.87167082671465
1775658287961,realistic,-13.88276040067425
1775658287961,bad,-13.91048433557325
1775658287961,ideal,-15.3206731154187
1775658287961,good,-15.32833192021545
1775658287961,realistic,-15.34058600789025
1775658287961,bad,-15.37122122707725
1775658287961,ideal,-16.2642026875995
1775658287961,good,-16.27233316284825
1775658287961,realistic,-16.28534192324625
1775658287961,bad,-16.31786382424125
1775658287961,ideal,-17.3307733990875
1775658287961,good,-17.33943705305625
1775658287961,realistic,-17.35329889940625
1775658287961,bad,-17.38795351528125
1775658288030,ideal,-18.2065179049659
1775658288030,good,-18.21561934363065
1775658288030,realistic,-18.23018164549425
1775658288030,bad,-18.26658740015325
1775658288030,ideal,-20.3679298769211
1775658288030,good,-20.37811180547385
1775658288030,realistic,-20.39440289115825
1775658288030,bad,-20.43513060536925
1775658301466,ideal,-21.0060434261115
1775658301466,good,-21.01654434764025
1775658301466,realistic,-21.03334582208625
1775658301466,bad,-21.07534950820125
1775658315886,ideal,-11.95402308488388905115069905
1775658315886,good,-20.06873860757979181512348035
1775658315886,realistic,-33.05228344389323623747993022
1775658315886,bad,-65.51114553467684729337105317
1775658328671,ideal,15.6811876920505096031806737
1775658328671,good,-19.92932369108483807248260555
1775658328671,realistic,-76.90614190410139435354385137
1775658328671,bad,-219.3481874366427850561969584
1775658369545,ideal,23.54034849082562840431225936
1775658369545,good,-22.12964101829913382903891715
1775658369545,realistic,-95.20162423289875340240079831
1775658369545,bad,-277.8815822693978023358054916
1775658660591,ideal,11.18255367607562840431225936
1775658660591,good,-34.49361349492413382903891715
1775658660591,realistic,-107.5754809685237534024007983
1775658660591,bad,-290.2801496525228023358054916
1775658701704,ideal,3.68810148535562840431225936
1775658701704,good,-41.99181216244413382903891715
1775658701704,realistic,-115.0796739989237534024007983
1775658701704,bad,-297.7993285901228023358054916
1775658717036,ideal,3.43802547820103918424045084
1775658717036,good,-42.46783977922787451342789809
1775658717036,realistic,-115.9172241911141364296972552
1775658717036,bad,-299.5406852208297912203706384
1775658756248,ideal,-1.51051787756796081575954916
1775658756248,good,-47.41885691191937451342789809
1775658756248,realistic,-120.8721993668816364296972552
1775658756248,bad,-304.5055555042872912203706384
1775658795696,ideal,-106.8435910907922825627836416
1775658795696,good,-180.1433679221908989807814361
1775658795696,realistic,-297.4230108524286852495779047
1775658795696,bad,-590.6221181780231509215690744
1775658807502,ideal,-107.2933662258318825627836416
1775658807502,good,-180.5933678998294989807814361
1775658807502,realistic,-297.8733705782256852495779047
1775658807502,bad,-591.0733772742161509215690744
1775658807686,ideal,-108.1932363928776825627836416
1775658807686,good,-181.4936879119897989807814361
1775658807686,realistic,-298.7744103425691852495779047
1775658807686,bad,-591.9762164190176509215690744
1775658807686,ideal,-108.3314318824488825627836416
1775658807686,good,-181.6319524854889989807814361
1775658807686,realistic,-298.9127854503531852495779047
1775658807686,bad,-592.1148678625136509215690744
1775658807965,ideal,-108.4053280817334825627836416
1775658807965,good,-181.7058856254850989807814361
1775658807965,realistic,-298.9867776954876852495779047
1775658807965,bad,-592.1890078704941509215690744
1775658808300,ideal,-108.4155647846646825627836416
