ts,profile,equity
1775658815836,ideal,-2.97532557832644
1775658815836,good,-2.97681294364254
1775658815836,realistic,-2.9791927281483
1775658815836,bad,-2.9851421894127
1775658816037,ideal,-3.32849043057312
1775658816037,good,-3.33015434300592
1775658816037,realistic,-3.3328166028984
1775658816037,bad,-3.3394722526296
1775658816037,ideal,-4.50088369233912
1775658816037,good,-4.50313368418692
1775658816037,realistic,-4.5067336711434
1775658816037,bad,-4.5157336385346
1775661763839,ideal,-6.25331781240372
1775661763839,good,-6.25469141191302
1775661763839,realistic,-6.2568891711279
1775661763839,bad,-6.2623835691651
1775661765583,ideal,-6.76348192816992
1775661765583,good,-6.76460039459472
1775661765583,realistic,-6.7663899408744
1775661765583,bad,-6.7708638065736
1775661767143,ideal,-6.96941973636912
1775661767143,good,-6.97043521329192
1775661767143,realistic,-6.9720599763684
1775661767143,bad,-6.9761218840596
1775661767414,ideal,-7.17535754456832
1775661767414,good,-7.17627003198912
1775661767414,realistic,-7.1777300118624
1775661767414,bad,-7.1813799615456
1775661771152,ideal,-7.24797930831012
1775661771152,good,-7.24885547758542
1775661771152,realistic,-7.2502573484259
1775661771152,bad,-7.2537620255271
1775661771353,ideal,-7.38929733505092
1775661771353,good,-7.39010283117822
1775661771353,realistic,-7.3913916249819
1775661771353,bad,-7.3946136094911
1775661772036,ideal,-7.76599442556192
1775661772036,good,-7.76661153546672
1775661772036,realistic,-7.7675989113144
1775661772036,bad,-7.7700673509336
1775661772170,ideal,-8.51893566419052
1775661772170,good,-8.51917622816682
1775661772170,realistic,-8.5195611305289
1775661772170,bad,-8.5205233864341
1775661772387,ideal,-8.55683184443832
1775661772387,good,-8.55705345653412
1775661772387,realistic,-8.5574080358874
1775661772387,bad,-8.5582944842706
1775661772447,ideal,-8.87706211657212
1775661772447,good,-8.87712358150242
1775661772447,realistic,-8.8772219253909
1775661772447,bad,-8.8774677851121
1775661772579,ideal,-9.20831398694532
1775661772579,good,-9.20820979280862
1775661772579,realistic,-9.2080430821899
1775661772579,bad,-9.2076263056431
1775661772844,ideal,-9.57338555602572
1775661772844,good,-9.57309878959002
1775661772844,realistic,-9.5726399632929
1775661772844,bad,-9.5714928975501
1775661775387,ideal,-9.60509152356372
1775661775387,good,-9.60478890097302
1775661775387,realistic,-9.6043047048279
1775661775387,bad,-9.6030942144651
1775661775387,ideal,-9.63679749110172
1775661775387,good,-9.63647901235602
1775661775387,realistic,-9.6359694463629
1775661775387,bad,-9.6346955313801
1775661779355,ideal,-9.70473885011172
1775661779355,good,-9.70438639389102
1775661779355,realistic,-9.7038224639379
1775661779355,bad,-9.7024126390551
1775661779422,ideal,-9.75154289742972
1775661779422,good,-9.75116703450402
1775661779422,realistic,-9.7505656538229
1775661779422,bad,-9.7490622021201
1775661779691,ideal,-17.91643346165592
1775661779691,good,-17.91197433679572
1775661779691,realistic,-17.9048397370194
1775661779691,bad,-17.8870032375786
1775661783063,ideal,-17.93787273494352
1775661783063,good,-17.93340288830232
1775661783063,realistic,-17.9262511336764
1775661783063,bad,-17.9083717471116
1775661783467,ideal,-17.98467678226152
1775661783467,good,-17.98018352891532
1775661783467,realistic,-17.9729943235614
1775661783467,bad,-17.9550213101766
1775661783467,ideal,-18.03148082957952
1775661783467,good,-18.02696416952832
1775661783467,realistic,-18.0197375134464
1775661783467,bad,-18.0016708732416
1775661784612,ideal,-18.16630668201492
1775661784612,good,-18.16172259555222
1775661784612,realistic,-18.1543880572119
1775661784612,bad,-18.1360517113611
1775661917634,ideal,-28.61303639717232
1775661917634,good,-28.61367463110312
1775661917634,realistic,-28.6146958053924
1775661917634,bad,-28.6172487411156
1775661918246,ideal,-28.63544808861432
1775661918246,good,-28.63609752615012
1775661918246,realistic,-28.6371366262074
1775661918246,bad,-28.6397343763506
1775661918684,ideal,-28.65785978005632
1775661918684,good,-28.65852042119712
1775661918684,realistic,-28.6595774470224
1775661918684,bad,-28.6622200115856
1775661918684,ideal,-28.68027147149832
1775661918684,good,-28.68094331624412
1775661918684,realistic,-28.6820182678374
1775661918684,bad,-28.6847056468206
1775661919001,ideal,-28.70268316294032
1775661919001,good,-28.70336621129112
1775661919001,realistic,-28.7044590886524
1775661919001,bad,-28.7071912820556
1775661919001,ideal,-28.70812600229052
1775661919001,good,-28.70881177151682
1775661919001,realistic,-28.7099090022789
1775661919001,bad,-28.7126520791841
1775661919404,ideal,-28.76383506387492
1775661919404,good,-28.76454868206222
1775661919404,realistic,-28.7656904711619
1775661919404,bad,-28.7685449439111
1775661919666,ideal,-30.40309020934692
1775661919666,good,-30.40462329121422
1775661919666,realistic,-30.4070762222019
1775661919666,bad,-30.4132085496711
1775661919724,ideal,-33.22023982360632
1775661919724,good,-33.22318119862212
1775661919724,realistic,-33.2278873986474
1775661919724,bad,-33.2396528987106
1775661920000,ideal,-33.24265151504832
1775661920000,good,-33.24560409366912
1775661920000,realistic,-33.2503282194624
1775661920000,bad,-33.2621385339456
1775661920403,ideal,-33.40273502534832
1775661920403,good,-33.40576762971912
1775661920403,realistic,-33.4106197967124
1775661920403,bad,-33.4227502141956
1775661920403,ideal,-34.22012142894012
1775661920403,good,-34.22356264479042
1775661920403,realistic,-34.2290685901509
1775661920403,bad,-34.2428334535521
1775661921804,ideal,-34.24253312038212
1775661921804,good,-34.24598553983742
1775661921804,realistic,-34.2515094109659
1775661921804,bad,-34.2653190887871
1775661922633,ideal,-34.26494481182412
1775661922633,good,-34.26840843488442
1775661922633,realistic,-34.2739502317809
1775661922633,bad,-34.2878047240221
1775661923505,ideal,-38.33554831173252
1775661923505,good,-38.34104682956382
1775661923505,realistic,-38.3498444580939
1775661923505,bad,-38.3718385294191
1775661923574,ideal,-38.35796000317452
1775661923574,good,-38.36346972461082
1775661923574,realistic,-38.3722852789089
1775661923574,bad,-38.3943241646541
1775661923973,ideal,-38.67812702377452
1775661923973,good,-38.68379679671082
1775661923973,realistic,-38.6928684334089
1775661923973,bad,-38.7155475251541
1775661924242,ideal,-38.70053871521652
1775661924242,good,-38.70621969175782
1775661924242,realistic,-38.7153092542239
1775661924242,bad,-38.7380331603891
1775661924514,ideal,-38.72295040665852
1775661924514,good,-38.72864258680482
1775661924514,realistic,-38.7377500750389
1775661924514,bad,-38.7605187956241
1775661925049,ideal,-38.74536209810052
1775661925049,good,-38.75106548185182
1775661925049,realistic,-38.7601908958539
1775661925049,bad,-38.7830044308591
1775661925250,ideal,-38.76777378954252
1775661925250,good,-38.77348837689882
1775661925250,realistic,-38.7826317166689
1775661925250,bad,-38.8054900660941
1775661925875,ideal,-38.79018548098452
1775661925875,good,-38.79591127194582
1775661925875,realistic,-38.8050725374839
1775661925875,bad,-38.8279757013291
1775661926483,ideal,-38.81259717242652
1775661926483,good,-38.81833416699282
1775661926483,realistic,-38.8275133582989
1775661926483,bad,-38.8504613365641
1775661926616,ideal,-38.86638523188732
1775661926616,good,-38.87214911510562
1775661926616,realistic,-38.8813713282549
1775661926616,bad,-38.9044268611281
1775661928075,ideal,-39.02646874218732
1775661928075,good,-39.03231265115562
1775661928075,realistic,-39.0416629055049
1775661928075,bad,-39.0650385413781
1775661928784,ideal,-39.04888043362932
1775661928784,good,-39.05473554620262
1775661928784,realistic,-39.0641037263199
1775661928784,bad,-39.0875241766131
1775661928983,ideal,-39.07129212507132
1775661928983,good,-39.07715844124962
1775661928983,realistic,-39.0865445471349
1775661928983,bad,-39.1100098118481
1775661930054,ideal,-39.09370381651332
1775661930054,good,-39.09958133629662
1775661930054,realistic,-39.1089853679499
1775661930054,bad,-39.1324954470831
1775661930731,ideal,-39.11611550795532
1775661930731,good,-39.12200423134362
1775661930731,realistic,-39.1314261887649
1775661930731,bad,-39.1549810823181
1775661931061,ideal,-39.13852719939732
1775661931061,good,-39.14442712639062
1775661931061,realistic,-39.1538670095799
1775661931061,bad,-39.1774667175531
1775661931266,ideal,-39.16093889083932
1775661931266,good,-39.16685002143762
1775661931266,realistic,-39.1763078303949
1775661931266,bad,-39.1999523527881
1775661931798,ideal,-39.18335058228132
1775661931798,good,-39.18927291648462
1775661931798,realistic,-39.1987486512099
1775661931798,bad,-39.2224379880231
1775661931932,ideal,-39.34343409258132
1775661931932,good,-39.34943645253462
1775661931932,realistic,-39.3590402284599
1775661931932,bad,-39.3830496682731
1775661932133,ideal,-39.36584578402332
1775661932133,good,-39.37185934758162
1775661932133,realistic,-39.3814810492749
1775661932133,bad,-39.4055353035081
1775661933032,ideal,-39.38825747546532
1775661933032,good,-39.39428224262862
1775661933032,realistic,-39.4039218700899
1775661933032,bad,-39.4280209387431
1775661933106,ideal,-39.43628252855532
1775661933106,good,-39.44233130344362
1775661933106,realistic,-39.4520093432649
1775661933106,bad,-39.4762044428181
1775661934096,ideal,-39.45869421999732
1775661934096,good,-39.46475419849062
1775661934096,realistic,-39.4744501640799
1775661934096,bad,-39.4986900780531
1775661935098,ideal,-40.53797724643992
1775661935098,good,-40.54457675853972
1775661935098,realistic,-40.5551359778994
1775661935098,bad,-40.5815340262986
1775661935369,ideal,-40.54662175599612
1775661935369,good,-40.55322558948642
1775661935369,realistic,-40.5637917230709
1775661935369,bad,-40.5902070570321
1775661935900,ideal,-40.70670526629612
1775661935900,good,-40.71338912553642
1775661935900,realistic,-40.7240833003209
1775661935900,bad,-40.7508187372821
1775661936178,ideal,-40.72143294924372
1775661936178,good,-40.72812417085302
1775661936178,realistic,-40.7388301254279
1775661936178,bad,-40.7655950118651
1775661936323,ideal,-42.09014696230872
1775661936323,good,-42.09752240408052
1775661936323,realistic,-42.1093231109154
1775661936323,bad,-42.1388248780026
1775661936323,ideal,-42.11255865375072
1775661936323,good,-42.11994529912752
1775661936323,realistic,-42.1317639317304
1775661936323,bad,-42.1613105132376
1775661936458,ideal,-42.20252558653932
1775661936458,good,-42.20995720638762
1775661936458,realistic,-42.2218477981449
1775661936458,bad,-42.2515742775381
1775661963881,ideal,-42.21501210034272
1775661963881,good,-42.22244996219952
1775661963881,realistic,-42.2343505411704
1775661963881,bad,-42.2641019885976
1775661963951,ideal,-42.23742379178472
1775661963951,good,-42.24487285724652
1775661963951,realistic,-42.2567913619854
1775661963951,bad,-42.2865876238326
1775661964422,ideal,-42.35908725961272
1775661964422,good,-42.36659714464452
1775661964422,realistic,-42.3786129606954
1775661964422,bad,-42.4086525008226
1775661964729,ideal,-42.38149895105472
1775661964729,good,-42.38902003969152
1775661964729,realistic,-42.4010537815104
1775661964729,bad,-42.4311381360576
1775661964729,ideal,-43.73260377798672
1775661964729,good,-43.74080028395352
1775661964729,realistic,-43.7539146935004
1775661964729,bad,-43.7867007173676
1775661964729,ideal,-43.75501546942872
1775661964729,good,-43.76322317900052
1775661964729,realistic,-43.7763555143154
1775661964729,bad,-43.8091863526026
1775661964729,ideal,-43.77742716087072
1775661964729,good,-43.78564607404752
1775661964729,realistic,-43.7987963351304
1775661964729,bad,-43.8316719878376
1775661964866,ideal,-45.17143436856312
1775661964866,good,-45.18035014597092
1775661964866,realistic,-45.1946153898234
1775661964866,bad,-45.2302784994546
1775687934830,ideal,-45.17158047233652
1775687934830,good,-45.18049617667782
1775687934830,realistic,-45.1947613036239
1775687934830,bad,-45.2304241209891
1775709806884,ideal,-45.17227980417492
1775709806884,good,-45.18119585811222
1775709806884,realistic,-45.1954615444119
1775709806884,bad,-45.2311257601611
1775710020920,ideal,-45.18903069132732
1775710020920,good,-45.19793836814562
1775710020920,realistic,-45.2121906510549
1775710020920,bad,-45.2478213583281
1775710021379,ideal,-45.38431077049872
1775710021379,good,-45.39312078774552
1775710021379,realistic,-45.4072168153404
1775710021379,bad,-45.4424568843276
1775710024058,ideal,-45.42266148582132
1775710024058,good,-45.43145232387462
1775710024058,realistic,-45.4455176647599
1775710024058,bad,-45.4806810169731
1775710025066,ideal,-45.60603961885812
1775710025066,good,-45.61473874950342
1775710025066,realistic,-45.6286573585359
1775710025066,bad,-45.6634538811171
1775710028008,ideal,-45.69816949819632
1775710028008,good,-45.70682255468712
1775710028008,realistic,-45.7206674450724
1775710028008,bad,-45.7552796710356
1775710029016,ideal,-45.88154763123312
1775710029016,good,-45.89010898031592
1775710029016,realistic,-45.9038071388484
1775710029016,bad,-45.9380525351796
1775710030154,ideal,-45.92651053885272
1775710030154,good,-45.93504940198452
1775710030154,realistic,-45.9487115829954
1775710030154,bad,-45.9828670355226
1775710030958,ideal,-45.97147344647232
1775710030958,good,-45.97998982365312
1775710030958,realistic,-45.9936160271424
1775710030958,bad,-46.0276815358656
1775710032034,ideal,-46.01643635409192
1775710032034,good,-46.02493024532172
1775710032034,realistic,-46.0385204712894
1775710032034,bad,-46.0724960362086
1775710032837,ideal,-46.06139926171152
1775710032837,good,-46.06987066699032
1775710032837,realistic,-46.0834249154364
1775710032837,bad,-46.1173105365516
1775710054002,ideal,-46.09269697191732
1775710054002,good,-46.10115272521062
1775710054002,realistic,-46.1146819304799
1775710054002,bad,-46.1485049436531
1775710058028,ideal,-46.18482685125552
1775710058028,good,-46.19323653039432
1775710058028,realistic,-46.2066920170164
1775710058028,bad,-46.2403307335716
1775710084048,ideal,-46.21436131018212
1775710084048,good,-46.22275621913742
1775710084048,realistic,-46.2361880734659
1775710084048,bad,-46.2697677092871
1775710084183,ideal,-46.41845764574952
1775710084183,good,-46.42675048612332
1775710084183,realistic,-46.4400190307214
1775710084183,bad,-46.4731903922166
1775710084250,ideal,-46.61197447364172
1775710084250,good,-46.62017053624602
1775710084250,realistic,-46.6332842364129
1775710084250,bad,-46.6660684868301
1775710084250,ideal,-46.83326250918132
1775710084250,good,-46.84134790563462
1775710084250,realistic,-46.8542845399599
1775710084250,bad,-46.8866261257731
1775710084587,ideal,-46.97167773459852
1775710084587,good,-46.97969390959482
1775710084587,realistic,-46.9925197895889
1775710084587,bad,-47.0245844895741
1775710084864,ideal,-47.00165300634492
1775710084864,good,-47.00965419070722
1775710084864,realistic,-47.0224560856869
1775710084864,bad,-47.0544608231361
1775710084926,ideal,-47.13962741894232
1775710084926,good,-47.14755960229812
1775710084926,realistic,-47.1602510956674
1775710084926,bad,-47.1919798290906
1775710084926,ideal,-47.18459032656192
1775710084926,good,-47.19250002396672
1775710084926,realistic,-47.2051555398144
1775710084926,bad,-47.2367943294336
1775710084988,ideal,-47.36929089805812
1775710084988,good,-47.37710822670342
1775710084988,realistic,-47.3896159525359
1775710084988,bad,-47.4208852671171
1775710084988,ideal,-47.40631917492132
1775710084988,good,-47.41411798572462
1775710084988,realistic,-47.4265960830099
1775710084988,bad,-47.4577913262231
1775710085058,ideal,-47.42174762361432
1775710085058,good,-47.42953871865012
1775710085058,realistic,-47.4420044707074
1775710085058,bad,-47.4731688508506
1775710241148,ideal,-47.57108755465332
1775710241148,good,-47.57880396478662
1775710241148,realistic,-47.5911502209999
1775710241148,bad,-47.6220158615331
1775710241312,ideal,-47.61571280031882
1775710241312,good,-47.62340689336587
1775710241312,realistic,-47.63571744224115
1775710241312,bad,-47.66649381442935
1775710241426,ideal,-47.85474505680432
1775710241426,good,-47.86231960981512
1775710241426,realistic,-47.8744388946324
1775710241426,bad,-47.9047371066756
1775710241714,ideal,-48.03987355119882
1775710241714,good,-48.04735552144587
1775710241714,realistic,-48.05932667384115
1775710241714,bad,-48.08925455482935
1775710241714,ideal,-48.18744614577582
1775710241714,good,-48.19485431496537
1775710241714,realistic,-48.20670738566865
1775710241714,bad,-48.23634006242685
1775710241714,ideal,-48.22456021147782
1775710241714,good,-48.23194981992237
1775710241714,realistic,-48.24377319343365
1775710241714,bad,-48.27333162721185
1775710242116,ideal,-48.26918545714332
1775710242116,good,-48.27655274850162
1775710242116,realistic,-48.2883404146749
1775710242116,bad,-48.3178095801081
1775710242116,ideal,-48.40836320352582
1775710242116,good,-48.41566089209037
1775710242116,realistic,-48.42733719379365
1775710242116,bad,-48.45652794805185
1775710242317,ideal,-48.56565614864382
1775710242317,good,-48.57287517500337
1775710242317,realistic,-48.58442561717865
1775710242317,bad,-48.61330172261685
1775710242517,ideal,-48.60277021434582
1775710242517,good,-48.60997067996037
1775710242517,realistic,-48.62149142494365
1775710242517,bad,-48.65029328740185
1775710242517,ideal,-48.77110901235132
1775710242517,good,-48.77822529172962
1775710242517,realistic,-48.7896113387349
1775710242517,bad,-48.8180764562481
1775728543029,ideal,-48.90127467901032
