ts,profile,equity
1775661063587,ideal,-0.33397854093
1775661063587,good,-0.333811518255
1775661063587,realistic,-0.333544281975
1775661063587,bad,-0.332876191275
1775661063786,ideal,-0.36236831184
1775661063786,good,-0.36218709144
1775661063786,realistic,-0.3618971388
1775661063786,bad,-0.3611722572
1775661064195,ideal,-0.63797238
1775661064195,good,-0.63765333
1775661064195,realistic,-0.63714285
1775661064195,bad,-0.63586665
1775661064250,ideal,-1.77866699544
1775661064250,good,-1.77777748404
1775661064250,realistic,-1.7763542658
1775661064250,bad,-1.7727962202
1775691670950,ideal,-1.789218779661
1775691670950,good,-1.7883239913135
1775691670950,realistic,-1.7868923299575
1775691670950,bad,-1.7833131765675
1775691671412,ideal,-2.779807492287
1775691671412,good,-2.7784173105045
1775691671412,realistic,-2.7761930196525
1775691671412,bad,-2.7706322925225
1775693150379,ideal,-2.800896213699
1775693150379,good,-2.7994954854465
1775693150379,realistic,-2.7972543202425
1775693150379,bad,-2.7916514072325
1775693150609,ideal,-2.823263039439
1775693150609,good,-2.8218511255365
1775693150609,realistic,-2.8195920632925
1775693150609,bad,-2.8139444076825
1775693150690,ideal,-3.780243655029
1775693150690,good,-3.7783531551015
1775693150690,realistic,-3.7753283552175
1775693150690,bad,-3.7677663555075
1775707783081,ideal,-4.7792570628789
1775707783081,good,-4.77686695632615
1775707783081,realistic,-4.77304278584175
1775707783081,bad,-4.76348235963075
