ts,profile,equity
1775662936522,ideal,-0.0381693693474
1775662936522,good,-0.0381884502159
1775662936522,realistic,-0.0382189796055
1775662936522,bad,-0.0382953030795
1775672461255,ideal,-0.1108433447361
1775672461255,good,-0.11089875532635
1775672461255,realistic,-0.11098741227075
1775672461255,bad,-0.11120905463175
1775676436749,ideal,-0.3668025426561
1775676436749,good,-0.36672994804635
1775676436749,realistic,-0.36661379667075
1775676436749,bad,-0.36632341823175
1775676438847,ideal,-0.3849272843796
1775676438847,good,-0.3848637503286
1775676438847,realistic,-0.384762095847
1775676438847,bad,-0.384507959643
1775681307550,ideal,-0.4346172203796
1775681307550,good,-0.4345785263286
1775681307550,realistic,-0.434516615847
1775681307550,bad,-0.434361839643
1775685631603,ideal,-0.5030272456488
1775685631603,good,-0.5030227497708
1775685631603,realistic,-0.503015556366
1775685631603,bad,-0.502997572854
1775689752699,ideal,-2.9805163830203
1775689752699,good,-3.14077062432105
1775689752699,realistic,-3.39717741040225
1775689752699,bad,-4.03819437560525
1775698431392,ideal,-3.21485656180585019965772961
1775698431392,good,-3.389363407582597775242441528
1775698431392,realistic,-3.668574360825393896177980602
1775698431392,bad,-4.366601743932384198516828297
1775698431392,ideal,-4.249558581982048773531089578
1775698431392,good,-4.486996158291277952082144892
1775698431392,realistic,-4.866896280386044637763833412
1775698431392,bad,-5.816646585622961351968054778
1775698431392,ideal,-9.300490743190600000000000084
1775698431392,good,-9.845126763667099999999999991
1775698431392,realistic,-10.71654439642949999999999992
1775698431392,bad,-12.89508847833550000000000007
1775698433655,ideal,-7.475203092780600000000000084
1775698433655,good,-8.516625112232099999999999991
1775698433655,realistic,-10.18290034335449999999999992
1775698433655,bad,-14.34858842116050000000000007
1775702701819,ideal,-7.494813514080600000000000084
1775702701819,good,-8.536245336782099999999999991
1775702701819,realistic,-10.20253625310449999999999992
1775702701819,bad,-14.36826354391050000000000007
1775706854248,ideal,-7.718355796680600000000000084
1775706854248,good,-8.759675825882099999999999991
1775706854248,realistic,-10.42578787260449999999999992
1775706854248,bad,-14.59106798941050000000000007
1775710820883,ideal,-6.215459844861800000000000084
1775710820883,good,-7.757875229516299999999999991
1775710820883,realistic,-10.22573984496349999999999992
1775710820883,bad,-16.39540138358150000000000007
1775715190419,ideal,-6.306371592875000000000000084
1775715190419,good,-7.848741512562499999999999991
1775715190419,realistic,-10.31653338406249999999999992
1775715190419,bad,-16.48601306281250000000000007
1775725543377,ideal,-7.180882866067000000000000084
1775725543377,good,-8.925716068734499999999999991
1775725543377,realistic,-11.71744919300249999999999992
1775725543377,bad,-18.69678200367250000000000007
1775731025118,ideal,-6.976070722987000000000000084
1775731025118,good,-8.764585067954499999999999991
1775731025118,realistic,-11.62620801990249999999999992
1775731025118,bad,-18.78026539977250000000000007
1775731026864,ideal,-7.080785214697600000000000084
1775731026864,good,-8.869351906441599999999999991
1775731026864,realistic,-11.73105861323199999999999992
1775731026864,bad,-18.88532538020800000000000007
1775743599080,ideal,-9.878727764158000000000000084
1775743599080,good,-11.89859408455299999999999999
1775743599080,realistic,-15.13038019718499999999999992
1775743599080,bad,-23.20984547876500000000000007
