ts,profile,equity
1775658679251,ideal,-0.1776966842304
1775658679251,good,-0.1777855148064
1775658679251,realistic,-0.177927643728
1775658679251,bad,-0.178282966032
1775658996840,ideal,-2.0145658059395
1775658996840,good,-2.40861755453825
1775658996840,realistic,-3.03910035229625
1775658996840,bad,-4.61530734669125
1775659115230,ideal,-2.1925049769863
1775659115230,good,-2.58646773820205
1775659115230,realistic,-3.21680815614725
1775659115230,bad,-4.79265920101025
1775659641014,ideal,-1.63714981963270286225402503
1775659641014,good,-2.426251178090578085867620778
1775659641014,realistic,-3.688813351623178443649373906
1775659641014,bad,-6.845218785454679338103756728
1775659739915,ideal,-1.81508899067950286225402503
1775659739915,good,-2.604101361754378085867620778
1775659739915,realistic,-3.866521155474178443649373906
1775659739915,bad,-7.022570639773679338103756728
1775659842699,ideal,-1.227761551365538655790272078
1775659842699,good,-2.411900690947772333197858418
1775659842699,realistic,-4.306523314279346217049996626
1775659842699,bad,-9.043079872608280926680342204
1775659925712,ideal,-1.39764707340980000000000003
1775659925712,good,-2.584004701934299999999999988
1775659925712,realistic,-4.482176907573499999999999986
1775659925712,bad,-9.227607421671500000000000039
1775660031041,ideal,-1.69928697403320000000000003
1775660031041,good,-3.278064646616199999999999988
1775660031041,realistic,-5.804108922748999999999999986
1775660031041,bad,-12.11921961308100000000000004
1775660184162,ideal,-1.76415215779160000000000003
1775660184162,good,-3.345795809770599999999999988
1775660184162,realistic,-5.876425652936999999999999986
1775660184162,bad,-12.20300026085300000000000004
1775660184162,ideal,-1.87203268158200000000000003
1775660184162,good,-3.453730263036999999999999988
1775660184162,realistic,-5.984446393364999999999999986
1775660184162,bad,-12.31123671918500000000000004
1775660222622,ideal,-1.59199523905550000000000003
1775660222622,good,-3.565611382944249999999999988
1775660222622,realistic,-6.723397213166249999999999986
1775660222622,bad,-14.61786178872125000000000004
1775660325122,ideal,-1.76987153967890000000000003
1775660325122,good,-3.743398727626149999999999988
1775660325122,realistic,-6.901042228341749999999999986
1775660325122,bad,-14.79515098013075000000000004
1775660693472,ideal,-1.94777990538800000000000003
1775660693472,good,-3.921218121357999999999999988
1775660693472,realistic,-7.078719266909999999999999986
1775660693472,bad,-14.97247213079000000000000004
1775661008101,ideal,-1.885332744476442857142857165
1775661008101,good,-4.253698827631835714285714258
1775661008101,realistic,-8.043084560680464285714285716
1775661008101,bad,-17.51654889330203571428571431
1775661129699,ideal,-1.914717968256042857142857165
1775661129699,good,-4.283069355860435714285714258
1775661129699,realistic,-8.072431576027464285714285716
1775661129699,bad,-17.54583712644503571428571431
1775661130237,ideal,-1.919828441956842857142857165
1775661130237,good,-4.288177273813235714285714258
1775661130237,realistic,-8.077535404783464285714285716
1775661130237,bad,-17.55093073220903571428571431
1775661130374,ideal,-2.063241110185542857142857165
1775661130374,good,-4.431518221363685714285714258
1775661130374,realistic,-8.220761599248714285714285716
1775661130374,bad,-17.69387004396128571428571431
1775661578569,ideal,-2.241180281232342857142857165
1775661578569,good,-4.609368405027485714285714258
1775661578569,realistic,-8.398469403099714285714285716
1775661578569,bad,-17.87122189828028571428571431
1775662525971,ideal,-2.419148997868842857142857165
1775662525971,good,-4.787248119505235714285714258
1775662525971,realistic,-8.576206714123464285714285716
1775662525971,bad,-18.04860320066903571428571431
1775665428643,ideal,-2.597143507845642857142857165
1775665428643,good,-4.965153614424035714285714258
1775665428643,realistic,-8.753969784949464285714285716
1775665428643,bad,-18.22601021126303571428571431
1775665834974,ideal,-3.542907838587024852526288816
1775665834974,good,-6.305459852589531841497819956
1775665834974,realistic,-10.72554307499354302385226977
1775665834974,bad,-21.77575113100357097973839455
1775666529158,ideal,-3.720902348563824852526288816
1775666529158,good,-6.483365347508331841497819956
1775666529158,realistic,-10.90330614581954302385226977
1775666529158,bad,-21.95315814159757097973839455
1775666986573,ideal,-3.898601969530224852526288816
1775666986573,good,-6.660976100890731841497819956
1775666986573,realistic,-11.08077471106754302385226977
1775666986573,bad,-22.13027123650957097973839455
1775667763976,ideal,-4.076326731467424852526288816
1775667763976,good,-6.838611982670931841497819956
1775667763976,realistic,-11.25826838459654302385226977
1775667763976,bad,-22.30740938941057097973839455
1775669066642,ideal,-5.657399233951973053724337871
1775669066642,good,-8.813363030440794831553041471
1775669066642,realistic,-13.86290510482290967607896709
1775669066642,bad,-26.4867602907781967873937816
1775669410561,ideal,-5.835123995889173053724337871
1775669410561,good,-8.990998912220994831553041471
1775669410561,realistic,-14.04039877835190967607896709
1775669410561,bad,-26.6638984436791967873937816
1775669799198,ideal,-6.012872639049173053724337871
1775669799198,good,-9.168658663280994831553041471
1775669799198,realistic,-14.21791630205190967607896709
1775669799198,bad,-26.8410603989791967873937816
1775671820655,ideal,-7.790112870254710417503430736
1775671820655,good,-11.33956694320567325486215085
1775671820655,realistic,-17.0186934599272137946361028
1775671820655,bad,-31.21650975173106514407098314
1775672322620,ideal,-8.649816254019866940125758315
1775672322620,good,-12.5931938437403010934863677
1775672322620,realistic,-18.90259798729299573886334239
1775672322620,bad,-34.6761083461747323523057796
1775672353805,ideal,-8.853772866890442621591320609
1775672353805,good,-13.19146031029517834742569202
1775672353805,realistic,-20.13176021974275550876068586
1775672353805,bad,-37.48250999336169841209817097
1775672758592,ideal,-8.276820641693456620743352331
1775672758592,good,-13.00985585191615443199523129
1775672758592,realistic,-20.5827121882724709299982371
1775672758592,bad,-39.51485302916326217500575216
1775673013917,ideal,-8.454815151670256620743352331
1775673013917,good,-13.18776134683495443199523129
1775673013917,realistic,-20.7604752590984709299982371
1775673013917,bad,-39.69226003975726217500575216
1775673309245,ideal,-8.632514772636656620743352331
1775673309245,good,-13.36537210021735443199523129
1775673309245,realistic,-20.9379438243464709299982371
1775673309245,bad,-39.86937313466926217500575216
1775673635552,ideal,-8.77797777686423514796830579
1775673635552,good,-13.90521287590511120560584934
1775673635552,realistic,-22.10878903437051289782591858
1775673635552,bad,-42.61772943053401712837609227
1775673813519,ideal,-8.103514799169403452465813428
1775673813519,good,-13.62614643015751637332375224
1775673813519,realistic,-22.46235703973849704669645398
1775673813519,bad,-44.55288356369094873012820897
1775674523308,ideal,-6.617007611349566645599598156
1775674523308,good,-12.53534415411894573809529756
1775674523308,realistic,-22.00468262254995228608841634
1775674523308,bad,-45.67802879362746865607121397
1775674818340,ideal,-4.387861303647124727369659974
1775674818340,good,-10.7022458336377992999204853
1775674818340,realistic,-20.80526108162287861600180566
1775674818340,bad,-46.06279920158557690620510727
1775675252931,ideal,-4.565800474693924727369659974
1775675252931,good,-10.8800960173015992999204853
1775675252931,realistic,-20.98296888547387861600180566
1775675252931,bad,-46.24015105590457690620510727
1775677050855,ideal,-4.743769191330424727369659974
1775677050855,good,-11.0579757317793492999204853
1775677050855,realistic,-21.16070619649762861600180566
1775677050855,bad,-46.41753235829332690620510727
1775679307829,ideal,-4.748588537268424727369659974
1775679307829,good,-11.0627926675623492999204853
1775679307829,realistic,-21.16551927603262861600180566
1775679307829,bad,-46.42233579720832690620510727
1775679307829,ideal,-4.771078818312424727369659974
1775679307829,good,-11.0852717012163492999204853
1775679307829,realistic,-21.18798031386262861600180566
1775679307829,bad,-46.44475184547832690620510727
1775679307829,ideal,-4.780717510188424727369659974
1775679307829,good,-11.0949055727823492999204853
1775679307829,realistic,-21.19760647293262861600180566
1775679307829,bad,-46.45435872330832690620510727
1775679307829,ideal,-4.803207791232424727369659974
1775679307829,good,-11.1173846064363492999204853
1775679307829,realistic,-21.22006751076262861600180566
1775679307829,bad,-46.47677477157832690620510727
1775679307896,ideal,-4.825698072276424727369659974
1775679307896,good,-11.1398636400903492999204853
1775679307896,realistic,-21.24252854859262861600180566
1775679307896,bad,-46.49919081984832690620510727
1775679308172,ideal,-4.921763701307224727369659974
1775679308172,good,-11.2358812266981492999204853
