ts,profile,equity
1775659846569,ideal,-0.06975764568
1775659846569,good,-0.06972275988
1775659846569,realistic,-0.0696669426
1775659846569,bad,-0.0695273994
1775661279408,ideal,-0.311177910078
1775661279408,good,-0.311263710273
1775661279408,realistic,-0.311400990585
1775661279408,bad,-0.311744191365
1775661279408,ideal,-0.3166138630512
1775661279408,good,-0.3167023806792
1775661279408,realistic,-0.316844008884
1775661279408,bad,-0.317198079396
1775668732227,ideal,-0.8008814472012
1775668732227,good,-0.8012120502042
1775668732227,realistic,-0.801741015009
1775668732227,bad,-0.803063427021
1775672801921,ideal,-1.1050116090012
1775672801921,good,-1.1051901165042
1775672801921,realistic,-1.105475728509
1775672801921,bad,-1.106189758521
1775672843850,ideal,-1.8545166780012
1775672843850,good,-1.8543203580042
1775672843850,realistic,-1.854006246009
1775672843850,bad,-1.853220966021
1775672881662,ideal,-4.7633690967540169014084507
1775672881662,good,-5.83437626201934084507042255
1775672881662,realistic,-7.54798772644385915492957745
1775672881662,bad,-11.83201638750515492957746485
1775673346450,ideal,-5.0670055584033169014084507
1775673346450,good,-6.13816451154189084507042255
1775673346450,realistic,-7.85201883656360915492957745
1775673346450,bad,-12.13665464911790492957746485
1775673346450,ideal,-5.0853589818540169014084507
1775673346450,good,-6.15652710986934084507042255
1775673346450,realistic,-7.87039611469385915492957745
1775673346450,bad,-12.15506862675515492957746485
1775674147906,ideal,-5.174460553899287495628397917
1775674147906,good,-6.267044526191778641147108409
1775674147906,realistic,-8.01517888185976447397704509
1775674147906,bad,-12.385514771029729056051887
1775674147906,ideal,-7.404969907432561370934409916
1775674147906,good,-9.033663848130138136266811079
1775674147906,realistic,-11.63957415324626096079865168
1775674147906,bad,-18.15434991603656802212825485
1775674147906,ideal,-7.455460798258214707659046672
1775674147906,good,-9.096290384046186220710266399
1775674147906,realistic,-11.72161772130694064159221668
1775674147906,bad,-18.28493606445882669379709407
1775674148105,ideal,-7.663364466363846094172256845
1775674148105,good,-9.35416435546520774488920007
1775674148105,realistic,-12.05944417802738638603630784
1775674148105,bad,-18.82264373443283298890407909
1775674336201,ideal,-7.839733092876624926080182949
1775674336201,good,-9.560489345589520659396560273
1775674336201,realistic,-12.31369934993015383270276254
1775674336201,bad,-19.1967243607817367659682701
1775674336935,ideal,-8.074891261560330035290751087
1775674336935,good,-9.83558933242193787873970721
1775674336935,realistic,-12.65270624580051042825803547
1775674336935,bad,-19.69549852924694180205385812
1775674336935,ideal,-8.436027020610305738721266442
1775674336935,good,-10.25806431220029289415954001
1775674336935,realistic,-13.17332397874427234286077604
1775674336935,bad,-20.46147314510422096461386829
1775674337006,ideal,-9.280076876064318719994912796
1775674337006,good,-11.24547676493807612787333527
1775674337006,realistic,-14.39011658713608798047880923
1775674337006,bad,-22.2517161426311176119924967
1775674337343,ideal,-9.574024586918950106508122969
1775674337343,good,-11.58935174847859765205226894
1775674337343,realistic,-14.81387520697403372492290039
1775674337343,bad,-22.87518385321262390709948172
1775674337536,ideal,-11.16974073155837763329412105
1775674337536,good,-13.45610165912714306902362315
1775674337536,realistic,-17.11427914323716776619082383
1775674337536,bad,-26.25972285351222950910882897
1775674337939,ideal,-11.45980934985589999999999965
1775674337939,good,-13.79538414324565000000000063
1775674337939,realistic,-17.5323038126692499999999994
1775674337939,bad,-26.87460298622824999999999992
1775674338543,ideal,-11.49182539536589999999999965
1775674338543,good,-13.82738417753065000000000063
1775674338543,realistic,-17.5642782289942499999999994
1775674338543,bad,-26.90651335765324999999999992
1775674338813,ideal,-11.52512208269629999999999965
1775674338813,good,-13.86066421318705000000000063
1775674338813,realistic,-17.5975316219722499999999994
1775674338813,bad,-26.93970014393524999999999992
1775674339413,ideal,-11.53248577316359999999999965
1775674339413,good,-13.86802422107260000000000063
1775674339413,realistic,-17.6048857377269999999999994
1775674339413,bad,-26.94703952936299999999999992
1775674660412,ideal,-11.63454155792359999999999965
1775674660412,good,-13.97002896773260000000000063
1775674660412,realistic,-17.7068088234269999999999994
1775674660412,bad,-27.04875846266299999999999992
1775682723780,ideal,-13.14590662532359999999999965
1775682723780,good,-15.64436420363260000000000063
1775682723780,realistic,-19.6418963289269999999999994
1775682723780,bad,-29.63572664216299999999999992
1775682740403,ideal,-13.18243707223459999999999965
1775682740403,good,-15.69257188032110000000000063
1775682740403,realistic,-19.7087875732594999999999994
1775682740403,bad,-29.74932680560549999999999992
1775682740403,ideal,-15.77495708159839999999999965
1775682740403,good,-19.10751236559440000000000063
1775682740403,realistic,-24.4396008199879999999999994
1775682740403,bad,-37.76982195597199999999999992
1775689190454,ideal,-15.99790008407839999999999965
1775689190454,good,-19.33034387427440000000000063
1775689190454,realistic,-24.6622539385879999999999994
1775689190454,bad,-37.99202909937199999999999992
1775714891603,ideal,-16.14744383684839999999999965
1775714891603,good,-19.47996238396940000000000063
1775714891603,realistic,-24.8119920593629999999999994
1775714891603,bad,-38.14206624784699999999999992
1775714891603,ideal,-16.18679970644839999999999965
1775714891603,good,-19.51933792756940000000000063
1775714891603,realistic,-24.8513990813629999999999994
1775714891603,bad,-38.18155196584699999999999992
1775715641448,ideal,-16.28512834824439999999999965
1775715641448,good,-19.61771572385540000000000063
1775715641448,realistic,-24.9498555248329999999999994
1775715641448,bad,-38.28020502727699999999999992
1775715713720,ideal,-16.35575370209071999999999965
1775715713720,good,-19.68837638331752000000000063
1775715713720,realistic,-25.0205726732803999999999994
1775715713720,bad,-38.35106339818759999999999992
1775715713720,ideal,-16.36561308197239999999999965
1775715713720,good,-19.69824069190340000000000063
1775715713720,realistic,-25.0304448677929999999999994
1775715713720,bad,-38.36095530751699999999999992
