ts,profile,equity
1775674967294,ideal,-1.721529865152
1775674967294,good,-1.720668928032
1775674967294,realistic,-1.71929142864
1775674967294,bad,-1.71584768016
1775674967294,ideal,-3.968379505332
1775674967294,good,-3.966394918662
1775674967294,realistic,-3.96321957999
1775674967294,bad,-3.95528123331
1775674967294,ideal,-4.497918716304
1775674967294,good,-4.495669307064
1775674967294,realistic,-4.49207025228
1775674967294,bad,-4.48307261532
1775675225443,ideal,-4.757259077856
1775675225443,good,-4.754879972496
1775675225443,realistic,-4.75107340392
1775675225443,bad,-4.74155698248
1775675225443,ideal,-6.747643641312
1775675225443,good,-6.744269144592
1775675225443,realistic,-6.73886994984
1775675225443,bad,-6.72537196296
1775685761249,ideal,-6.876975894687
1775685761249,good,-6.8735367189045
1775685761249,realistic,-6.8680340376525
1775685761249,bad,-6.8542773345225
1775685761249,ideal,-8.225480879739
1775685761249,good,-8.2213673165865
1775685761249,realistic,-8.2147856155425
1775685761249,bad,-8.1983313629325
1775685761249,ideal,-8.272127278593
1775685761249,good,-8.2679903875755
1775685761249,realistic,-8.2613713619475
1775685761249,bad,-8.2448237978775
1775685761249,ideal,-8.392978728468
1775685761249,good,-8.388781399638
1775685761249,realistic,-8.38206567351
1775685761249,bad,-8.36527635819
1775685761249,ideal,-8.507469575718
1775685761249,good,-8.503214990013
1775685761249,realistic,-8.496407652885
1775685761249,bad,-8.479389310065
1775685761249,ideal,-8.995115776968
1775685761249,good,-8.990617319388
1775685761249,realistic,-8.98341978726
1775685761249,bad,-8.96542595694
1775694298298,ideal,-13.623477619428
1775694298298,good,-13.616664517998
1775694298298,realistic,-13.60576355571
1775694298298,bad,-13.57851114999
1775694298298,ideal,-15.74322507513
1775694298298,good,-15.735351887955
1775694298298,realistic,-15.722754788475
1775694298298,bad,-15.691262039775
1775694812096,ideal,-16.2457461198162
1775694812096,good,-16.2376216218567
1775694812096,realistic,-16.2246224251215
1775694812096,bad,-16.1921244332835
1775694851526,ideal,-16.4341819251162
1775694851526,good,-16.4259631904067
1775694851526,realistic,-16.4128132148715
1775694851526,bad,-16.3799382760335
1775694851526,ideal,-16.49406610913355
1775694851526,good,-16.485817426342425
1775694851526,realistic,-16.472619533876625
1775694851526,bad,-16.439624802712125
1775694851526,ideal,-16.56266001760755
1775694851526,good,-16.554377031001425
1775694851526,realistic,-16.541124252431625
1775694851526,bad,-16.507992306007125
1775694851526,ideal,-16.72649197401168
1775694851526,good,-16.71812705504088
1775694851526,realistic,-16.7047431846876
1775694851526,bad,-16.6712835088044
1775694851526,ideal,-16.92032398500465
1775694851526,good,-16.911862130641275
1775694851526,realistic,-16.898323163659875
1775694851526,bad,-16.864475746206375
1775694878030,ideal,-17.37025059928113
1775694878030,good,-17.361563736608955
1775694878030,realistic,-17.347664756333475
1775694878030,bad,-17.312917305644775
1775694878030,ideal,-17.50157257963113
1775694878030,good,-17.492820042833955
1775694878030,realistic,-17.478815983958475
1775694878030,bad,-17.443805836769775
1775694878030,ideal,-17.59534434432657
1775694878030,good,-17.586544912267995
1775694878030,realistic,-17.572465820974275
1775694878030,bad,-17.537268092739975
1775694904137,ideal,-18.01332645958089
1775694904137,good,-18.004317994658115
1775694904137,realistic,-17.989904450781675
1775694904137,bad,-17.953870591090575
1775694904137,ideal,-18.09694061340489
1775694904137,good,-18.087890333042115
1775694904137,realistic,-18.073409884461675
1775694904137,bad,-18.037208763010575
1775694904137,ideal,-18.18545806637289
1775694904137,good,-18.176363518430115
1775694904137,realistic,-18.161812241721675
1775694904137,bad,-18.125434049950575
1775694949135,ideal,-18.28939171698459
1775694949135,good,-18.280245191821065
1775694949135,realistic,-18.265610751559425
1775694949135,bad,-18.229024650905325
1775694949135,ideal,-18.32309992799379
1775694949135,good,-18.313936545353265
1775694949135,realistic,-18.299275133128425
1775694949135,bad,-18.262621602566325
1775694985852,ideal,-18.36426788165601
1775694985852,good,-18.355083910921035
1775694985852,realistic,-18.340389557745075
1775694985852,bad,-18.303653674805175
1775695024546,ideal,-18.46025576893827
1775695024546,good,-18.451023794658945
1775695024546,realistic,-18.436252635812025
