ts,profile,equity
1775663196894,ideal,-0.012823514784
1775663196894,good,-0.012817101744
1775663196894,realistic,-0.01280684088
1775663196894,bad,-0.01278118872
1775663197030,ideal,-0.0179529206976
1775663197030,good,-0.0179439424416
1775663197030,realistic,-0.017929577232
1775663197030,bad,-0.017893664208
1775663197315,ideal,-0.0403940715696
1775663197315,good,-0.0403738704936
1775663197315,realistic,-0.040341548772
1775663197315,bad,-0.040260744468
1775663224372,ideal,-0.0628352224416
1775663224372,good,-0.0628037985456
1775663224372,realistic,-0.062753520312
1775663224372,bad,-0.062627824728
1775663224456,ideal,-0.653999253984
1775663224456,good,-0.653672188944
1775663224456,realistic,-0.65314888488
1775663224456,bad,-0.65184062472
