ts,profile,equity
1775658169647,ideal,-6.2568663810516
1775658169647,good,-6.2599941886806
1775658169647,realistic,-6.264998680887
1775658169647,bad,-6.277509911403
1775706818509,ideal,-6.4546179279525
1775706818509,good,-6.45784459158375
1775706818509,realistic,-6.46300725339375
1775706818509,bad,-6.47591390791875
1775706819445,ideal,-6.4769807846295
1775706819445,good,-6.48021862745325
1775706819445,realistic,-6.48539917597125
1775706819445,bad,-6.49835054726625
1775706820193,ideal,-6.4993436413065
1775706820193,good,-6.50259266332275
1775706820193,realistic,-6.50779109854875
1775706820193,bad,-6.52078718661375
1775706820992,ideal,-6.5217064979835
1775706820992,good,-6.52496669919225
1775706820992,realistic,-6.53018302112625
1775706820992,bad,-6.54322382596125
1775706821730,ideal,-6.5440693546605
1775706821730,good,-6.54734073506175
1775706821730,realistic,-6.55257494370375
1775706821730,bad,-6.56566046530875
1775706823556,ideal,-6.5664322113375
1775706823556,good,-6.56971477093125
1775706823556,realistic,-6.57496686628125
1775706823556,bad,-6.58809710465625
1775706823824,ideal,-6.5887950680145
1775706823824,good,-6.59208880680075
1775706823824,realistic,-6.59735878885875
1775706823824,bad,-6.61053374400375
1775706824828,ideal,-6.6111579246915
1775706824828,good,-6.61446284267025
1775706824828,realistic,-6.61975071143625
1775706824828,bad,-6.63297038335125
1775706825033,ideal,-6.6335207813685
1775706825033,good,-6.63683687853975
1775706825033,realistic,-6.64214263401375
1775706825033,bad,-6.65540702269875
1775706826036,ideal,-6.6558836380455
1775706826036,good,-6.65921091440925
1775706826036,realistic,-6.66453455659125
1775706826036,bad,-6.67784366204625
1775706826237,ideal,-6.6782464947225
1775706826237,good,-6.68158495027875
1775706826237,realistic,-6.68692647916875
1775706826237,bad,-6.70028030139375
1775706828181,ideal,-6.7006093513995
1775706828181,good,-6.70395898614825
1775706828181,realistic,-6.70931840174625
1775706828181,bad,-6.72271694074125
1775706829054,ideal,-6.7504465748511
1775706829054,good,-6.75382112322885
1775706829054,realistic,-6.75922040063325
1775706829054,bad,-6.77271859414425
1775706829250,ideal,-6.7728094315281
1775706829250,good,-6.77619515909835
1775706829250,realistic,-6.78161232321075
1775706829250,bad,-6.79515523349175
1775706830057,ideal,-6.7785598803879
1775706830057,good,-6.78194848260765
1775706830057,realistic,-6.78737024615925
1775706830057,bad,-6.80092465503825
1775706830794,ideal,-6.8009227370649
1775706830794,good,-6.80432251847715
1775706830794,realistic,-6.80976216873675
1775706830794,bad,-6.82336129438575
1775706831048,ideal,-6.8066731859247
1775706831048,good,-6.81007584198645
1775706831048,realistic,-6.81552009168525
1775706831048,bad,-6.82913071593225
1775706831597,ideal,-6.8290360426017
1775706831597,good,-6.83244987785595
1775706831597,realistic,-6.83791201426275
1775706831597,bad,-6.85156735527975
1775706831999,ideal,-6.8513988992787
1775706831999,good,-6.85482391372545
1775706831999,realistic,-6.86030393684025
1775706831999,bad,-6.87400399462725
1775706832064,ideal,-6.8568298787574
1775706832064,good,-6.8602576081509
1775706832064,realistic,-6.8657419751805
1775706832064,bad,-6.8794528927545
1775706832266,ideal,-6.8791927354344
1775706832266,good,-6.8826316440204
1775706832266,realistic,-6.888133897758
1775706832266,bad,-6.901889532102
1775706832397,ideal,-7.0616097520425
1775706832397,good,-7.06513985089875
1775706832397,realistic,-7.07078800906875
1775706832397,bad,-7.08490840449375
1775706832397,ideal,-7.0839726087195
1775706832397,good,-7.08751388676825
1775706832397,realistic,-7.09317993164625
1775706832397,bad,-7.10734504384125
1775706832397,ideal,-7.2663896253276
1775706832397,good,-7.2700220936466
1775706832397,realistic,-7.275834042957
1775706832397,bad,-7.290363916233
1775706832397,ideal,-7.4488066419357
1775706832397,good,-7.45253030052495
1775706832397,realistic,-7.45848815426775
1775706832397,bad,-7.47338278862475
1775706832397,ideal,-7.6312236585438
1775706832397,good,-7.6350385074033
1775706832397,realistic,-7.6411422655785
1775706832397,bad,-7.6564016610165
1775706832397,ideal,-7.7797769207553
1775706832397,good,-7.78366603139355
1775706832397,realistic,-7.78988860841475
1775706832397,bad,-7.80544505096775
1775706832397,ideal,-7.9621939373634
1775706832397,good,-7.9661742382719
1775706832397,realistic,-7.9725427197255
1775706832397,bad,-7.9884639233595
1775707199817,ideal,-7.9679428469154
1775707199817,good,-7.9719260217039
1775707199817,realistic,-7.9782991013655
1775707199817,bad,-7.9942318005195
1775707201074,ideal,-7.9733723726034
1775707201074,good,-7.9773582616119
1775707201074,realistic,-7.9837356840255
1775707201074,bad,-7.9996792400595
1775707201430,ideal,-7.9957292430834
1775707201430,good,-7.9997263082919
1775707201430,realistic,-8.0061216126255
1775707201430,bad,-8.0221098734595
1775707201430,ideal,-8.0180861135634
1775707201430,good,-8.0220943549719
1775707201430,realistic,-8.0285075412255
1775707201430,bad,-8.0445405068595
