ts,profile,equity
1775660403976,ideal,-0.0220039954191
1775660403976,good,-0.02201499521685
1775660403976,realistic,-0.02203259489325
1775660403976,bad,-0.02207659408425
1775660704565,ideal,-0.271073284918
1775660704565,good,-0.319857494713
1775660704565,realistic,-0.397912230385
1775660704565,bad,-0.593049069565
1775660705134,ideal,-0.357026295877
1775660705134,good,-0.4057675205695
1775660705134,realistic,-0.4837534800775
1775660705134,bad,-0.6787183788475
1775660873142,ideal,-0.3723483543523
1775660873142,good,-0.42108191648305
1775660873142,realistic,-0.49905561589225
1775660873142,bad,-0.69398986441525
1775661593762,ideal,-0.6874126698841
1775661593762,good,-0.73598866834435
1775661593762,realistic,-0.81371026588075
1775661593762,bad,-1.00801425972175
1775664003769,ideal,-0.8354131743943635128334172118
1775664003769,good,-0.9330870251368148213387015611
1775664003769,realistic,-1.089365186324736914947156519
1775664003769,bad,-1.48006058929454214896829391
1775665831536,ideal,-1.759304947108256215400100653
1775665831536,good,-2.857859899836747785606441893
1775665831536,realistic,-4.615547824202334297936587852
1775665831536,bad,-9.009767635116300578761952686
1775667603435,ideal,-2.003537970773819728233517865
1775667603435,good,-3.151238882422762606945143454
1775667603435,realistic,-4.987560341061071212883744371
1775667603435,bad,-9.578363987656842727730246596
1775671204600,ideal,-2.542372387436283241066935077
1775671204600,good,-3.739366529247927428283845015
1775671204600,realistic,-5.65455715614655812783090089
1775671204600,bad,-10.44253372339313487669854051
1775674804469,ideal,-2.422929142392246753900352289
1775674804469,good,-3.668887441350342249622546576
1775674804469,realistic,-5.662420719683295042778057409
1775674804469,bad,-10.64625391551567702566683442
1775676982606,ideal,-2.872668086610246753900352289
1775676982606,good,-4.118401471113342249622546576
1775676982606,realistic,-6.111574886318295042778057409
1775676982606,bad,-11.09450842433067702566683442
1775678404255,ideal,-3.030349814058130624630876966
1775678404255,good,-4.325124255508891711535942575
1775678404255,realistic,-6.396763361830109450584047498
1775678404255,bad,-11.57586112763315379820430976
1775682008352,ideal,-3.196887294802514495361401643
1775682008352,good,-4.540707220192191173449338574
1775682008352,realistic,-6.690819100815673858390037587
1775682008352,bad,-12.0660988023743805707417851
1775685602821,ideal,-3.46260921246769836609192632
1775685602821,good,-4.855524204098290635362734573
1775685602821,realistic,-7.084188190707238266196027676
1775685602821,bad,-12.65584815722960734327926044
1775685675048,ideal,-4.199813553207190000068941338
1775685675048,good,-5.757411003914227812631419451
1775685675048,realistic,-8.249566925045488312731384246
1775685675048,bad,-14.47995672787363956298129633
1775685676256,ideal,-5.380085149239608424163455282
1775685676256,good,-7.201340880387218141894919988
1775685676256,realistic,-10.1153500502233936902652632
1775685676256,bad,-17.40037297481383256119112147
1775685678740,ideal,-7.949130579089351997113659134
1775685678740,good,-10.34427972823063557783124608
1775685678740,realistic,-14.17651836685668930697938458
1775685678740,bad,-23.75711496342182362984973139
1775686320833,ideal,-8.47840946105660000000000033
1775686320833,good,-11.18087448119810000000000065
1775686320833,realistic,-15.50481851342450000000000039
1775686320833,bad,-26.31467859399050000000000048
1775689255528,ideal,-8.68356253623380000000000033
1775689255528,good,-11.38592495931830000000000065
1775689255528,realistic,-15.70970483625350000000000039
1775689255528,bad,-26.51915452859150000000000048
1775689315831,ideal,-8.78419999369200000000000033
1775689315831,good,-11.49731178792200000000000065
1775689315831,realistic,-15.83829065869000000000000039
1775689315831,bad,-26.69073783561000000000000048
1775689316704,ideal,-9.56607562471340000000000033
1775689316704,good,-12.36270176399690000000000065
1775689316704,realistic,-16.83730358685050000000000039
1775689316704,bad,-28.02380814398450000000000048
1775689316704,ideal,-9.93766008302060000000000033
1775689316704,good,-12.77397620807210000000000065
1775689316704,realistic,-17.31208200815450000000000039
1775689316704,bad,-28.65734650836050000000000048
1775689513769,ideal,-10.05563282064860000000000033
1775689513769,good,-12.90435113977010000000000065
1775689513769,realistic,-17.46230045036450000000000039
1775689513769,bad,-28.85717372685050000000000048
1775690045390,ideal,-10.50013278787160000000000033
1775690045390,good,-13.34862881255060000000000065
1775690045390,realistic,-17.90622245203700000000000039
1775690045390,bad,-29.30020655075300000000000048
1775690045390,ideal,-10.50571695831410000000000033
