ts,profile,equity
1775658728373,ideal,-0.03662004832524
1775658728373,good,-0.03660173463834
1775658728373,realistic,-0.0365724327393
1775658728373,bad,-0.0364991779917
1775658728373,ideal,-0.13139994480399
1775658728373,good,-0.131334231688965
1775658728373,realistic,-0.131229090704925
1775658728373,bad,-0.130966238244825
1775658731415,ideal,-0.16425631961451
1775658731415,good,-0.164174175025785
1775658731415,realistic,-0.164042743683825
1775658731415,bad,-0.163714165328925
1775658922142,ideal,-0.29651043214791
1775658922142,good,-0.296494401392685
1775658922142,realistic,-0.296468752184325
1775658922142,bad,-0.296404629163425
1775658923089,ideal,-0.32943561836841
1775658923089,good,-0.329436046914435
1775658923089,realistic,-0.329436732588075
1775658923089,bad,-0.329438446772175
1775658936555,ideal,-0.41180162477571
1775658936555,good,-0.411843228089985
1775658936555,realistic,-0.411909793392825
1775658936555,bad,-0.412076206649925
1775658941719,ideal,-0.49424214358251
1775658941719,good,-0.494324958913785
1775658941719,realistic,-0.494457463443825
1775658941719,bad,-0.494788724768925
1775658948523,ideal,-0.4945047400559558289334741288
1775658948523,good,-0.4949745950555338912354804646
1775658948523,realistic,-0.4957263630548587909186906019
1775658948523,bad,-0.497605783053171040126715945
1775658948523,ideal,-0.5596763069727796937697993592
1775658948523,good,-0.6600036858140478299894403314
1775658948523,realistic,-0.8205274919600768479408658921
1775658948523,bad,-1.221837007325149392819429755
1775658948523,ideal,-0.6287036074457870855332629224
1775658948523,good,-0.8118510581929105543822597558
1775658948523,realistic,-1.104886979388308104540654699
1775658948523,bad,-1.837476782376801979936641985
1775658954641,ideal,-0.8001809986426641710665258448
1775658954641,good,-1.166374573139636108764519512
1775658954641,realistic,-1.752284292334791209081309398
1775658954641,bad,-3.21705859032267895987328397
1775658969467,ideal,-0.8678606268616641710665258448
1775658969467,good,-1.234088034406136108764519512
1775658969467,realistic,-1.820051886477291209081309398
1775658969467,bad,-3.28496151665517895987328397
1775658970334,ideal,-0.8936865192073041710665258448
1775658970334,good,-1.259926837115876108764519512
1775658970334,realistic,-1.845911345769591209081309398
1775658970334,bad,-3.31087261740387895987328397
1775658971159,ideal,-0.9008698799921841710665258448
1775658971159,good,-1.267113788862956108764519512
1775658971159,realistic,-1.853104043056191209081309398
1775658971159,bad,-3.31807967853927895987328397
1775658972346,ideal,-0.9339107528453841710665258448
1775658972346,good,-1.300171178849156108764519512
1775658972346,realistic,-1.886187860455191209081309398
1775658972346,bad,-3.35122956447027895987328397
1775658993618,ideal,-0.9530468224940241710665258448
1775658993618,good,-1.319316814619396108764519512
1775658993618,realistic,-1.905348802019991209081309398
1775658993618,bad,-3.37042877052147895987328397
1775658993618,ideal,-1.164934696194944171066525845
1775658993618,good,-1.531310611072616108764519512
1775658993618,realistic,-2.117512074876891209081309398
1775658993618,bad,-3.58301573438757895987328397
1775658999228,ideal,-1.396047432399524171066525845
1775658999228,good,-1.762538880538646108764519512
1775658999228,realistic,-2.348925197561241209081309398
1775658999228,bad,-3.81489099011772895987328397
1775659042903,ideal,-1.327190725573369999999999947
1775659042903,good,-2.060754710131794999999999953
1775659042903,realistic,-3.234457085425274999999999999
1775659042903,bad,-6.16871302365897499999999983
1775659046502,ideal,-1.393130407998769999999999947
1775659046502,good,-2.126661416120694999999999953
1775659046502,realistic,-3.300311029115774999999999999
1775659046502,bad,-6.23443506160347499999999983
1775660558957,ideal,-0.6478636152636558350951373585
1775660558957,good,-1.558918727937858847780126819
1775660558957,realistic,-3.016606908216583668076109928
1775660558957,bad,-6.660827358913395718816067486
1775660564291,ideal,-0.0508757746486478012684988715
1775660564291,good,-1.139141542096112970401691317
1775660564291,realistic,-2.880366770012057241014799138
1775660564291,bad,-7.233429839801917917547568546
1775660579343,ideal,-0.095616773529169999999999928
1775660579343,good,-1.195144565477094999999999986
1775660579343,realistic,-2.954389032593774999999999983
1775660579343,bad,-7.352500200385474999999999836
1775660582000,ideal,-0.113696888829169999999999928
1775660582000,good,-1.213233719027094999999999986
1775660582000,realistic,-2.972492647343774999999999983
1775660582000,bad,-7.370639968135474999999999836
1775660582063,ideal,-0.175064972491669999999999928
1775660582063,good,-1.274632480595844999999999986
1775660582063,realistic,-3.033940493562524999999999983
1775660582063,bad,-7.432210525979224999999999836
1775660596020,ideal,-0.2456115479351886440677965544
1775660596020,good,-1.550682747670759124293785278
1775660596020,realistic,-3.638796667247671892655367194
1775660596020,bad,-8.859081466189953813559321871
1775660596020,ideal,-0.393270083922169999999999955
1775660596020,good,-1.834649501852594999999999955
1775660596020,realistic,-4.140856570541274999999999949
1775660596020,bad,-9.906374242262974999999999838
1775660598566,ideal,-0.456908962600369999999999955
1775660598566,good,-1.898256554726294999999999955
1775660598566,realistic,-4.204412702127774999999999949
1775660598566,bad,-9.969803070631474999999999838
1775662212823,ideal,-1.361664041933269999999999955
1775662212823,good,-2.803463921141444999999999955
1775662212823,realistic,-5.110343727874524999999999949
1775662212823,bad,-10.87754324470722499999999984
1775662215725,ideal,-1.649656198847269999999999955
1775662215725,good,-3.091600045340444999999999955
1775662215725,realistic,-5.398710199729524999999999949
1775662215725,bad,-11.16648558570222499999999984
1775662215788,ideal,-1.937648355761269999999999955
1775662215788,good,-3.379736169539444999999999955
1775662215788,realistic,-5.687076671584524999999999949
1775662215788,bad,-11.45542792669722499999999984
1775662217136,ideal,-2.266034217800869999999999955
1775662217136,good,-3.708286191678044999999999955
1775662217136,realistic,-6.015889349881524999999999949
1775662217136,bad,-11.78489724539022499999999984
1775662223944,ideal,-3.032392567822669999999999955
1775662223944,good,-4.475027644254344999999999955
1775662223944,realistic,-6.783243766545024999999999949
1775662223944,bad,-12.55378407227172499999999984
1775662230153,ideal,-3.587057981723269999999999955
1775662230153,good,-5.029970335406444999999999955
1775662230153,realistic,-7.338630101299524999999999949
1775662230153,bad,-13.11027951603222499999999984
1775662230153,ideal,-3.798376902056269999999999955
1775662230153,good,-5.241394894071944999999999955
1775662230153,realistic,-7.550223681297024999999999949
1775662230153,bad,-13.32229564935972499999999984
1775662236874,ideal,-3.803239107302869999999999955
