ts,profile,equity
1775658577754,ideal,-2.629515798
1775658577754,good,-2.630830293
1775658577754,realistic,-2.632933485
1775658577754,bad,-2.638191465
1775658583900,ideal,-4.660226368902
1775658583900,good,-4.662556016157
1775658583900,realistic,-4.666283451765
1775658583900,bad,-4.675602040785
1775658583900,ideal,-5.255700524919
1775658583900,good,-5.2583278497165
1775658583900,realistic,-5.2625315693925
1775658583900,bad,-5.2730408685825
1775658583900,ideal,-5.2581539205
1775658583900,good,-5.26078247175
1775658583900,realistic,-5.26498815375
1775658583900,bad,-5.27550235875
1775662103768,ideal,-11.6596533645
1775662103768,good,-11.65908052575
1775662103768,realistic,-11.65816398375
1775662103768,bad,-11.65587262875
1775662131065,ideal,-18.0622325925
1775662131065,good,-18.05845782375
1775662131065,realistic,-18.05241819375
1775662131065,bad,-18.03731911875
1775662134063,ideal,-18.158265882
1775662134063,good,-18.154443087
1775662134063,realistic,-18.148326615
1775662134063,bad,-18.133035435
1775662134063,ideal,-18.1630678839075
1775662134063,good,-18.15924268742625
1775662134063,realistic,-18.15312237305625
1775662134063,bad,-18.13782158713125
1775662134063,ideal,-20.5977634433883
1775662134063,good,-20.59272065560905
1775662134063,realistic,-20.58465219516225
1775662134063,bad,-20.56448104404525
1775662134063,ideal,-20.6028853627995
1775662134063,good,-20.59784001354825
1775662134063,realistic,-20.58976745474625
1775662134063,bad,-20.56958605774125
1775662134063,ideal,-20.6537830062345
1775662134063,good,-20.64871220307075
1775662134063,realistic,-20.64059891800875
1775662134063,bad,-20.62031570535375
1775662134063,ideal,-20.658584738196
1775662134063,good,-20.653511533686
1775662134063,realistic,-20.64539440647
1775662134063,bad,-20.62510158843
1775662134063,ideal,-20.6710694167608
1775662134063,good,-20.6659899686628
1775662134063,realistic,-20.657862851706
1775662134063,bad,-20.637545059314
1775662134063,ideal,-20.7735034858488
1775662134063,good,-20.7683728104708
1775662134063,realistic,-20.760163729866
1775662134063,bad,-20.739641028354
1775662134063,ideal,-20.7783050828373
1775662134063,good,-20.77317200618055
1775662134063,realistic,-20.76495908352975
1775662134063,bad,-20.74442677690275
1775662134063,ideal,-22.5389153903373
1775662134063,good,-22.53290183243055
1775662134063,realistic,-22.52328013977975
1775662134063,bad,-22.49922590815275
1775662134063,ideal,-22.5437171897853
1775662134063,good,-22.53770123049855
1775662134063,realistic,-22.52807569563975
1775662134063,bad,-22.50401185849275
1775662134063,ideal,-24.4644099743853
1775662134063,good,-24.45743347659855
1775662134063,realistic,-24.44627108013975
1775662134063,bad,-24.41836508899275
1775662192449,ideal,-30.8656394723853
1775662192449,good,-30.85546171959855
1775662192449,realistic,-30.83917731513975
1775662192449,bad,-30.79846630399275
1775662192449,ideal,-34.1370759986964
1775662192449,good,-34.1252622004374
1775662192449,realistic,-34.106360123223
1775662192449,bad,-34.059104930187
1775662192449,ideal,-34.3473209168013
1775662192449,good,-34.33540197505455
1775662192449,realistic,-34.31633166825975
1775662192449,bad,-34.26865590127275
1775662192449,ideal,-37.2657891863853
1775662192449,good,-37.25241071859855
1775662192449,realistic,-37.23100517013975
1775662192449,bad,-37.17749129899275
1775662200018,ideal,-37.2881969539353
1775662200018,good,-37.27480728002355
1775662200018,realistic,-37.25338380176475
1775662200018,bad,-37.19982510611775
1775662200018,ideal,-37.2933187293753
1775662200018,good,-37.27992649406355
1775662200018,realistic,-37.25849891756475
1775662200018,bad,-37.20492997631775
1775662200094,ideal,-43.6680084863853
1775662200094,good,-43.65142826859855
1775662200094,realistic,-43.62489992013975
1775662200094,bad,-43.55857904899275
1775662902616,ideal,-50.0785061303853
1775662902616,good,-50.05872002259855
1775662902616,realistic,-50.02706225013975
1775662902616,bad,-49.94791781899275
1775662969385,ideal,-53.2854196193853
1775662969385,good,-53.26402973409855
1775662969385,realistic,-53.22980591763975
1775662969385,bad,-53.14424637649275
1775663105313,ideal,-62.2495603885941
1775663105313,good,-62.22368753632935
1775663105313,realistic,-62.18229097270575
1775663105313,bad,-62.07879956364675
1775663105396,ideal,-69.2968166993853
1775663105396,good,-69.26741951409855
1775663105396,realistic,-69.22038401763975
1775663105396,bad,-69.10279527649275
1775663217490,ideal,-69.3138064257603
1775663217490,good,-69.28440074391105
1775663217490,realistic,-69.23735165295225
1775663217490,bad,-69.11972892555525
1775663217567,ideal,-69.3186148388853
1775663217567,good,-69.28920675234855
1775663217567,realistic,-69.24215381388975
1775663217567,bad,-69.12452146774275
1775663217974,ideal,-69.3410541001353
1775663217974,good,-69.31163479172355
1775663217974,realistic,-69.26456389826475
1775663217974,bad,-69.14688666461775
1775663218035,ideal,-69.3884971096353
1775663218035,good,-69.35905407497355
1775663218035,realistic,-69.31194521951475
1775663218035,bad,-69.19417308086775
1775663218035,ideal,-69.4109363708853
1775663218035,good,-69.38148211434855
1775663218035,realistic,-69.33435530388975
1775663218035,bad,-69.21653827774275
1775663218704,ideal,-69.4333756321353
1775663218704,good,-69.40391015372355
1775663218704,realistic,-69.35676538826475
1775663218704,bad,-69.23890347461775
1775663219912,ideal,-69.4558148933853
1775663219912,good,-69.42633819309855
1775663219912,realistic,-69.37917547263975
1775663219912,bad,-69.26126867149275
1775663220043,ideal,-69.4609438673853
1775663220043,good,-69.43146460209855
1775663220043,realistic,-69.38429777763975
1775663220043,bad,-69.26638071649275
1775663220043,ideal,-69.4833831286353
1775663220043,good,-69.45389264147355
1775663220043,realistic,-69.40670786201475
1775663220043,bad,-69.28874591336775
1775663220043,ideal,-69.5112719247603
1775663220043,good,-69.48176749041105
1775663220043,realistic,-69.43456039545225
1775663220043,bad,-69.31654265805525
1775663220110,ideal,-69.5337111860103
1775663220110,good,-69.50419552978605
1775663220110,realistic,-69.45697047982725
1775663220110,bad,-69.33890785493025
1775663221667,ideal,-69.5561504472603
1775663221667,good,-69.52662356916105
1775663221667,realistic,-69.47938056420225
1775663221667,bad,-69.36127305180525
1775663221905,ideal,-69.5785897085103
1775663221905,good,-69.54905160853605
1775663221905,realistic,-69.50179064857725
1775663221905,bad,-69.38363824868025
1775663222892,ideal,-69.6010289697603
1775663222892,good,-69.57147964791105
1775663222892,realistic,-69.52420073295225
1775663222892,bad,-69.40600344555525
1775663223097,ideal,-83.1258128468853
