ts,profile,equity
1775690663756,ideal,-0.1478385048843
1775690663756,good,-0.14776457084505
1775690663756,realistic,-0.14764627638225
1775690663756,bad,-0.14735054022525
1775690665022,ideal,-0.1561404511629
1775690665022,good,-0.15606236532015
1775690665022,realistic,-0.15593742797175
1775690665022,bad,-0.15562508460075
1775690665626,ideal,-0.1784918449899
1775690665626,good,-0.17840258121465
1775690665626,realistic,-0.17825975917425
1775690665626,bad,-0.17790270407325
1775690666158,ideal,-0.2008432388169
1775690666158,good,-0.20074279710915
1775690666158,realistic,-0.20058209037675
1775690666158,bad,-0.20018032354575
1775690666378,ideal,-0.2231946326439
1775690666378,good,-0.22308301300365
1775690666378,realistic,-0.22290442157925
1775690666378,bad,-0.22245794301825
1775690667642,ideal,-0.2455460264709
1775690667642,good,-0.24542322889815
1775690667642,realistic,-0.24522675278175
1775690667642,bad,-0.24473556249075
1775690668113,ideal,-0.2503356108624
1775690668113,good,-0.2502104180184
1775690668113,realistic,-0.250010109468
1775690668113,bad,-0.249509338092
1775690668442,ideal,-0.2726870046894
1775690668442,good,-0.2725506339129
1775690668442,realistic,-0.2723324406705
1775690668442,bad,-0.2717869575645
1775690668647,ideal,-0.2950383985164
1775690668647,good,-0.2948908498074
1775690668647,realistic,-0.294654771873
1775690668647,bad,-0.294064577037
1775690668913,ideal,-0.3173897923434
1775690668913,good,-0.3172310657019
1775690668913,realistic,-0.3169771030755
1775690668913,bad,-0.3163421965095
1775690669112,ideal,-0.3397411861704
1775690669112,good,-0.3395712815964
1775690669112,realistic,-0.339299434278
1775690669112,bad,-0.338619815982
1775690669249,ideal,-0.4304239839828
1775690669249,good,-0.4302087289398
1775690669249,realistic,-0.429864320871
1775690669249,bad,-0.429003300699
1775690771347,ideal,-0.4441485155274
1775690771347,good,-0.4439263968459
1775690771347,realistic,-0.4435710069555
1775690771347,bad,-0.4426825322295
1775690771619,ideal,-0.4664907761814
1775690771619,good,-0.4662574841349
1775690771619,realistic,-0.4658842168605
1775690771619,bad,-0.4649510486745
1775690771953,ideal,-0.4888330368354
1775690771953,good,-0.4885885714239
1775690771953,realistic,-0.4881974267655
1775690771953,bad,-0.4872195651195
1775690772820,ideal,-0.6583150426536
1775690772820,good,-0.6579858192876
1775690772820,realistic,-0.657459061902
1775690772820,bad,-0.656142168438
