ts,profile,equity
1775658119108,ideal,-0.1021858717374
1775658119108,good,-0.1021347685809
1775658119108,realistic,-0.1020530035305
1775658119108,bad,-0.1018485909045
1775658120011,ideal,-0.1298210445972
1775658120011,good,-0.1297561210902
1775658120011,realistic,-0.129652243479
1775658120011,bad,-0.129392549451
1775658140006,ideal,-2.0661657247972
1775658140006,good,-2.3555600017902
1775658140006,realistic,-2.818590844979
1775658140006,bad,-3.976167952951
1775658159149,ideal,-3.8714497093972
1775658159149,good,-4.1617464478902
1775658159149,realistic,-4.626221229479
1775658159149,bad,-5.787408183451
1775658236978,ideal,-5.6386065700972
1775658236978,good,-5.9297867103402
1775658236978,realistic,-6.395674934729
1775658236978,bad,-7.560395495701
1775658248990,ideal,-7.4047732327972
1775658248990,good,-7.6968362797902
1775658248990,realistic,-8.164137154979
1775658248990,bad,-9.332389342951
1775658248990,ideal,-9.1710884251972
1775658248990,good,-9.4640344531902
1775658248990,realistic,-9.932748097979
1775658248990,bad,-11.104532209951
1775658248990,ideal,-10.9376264121472
1775658248990,good,-11.2314555325152
1775658248990,realistic,-11.701582125104
1775658248990,bad,-12.876898606576
1775658262160,ideal,-11.91918440714779805137289642
1775658262160,good,-13.00923043347610628875110719
1775658262160,realistic,-14.75330407560139946855624444
1775658262160,bad,-19.11348818091463241806908764
1775658312411,ideal,-14.78847337394779805137289642
1775658312411,good,-19.88882681727610628875110719
1775658312411,realistic,-28.04939232660139946855624444
1775658312411,bad,-48.45080609991463241806908764
1775658442294,ideal,-16.55783342519779805137289642
1775658442294,good,-21.65907137165110628875110719
1775658442294,realistic,-29.82105208597639946855624444
1775658442294,bad,-50.22600387178963241806908764
1775658526679,ideal,-15.42792050560920563451930832
1775658526679,good,-24.45710892400833041238099589
1775658526679,realistic,-38.90381039344693005695969679
1775658526679,bad,-75.02056406704342916840644499
1775658526679,ideal,-14.46290035087061321766572022
1775658526679,good,-27.41995677834055453601088459
1775658526679,realistic,-48.15124706229246064536314914
1775658526679,bad,-99.97947277217222591874380234
1775658630056,ideal,-14.47806569684524821034458164
1775658630056,good,-27.49723863649174153578466647
1775658630056,realistic,-48.32791533992613085648880375
1775658630056,bad,-100.4046070985121041582491387
1775658641693,ideal,-16.27484298044524821034458164
1775658641693,good,-29.29491412909174153578466647
1775658641693,realistic,-50.12702796692613085648880375
1775658641693,bad,-102.2073125615121041582491387
1775658641693,ideal,-18.07129619924524821034458164
1775658641693,good,-31.09226539489174153578466647
1775658641693,realistic,-51.92581610792613085648880375
1775658641693,bad,-104.0096928905121041582491387
1775658641693,ideal,-19.86831653144524821034458164
1775658641693,good,-32.89018405759174153578466647
1775658641693,realistic,-53.72517209942613085648880375
1775658641693,bad,-105.8126422040121041582491387
1775658643348,ideal,-21.66436466924524821034458164
1775658643348,good,-34.68713003989174153578466647
1775658643348,realistic,-55.52355463292613085648880375
1775658643348,bad,-107.6146161155121041582491387
1775658645997,ideal,-23.46097992044524821034458164
1775658645997,good,-36.48464341909174153578466647
1775658645997,realistic,-57.32250501692613085648880375
1775658645997,bad,-109.4171590115121041582491387
1775658645997,ideal,-25.25783822024524821034458164
1775658645997,good,-38.28239996839174153578466647
1775658645997,realistic,-59.12169876542613085648880375
1775658645997,bad,-111.2199457580121041582491387
1775658671026,ideal,-25.33041737277878814572048073
1775658671026,good,-38.41563878030967136314985566
1775658671026,realistic,-59.3519930323590845110368571
1775658671026,bad,-111.6928786624826173807543524
1775658683219,ideal,-27.12371095977878814572048073
1775658683219,good,-40.20982883480967136314985566
1775658683219,realistic,-61.1476174348590845110368571
1775658683219,bad,-113.4920889349826173807543524
1775658683219,ideal,-28.91668048197878814572048073
1775658683219,good,-42.00369466250967136314985566
1775658683219,realistic,-62.9429173513590845110368571
1775658683219,bad,-115.2909740734826173807543524
1775658684197,ideal,-35.32134896285224258100240321
1775658684197,good,-50.75873512973829149251060351
1775658684197,realistic,-75.458552996755969750923726
1775658684197,bad,-137.2080976643001653969565215
1775658684197,ideal,-46.06371511246365016414881511
1775658684197,good,-65.42311442429551561614049221
1775658684197,realistic,-96.39815332322650033932717835
1775658684197,bad,-173.8357505705539621472938788
1775658685011,ideal,-47.85741378046365016414881511
1775658685011,good,-67.21770976229551561614049221
1775658685011,realistic,-98.19418333322650033932717835
1775658685011,bad,-175.6353672605539621472938788
1775658685011,ideal,-49.65119346466365016414881511
1775658685011,good,-69.01238615699551561614049221
1775658685011,realistic,-99.99029446472650033932717835
1775658685011,bad,-177.4350652340539621472938788
1775658694929,ideal,-51.41503316206365016414881511
1775658694929,good,-70.77710759789551561614049221
1775658694929,realistic,-101.7564266952265003393271784
1775658694929,bad,-179.2047244385539621472938788
1775658701912,ideal,-53.17926893866365016414881511
1775658701912,good,-72.54222531599551561614049221
1775658701912,realistic,-103.5229555197265003393271784
1775658701912,bad,-180.9747810290539621472938788
1775658701912,ideal,-54.94352947021365016414881511
1775658701912,good,-74.30736780142051561614049221
1775658701912,realistic,-105.2895091313515003393271784
1775658701912,bad,-182.7448624561789621472938788
1775658731991,ideal,-61.82344218601365016414881691
1775658731991,good,-85.17350980672051561614049041
1775658731991,realistic,-122.5336179998515003393271784
1775658731991,bad,-215.933888482678962147293877
1775658732875,ideal,-63.58661349976365016414881691
1775658732875,good,-86.93756252984551561614049041
1775658732875,realistic,-124.2990809779765003393271784
1775658732875,bad,-217.702877098303962147293877
1775658732875,ideal,-65.34980956846365016414881691
1775658732875,good,-88.70164002029551561614049041
1775658732875,realistic,-126.0645687432265003393271784
1775658732875,bad,-219.471890550553962147293877
1775658732875,ideal,-67.11320367676365016414881691
1775658732875,good,-90.46591564934551561614049041
1775658732875,realistic,-127.8302548054765003393271784
1775658732875,bad,-221.241102695803962147293877
1775658737327,ideal,-68.90601116656365016414881691
1775658737327,good,-92.25961936364551561614049041
1775658737327,realistic,-129.6253924789765003393271784
1775658737327,bad,-223.039825267303962147293877
1775658738678,ideal,-75.02486685780166517352115461
1775658738678,good,-102.2968028004300403310764008
1775658738678,realistic,-145.9319003086354405831648078
1775658738678,bad,-255.0196440791489412133857998
1775658744724,ideal,-76.78766684730166517352115461
1775658744724,good,-104.0604840136800403310764008
1775658744724,realistic,-147.6969914798854405831648078
1775658744724,bad,-256.7882601453989412133857998
1775658747268,ideal,-82.07220504360166517352115461
1775658747268,good,-109.3476639507300403310764008
1775658747268,realistic,-152.9883982021354405831648078
1775658747268,bad,-262.0902338306489412133857998
1775658747800,ideal,-83.86274407980166517352115461
1775658747800,good,-111.1390980774300403310764008
1775658747800,realistic,-154.7812644736354405831648078
1775658747800,bad,-263.8866804641489412133857998
1775658748044,ideal,-85.62413303715166517352115461
1775658748044,good,-112.9013675531550403310764008
1775658748044,realistic,-156.5449427787604405831648078
1775658748044,bad,-265.6538808427739412133857998
1775658750422,ideal,-87.41353784655166517352115461
1775658750422,good,-114.6916668860550403310764008
1775658750422,realistic,-158.3366733492604405831648078
1775658750422,bad,-267.4491895072739412133857998
1775658750839,ideal,-89.17440694995166517352115461
1775658750839,good,-116.4534162479550403310764008
1775658750839,realistic,-160.0998311247604405831648078
1775658750839,bad,-269.2158683167739412133857998
1775658750912,ideal,-90.93512752365166517352115461
1775658750912,good,-118.2150170059050403310764008
1775658750912,realistic,-161.8628401775104405831648078
1775658750912,bad,-270.9823981065239412133857998
1775658750912,ideal,-92.72485639785166517352115461
1775658750912,good,-120.0056405656050403310764008
1775658750912,realistic,-163.6548952340104405831648078
1775658750912,bad,-272.7780319050239412133857998
1775658754289,ideal,-93.21696266471348867849582447
1775658754289,good,-120.7126296196808519501807321
1775658754289,realistic,-164.7056967476286331848765973
1775658754289,bad,-274.6883645674980862716162349
1775658762430,ideal,-103.1685194781182213849881563
1775658762430,good,-134.5771198997989443510874274
1775658762430,realistic,-184.8308805744881010968462742
1775658762430,bad,-310.4652822612109929612433647
1775658777924,ideal,-117.2465387027489906157573879
1775658777924,good,-152.6345335321604828126258888
1775658777924,realistic,-209.255325259218870327615504
1775658777924,bad,-350.8073045768648391150895173
1775658777924,ideal,-130.6050258625797598465266195
1775658777924,good,-169.9727749377220212741643502
1775658777924,realistic,-232.9611734579496395583847338
1775658777924,bad,-390.4321697585186852689356699
1775658781010,ideal,-135.0917715541910718599495215
1775658781010,good,-176.0401125448750306041306551
1775658781010,realistic,-241.5574581299693645948204833
1775658781010,bad,-405.3508220927051995715450303
1775658783822,ideal,-135.8147445751537257451669161
1775658783822,good,-177.0255801667854762579369407
1775658783822,realistic,-242.9629171133962770783689944
1775658783822,bad,-407.806259479923279129449105
1775658787255,ideal,-145.7663013885584584516592479
1775658787255,good,-190.890070446903568658843636
1775658787255,realistic,-263.0881009402557449903386713
1775658787255,bad,-443.5831771736361858190762348
1775658802887,ideal,-156.7072147910631911581515797
1775658802887,good,-205.7434225388716610597503313
1775658802887,realistic,-284.2013549353652129023083482
1775658802887,bad,-480.3461859265990925087033646
1775658808094,ideal,-172.4041811614939603889208113
1775658808094,good,-225.4189736815331995212887927
1775658808094,realistic,-310.242641713595982133077578
1775658808094,bad,-522.3018117937529386625495172
1775658825415,ideal,-181.2564528758986930954131431
1775658825415,good,-238.184728615151291922195488
1775658825415,realistic,-329.2699697979554500450472549
1775658825415,bad,-556.983072754965845352176647
1775658825415,ideal,-190.1636888452534258019054749
1775658825415,good,-251.0054203160943843231021833
1775658825415,realistic,-348.3521906694399179570169318
1775658825415,bad,-591.7191165528037520418037768
