ts,profile,equity
1775660487497,ideal,-0.3189277017
1775660487497,good,-0.31876820595
1775660487497,realistic,-0.31851301275
1775660487497,bad,-0.31787502975
1775660522946,ideal,-0.3746724145272
1775660522946,good,-0.3744850408452
1775660522946,realistic,-0.374185242954
1775660522946,bad,-0.373435748226
1775660527606,ideal,-0.6218880975
1775660527606,good,-0.62157709125
1775660527606,realistic,-0.62107948125
1775660527606,bad,-0.61983545625
1775660562953,ideal,-0.9687639204576
1775660562953,good,-0.9682794416016
1775660562953,realistic,-0.967504275432
1775660562953,bad,-0.965566360008
1775673969954,ideal,-1.0681085475576
1775673969954,good,-1.0675743864516
1775673969954,realistic,-1.066719728682
1775673969954,bad,-1.064583084258
1775674872081,ideal,-1.3874861592576
1775674872081,good,-1.3867922774016
1775674872081,realistic,-1.385682066432
1775674872081,bad,-1.382906539008
1775675083548,ideal,-1.7219492532576
1775675083548,good,-1.7210881064016
1775675083548,realistic,-1.719710271432
1775675083548,bad,-1.716265684008
1775675234226,ideal,-2.0257239861576
1775675234226,good,-2.0247109215516
1775675234226,realistic,-2.023090018182
1775675234226,bad,-2.019037759758
1775688696455,ideal,-2.03049727342416
1775688696455,good,-2.02948659498456
1775688696455,realistic,-2.0278695094812
1775688696455,bad,-2.0238267957228
1775688755988,ideal,-2.03530842046116
1775688755988,good,-2.03430014711406
1775688755988,realistic,-2.0326869097587
1775688755988,bad,-2.0286538163703
1775689615384,ideal,-2.04015440446416
1775689615384,good,-2.03914855362456
1775689615384,realistic,-2.0375391922812
1775689615384,bad,-2.0335157889228
1775713044543,ideal,2.415849546204640000000000224
1775713044543,good,1.427481913716240000000000067
1775713044543,realistic,-0.153906298265200000000000003
1775713044543,bad,-4.107376828218800000000000179
1775722644153,ideal,2.096984831904640000000000224
1775722644153,good,1.108776663666240000000000067
1775722644153,realistic,-0.472356405515200000000000003
1775722644153,bad,-4.425189078468800000000000179
