ts,profile,equity
1775658195260,ideal,-0.11203323191595
1775658195260,good,-0.112089237330825
1775658195260,realistic,-0.112178845994625
1775658195260,bad,-0.112402867654125
1775658195260,ideal,-0.1349310993237
1775658195260,good,-0.13499855138295
1775658195260,realistic,-0.13510647467775
1775658195260,bad,-0.13537628291475
1775658220984,ideal,-0.2288172383397
1775658220984,good,-0.22883773793895
1775658220984,realistic,-0.22887053729775
1775658220984,bad,-0.22895253569475
1775658220984,ideal,-0.2699023446747
1775658220984,good,-0.26990229761145
1775658220984,realistic,-0.26990222231025
1775658220984,bad,-0.26990203405725
1775658261002,ideal,-0.4048915234383
1775658261002,good,-0.40482396828405
1775658261002,realistic,-0.40471588003725
1775658261002,bad,-0.40444565942025
1775658370640,ideal,-0.4055429931183
1775658370640,good,-0.40547511216405
1775658370640,realistic,-0.40536650263725
1775658370640,bad,-0.40509497882025
1775658370640,ideal,-0.5398760411343
1775658370640,good,-0.53974098022005
1775658370640,realistic,-0.53952488275725
1775658370640,bad,-0.53898463910025
1775658463925,ideal,-0.6748139481543
1775658463925,good,-0.67461140479005
1775658463925,realistic,-0.67428733540725
1775658463925,bad,-0.67347716195025
1775658475186,ideal,-0.79264410387318
1775658475186,good,-0.79250046380613
1775658475186,realistic,-0.79227063969885
1775658475186,bad,-0.79169607943065
1775658475186,ideal,-0.8096591117943
1775658475186,good,-0.80952397753005
1775658475186,realistic,-0.80930776270725
1775658475186,bad,-0.80876722565025
1775658666544,ideal,-0.9002372245479
1775658666544,good,-0.90005679216765
1775658666544,realistic,-0.89976810035925
1775658666544,bad,-0.89904637083825
1775659545471,ideal,-0.91976529378078
1775659545471,good,-0.91959462348273
1775659545471,realistic,-0.91932155100585
1775659545471,bad,-0.91863886981365
1775659545471,ideal,-1.0352491015239
1775659545471,good,-1.03513616158365
1775659545471,realistic,-1.03495545767925
1775659545471,bad,-1.03450369791825
1775660398748,ideal,-1.0417992162849
1775660398748,good,-1.04168955074715
1775660398748,realistic,-1.04151408588675
1775660398748,bad,-1.04107542373575
1775660398748,ideal,-1.1702468456739
1775660398748,good,-1.17020139110865
1775660398748,realistic,-1.17012866380425
1775660398748,bad,-1.16994684554325
1775661828167,ideal,-1.22136418449738
1775661828167,good,-1.22134428349083
1775661828167,realistic,-1.22131244188035
1775661828167,bad,-1.22123283785415
1775661828167,ideal,-1.30519251801162
1775661828167,good,-1.30521452279067
1775661828167,realistic,-1.30524973043715
1775661828167,bad,-1.30533774955335
1775662769818,ideal,-1.32388392484548
1775662769818,good,-1.32391527345918
1775662769818,realistic,-1.3239654312411
1775662769818,bad,-1.3240908256959
1775662769818,ideal,-1.44003665814696
1775662769818,good,-1.44012607151436
1775662769818,realistic,-1.4402691329022
1775662769818,bad,-1.4406267863718
1775663167170,ideal,-1.44454136590836
1775663167170,good,-1.44463303117926
1775663167170,realistic,-1.4447796956127
1775663167170,bad,-1.4451463566963
1775663167170,ideal,-1.56043036537362
1775663167170,good,-1.56057996355767
1775663167170,realistic,-1.56081932065215
1775663167170,bad,-1.56141771338835
1775673141133,ideal,-1.61356665535659
1775673141133,good,-1.613742816373065
1775673141133,realistic,-1.614024673999425
1775673141133,bad,-1.614729318065325
1775673141133,ideal,-1.61874517530348
1775673141133,good,-1.61892392506218
1775673141133,realistic,-1.6192099246761
1775673141133,bad,-1.6199249237109
1775673141133,ideal,-1.6955552653497
1775673141133,good,-1.69577241247395
1775673141133,realistic,-1.69611984787275
1775673141133,bad,-1.69698843636975
1775675425705,ideal,-1.8306586501236
1775675425705,good,-1.8309433354326
1775675425705,realistic,-1.831398831927
1775675425705,bad,-1.832537573163
