ts,profile,equity
1775658248990,ideal,-15.7526211307473
1775658248990,good,-15.76049586636555
1775658248990,realistic,-15.77309544335475
1775658248990,bad,-15.80459438582775
1775658424244,ideal,-22.1028496084845
1775658424244,good,-22.11389882344575
1775658424244,realistic,-22.13157756738375
1775658424244,bad,-22.17577442722875
1775658443296,ideal,-37.855622995677
1775658443296,good,-37.8745470223695
1775658443296,realistic,-37.9048254650775
1775658443296,bad,-37.9805215718475
1775658449331,ideal,-41.7820957502004
1775658449331,good,-41.8029826207014
1775658449331,realistic,-41.836401613503
1775658449331,bad,-41.919949095507
1775658450004,ideal,-41.8042919340495
1775658450004,good,-41.82518990042325
1775658450004,realistic,-41.85862664662125
1775658450004,bad,-41.94221851211625
1775658450004,ideal,-41.8110472943514
1775658450004,good,-41.8319486377299
1775658450004,realistic,-41.8653907871355
1775658450004,bad,-41.9489961606495
1775658646360,ideal,-108.4284736561575371640792561
1775658646360,good,-131.967877219683910657962522
1775658646360,realistic,-169.6309229213261082481757421
1775658646360,bad,-263.7885371754316022237087957
1775658646580,ideal,-108.7639251145103800558233912
1775658646580,good,-132.4217558869351502918041097
1775658646580,realistic,-170.2742851228147826693732539
1775658646580,bad,-264.9056082125138636132961178
1775658682215,ideal,-124.5167603620724800558233912
1775658682215,good,-148.1824659771525002918041097
1775658682215,realistic,-186.0475949612805326693732539
1775658682215,bad,-280.7104174216006136132961178
1775658694929,ideal,-140.2691316523616800558233912
1775658694929,good,-163.9427118781647002918041097
1775658694929,realistic,-201.8204402394495326693732539
1775658694929,bad,-296.5147611426616136132961178
1775658698492,ideal,-141.6186305716763800558233912
1775658698492,good,-165.2928854120161502918041097
1775658698492,realistic,-203.1716931565597826693732539
1775658698492,bad,-297.8687125179188636132961178
1775658701912,ideal,-145.8785994875948800558233912
1775658701912,good,-169.5549838864809002918041097
1775658701912,realistic,-207.4371989246985326693732539
1775658701912,bad,-302.1427365202426136132961178
1775658732875,ideal,-161.6307943065968800558233912
1775658732875,good,-185.3150532279879002918041097
1775658732875,realistic,-223.2098675022135326693732539
1775658732875,bad,-317.9469031877776136132961178
1775658743781,ideal,-177.3837706438712800558233912
1775658743781,good,-201.0759044784483002918041097
1775658743781,realistic,-238.9833186137715326693732539
1775658743781,bad,-333.7518539520796136132961178
1775658747268,ideal,-193.1367952487972800558233912
1775658747268,good,-216.8368040206893002918041097
1775658747268,realistic,-254.7568180557165326693732539
1775658747268,bad,-349.5568531432846136132961178
1775658748044,ideal,-208.8890568206471800558233912
1775658748044,good,-232.5969401484139502918041097
1775658748044,realistic,-270.5295534728407826693732539
1775658748044,bad,-365.3610867839078636132961178
1775658750839,ideal,-224.6419385670071800558233912
1775658750839,good,-248.3576967606739502918041097
1775658750839,realistic,-286.3029098705407826693732539
1775658750839,bad,-381.1659426452078636132961178
1775658751627,ideal,-224.7187613684951800558233912
1775658751627,good,-248.4345579658819502918041097
1775658751627,realistic,-286.3798325217007826693732539
1775658751627,bad,-381.2430189112478636132961178
1775658752412,ideal,-240.4701936450191800558233912
1775658752412,good,-264.1938643837159502918041097
1775658752412,realistic,-302.1517375656307826693732539
1775658752412,bad,-397.0464205204178636132961178
1775658757798,ideal,-256.2230048397716800558233912
1775658757798,good,-279.9545504090997002918041097
1775658757798,realistic,-317.9250233200245326693732539
1775658757798,bad,-412.8512055973366136132961178
1775658763169,ideal,-271.6001505539516800558233912
1775658763169,good,-295.3393831587297002918041097
1775658763169,realistic,-333.3221553263745326693732539
1775658763169,bad,-428.2790857454866136132961178
1775658763169,ideal,-271.9757412970796800558233912
