ts,profile,equity
1775658646360,ideal,-1.2817464305265
1775658646360,good,-1.28238717559275
1775658646360,realistic,-1.28341236769875
1775658646360,bad,-1.28597534796375
1775658646360,ideal,-1.7353981457271
1775658646360,good,-1.73626567129485
1775658646360,realistic,-1.73765371220325
1775658646360,bad,-1.74112381447425
1775658646360,ideal,-1.7475899766057
1775658646360,good,-1.74846359686995
1775658646360,realistic,-1.74986138929275
1775658646360,bad,-1.75335587034975
1775658646360,ideal,-1.7530442167356
1775658646360,good,-1.7539205635746
1775658646360,realistic,-1.755322718517
1775658646360,bad,-1.758828105873
1775658646360,ideal,-1.7584983803502
1775658646360,good,-1.7593774537257
1775658646360,realistic,-1.7607839711265
1775658646360,bad,-1.7643002646285
1775658646360,ideal,-1.7639524674495
1775658646360,good,-1.76483426732325
1775658646360,realistic,-1.76624514712125
1775658646360,bad,-1.76977234661625
1775658646360,ideal,-1.768764897243
1775658646360,good,-1.7696491028505
1775658646360,realistic,-1.7710638318225
1775658646360,bad,-1.7746006542525
1775658708811,ideal,-5.083200218680199999999999762
1775658708811,good,-9.013015692880699999999999977
1775658708811,realistic,-15.30072045160149999999999988
1775658708811,bad,-31.01998234840350000000000019
1775658754289,ideal,-6.739719163056599999999999762
1775658754289,good,-10.67820229319809999999999998
1775658754289,realistic,-16.97977530142449999999999988
1775658754289,bad,-32.73370782199050000000000019
1775658754289,ideal,-6.836387854928999999999999762
1775658754289,good,-10.77491930975149999999999998
1775658754289,realistic,-17.07656963746749999999999988
1775658754289,bad,-32.83069545675750000000000019
1775658999961,ideal,-16.51503146755479999999999976
1775658999961,good,-24.37024227644179999999999998
1775658999961,realistic,-36.93857957066099999999999988
1775658999961,bad,-68.35942280620900000000000019
1775659233811,ideal,-17.09725602584949999999999976
1775659233811,good,-24.95217566422324999999999998
1775659233811,realistic,-37.52004708562124999999999988
1775659233811,bad,-68.93972563911625000000000019
1775659233876,ideal,-17.11934150936919999999999976
1775659233876,good,-24.97425010279219999999999998
1775659233876,realistic,-37.54210385226899999999999988
1775659233876,bad,-68.96173822596100000000000019
1775659234841,ideal,-18.28667134120029999999999976
1775659234841,good,-26.14099615295104999999999998
1775659234841,realistic,-38.70791585175224999999999988
1775659234841,bad,-70.12521509875525000000000019
1775659641014,ideal,-13.74414663399348965517241357
1775659641014,good,-24.56579232751169655172413806
1775659641014,realistic,-41.88042543714082758620689653
1775659641014,bad,-85.16700821121365517241379349
1775659641014,ideal,-12.25081716958355862068965495
1775659641014,good,-24.0390563951803862068965519
1775659641014,realistic,-42.90023915613531034482758622
1775659641014,bad,-90.05319605852262068965517287
1775659925712,ideal,-13.93126447419159999999999978
1775659925712,good,-25.74381597717060000000000018
1775659925712,realistic,-44.64389838193700000000000001
1775659925712,bad,-91.89410439385300000000000046
1775660047005,ideal,-14.22889180797249999999999978
1775660047005,good,-26.51819015665375000000000018
1775660047005,realistic,-46.18106751454375000000000001
1775660047005,bad,-95.33826090926875000000000046
1775660047060,ideal,-16.38336013656969999999999978
1775660047060,good,-32.10126177174395000000000018
1775660047060,realistic,-57.24990438802275000000000001
1775660047060,bad,-120.1215109287197500000000005
1775660184162,ideal,-18.09427122048489999999999978
1775660184162,good,-33.84420162544715000000000018
1775660184162,realistic,-59.04409027338675000000000001
1775660184162,bad,-122.0438118932357500000000005
1775660206250,ideal,-20.37753821353799999999999978
1775660206250,good,-40.02501801488300000000000018
1775660206250,realistic,-71.46098569703500000000000001
1775660206250,bad,-150.0509049024150000000000005
1775660394339,ideal,-22.14921941591609999999999978
1775660394339,good,-41.79581319945635000000000018
1775660394339,realistic,-73.23036325312075000000000001
1775660394339,bad,-151.8167383872817500000000005
1775660704026,ideal,-23.92088688254189999999999978
1775660704026,good,-43.56659465514665000000000018
1775660704026,realistic,-74.99972709131425000000000001
1775660704026,bad,-153.5825581817332500000000005
1775660999328,ideal,-23.38505885708209248902034599
1775660999328,good,-46.96359613253414185264856145
1775660999328,realistic,-84.68925577325742083445370593
1775660999328,bad,-179.0034048750656182889665683
1775661157100,ideal,-24.03386098919839248902034599
1775661157100,good,-47.61207379869119185264856145
1775661157100,realistic,-85.33721429387967083445370593
1775661157100,bad,-179.6500655318508682889665683
1775661157467,ideal,-24.03865273315789248902034599
1775661157467,good,-47.61686314629944185264856145
1775661157467,realistic,-85.34199980732592083445370593
1775661157467,bad,-179.6548414598921182889665683
1775661158032,ideal,-24.39867242931499248902034599
1775661158032,good,-47.97670279659929185264856145
1775661158032,realistic,-85.70155138425417083445370593
1775661158032,bad,-180.0136728533913682889665683
1775661158032,ideal,-25.15672632370789248902034599
1775661158032,good,-48.73437758822444185264856145
1775661158032,realistic,-86.45861961145092083445370593
1775661158032,bad,-180.7692246695171182889665683
1775661585762,ideal,-26.92836619735339248902034599
1775661585762,good,-50.50513146473369185264856145
1775661585762,realistic,-88.22795589254217083445370593
1775661585762,bad,-182.5350169620633682889665683
1775662526361,ideal,-28.69996462079059248902034599
1775662526361,good,-52.27584391176389185264856145
1775662526361,realistic,-89.99725077732117083445370593
1775662526361,bad,-184.3007679412143682889665683
1775665429062,ideal,-30.47148293325319248902034599
1775665429062,good,-54.04647628788299185264856145
1775665429062,realistic,-91.76646565529067083445370593
1775665429062,bad,-186.0664390738098682889665683
1775665834974,ideal,-39.78369275101978278827494618
1775665834974,good,-67.28536760998556605353386158
1775665834974,realistic,-111.2880473843308192779481234
1775665834974,bad,-221.2947468201939523389837811
1775666530511,ideal,-41.55521106348238278827494618
1775666530511,good,-69.05599998610466605353386158
1775666530511,realistic,-113.0572622623003192779481234
1775666530511,bad,-223.0604179527894523389837811
1775666986573,ideal,-43.32666026077078278827494618
1775666986573,good,-70.82656328161406605353386158
1775666986573,realistic,-114.8264081149633192779481234
1775666986573,bad,-224.8260201983364523389837811
1775666986573,ideal,-45.09810945805918278827494618
1775666986573,good,-72.59712657712346605353386158
1775666986573,realistic,-116.5955539676263192779481234
1775666986573,bad,-226.5916224438834523389837811
1775667763976,ideal,-46.86979827741358278827494618
1775667763976,good,-74.36792937486386605353386158
1775667763976,realistic,-118.3649391307843192779481234
1775667763976,bad,-228.3574635205854523389837811
1775669032107,ideal,-61.42294086872991979509900437
1775669032107,good,-92.84653411058142513626969067
1775669032107,realistic,-143.1242832975438336821427841
1775669032107,bad,-268.8186562649498550468255238
1775669428171,ideal,-63.19462968808431979509900437
1775669428171,good,-94.61733690832182513626969067
1775669428171,realistic,-144.8936684607018336821427841
1775669428171,bad,-270.5844973416518550468255238
1775669799276,ideal,-64.96622230768251979509900437
1775669799276,good,-96.38804355441552513626969067
1775669799276,realistic,-146.6629575491883336821427841
1775669799276,bad,-272.3502425361203550468255238
1775670087061,ideal,-81.72003849355826399505599794
1775670087061,good,-117.0655840137160164135421692
1775670087061,realistic,-173.6184568459684202831200379
1775670087061,bad,-315.0006389265994299570647167
1775670340334,ideal,-81.84900500609606399505599794
