ts,profile,equity
1775658243999,ideal,-4.4176203919089
1775658243999,good,-4.41982876043115
1775658243999,realistic,-4.42336215006675
1775658243999,bad,-4.43219562415575
1775658319455,ideal,-7.4413023093693
1775658319455,good,-7.44502221654255
1775658319455,realistic,-7.45097406801975
1775658319455,bad,-7.46585369671275
1775658445917,ideal,-29.880530631144
1775658445917,good,-29.895467909004
1775658445917,realistic,-29.91936755358
1775658445917,bad,-29.97911666502
1775658645997,ideal,-120.328443996624
1775658645997,good,-120.388596188184
1775658645997,realistic,-120.48483969468
1775658645997,bad,-120.72544846092
1775658679251,ideal,-120.43404020685726
1775658679251,good,-120.49413958975041
1775658679251,realistic,-120.59029860237945
1775658679251,bad,-120.83069613395205
1775658683219,ideal,-210.70248533386686
1775658683219,good,-210.80770991428401
1775658683219,realistic,-210.97606924295145
1775658683219,bad,-211.39696756462005
1775658691666,ideal,-213.3164189512539
1775658691666,good,-213.42295023713865
1775658691666,realistic,-213.59340029455425
1775658691666,bad,-214.01952543809325
1775658698137,ideal,-217.73690424207801
1775658698137,good,-217.845645328648035
1775658698137,realistic,-218.019631067160075
1775658698137,bad,-218.454595413440175
1775658748044,ideal,-220.09364489495781
1775658748044,good,-220.203564116227335
1775658748044,realistic,-220.379434870258575
1775658748044,bad,-220.819111755336675
1775658752170,ideal,-222.6207645421583
1775658752170,good,-223.55157351255405
1775658752170,realistic,-225.04086786518725
1775658752170,bad,-228.76410374677025
1775658762764,ideal,-227.0234830257815
1775658762764,good,-227.95649291523525
1775658762764,realistic,-229.44930873836125
1775658762764,bad,-233.18134829617625
1775658766299,ideal,-229.6680414211994
1775658766299,good,-230.6023733254479
1775658766299,realistic,-232.0973043722455
1775658766299,bad,-235.8346319892395
1775658769377,ideal,-238.37313643497491
1775658769377,good,-241.382787442537185
1775658769377,realistic,-246.198229054636825
1775658769377,bad,-258.236833084885925
1775658769377,ideal,-247.07823144875042
1775658769377,good,-252.16320155962647
1775658769377,realistic,-260.29915373702815
1775658769377,bad,-280.63903418053235
1775658769377,ideal,-252.9391619866271
1775658769377,good,-259.42139440069485
1775658769377,realistic,-269.79296626320325
1775658769377,bad,-295.72189591947425
1775658779234,ideal,-257.3637954873773
1775658779234,good,-263.84823977582055
1775658779234,realistic,-274.22335063732975
1775658779234,bad,-300.16112779110275
1775658794820,ideal,-261.79608629143193
1775658794820,good,-268.282746282136755
1775658794820,realistic,-278.661402267264475
1775658794820,bad,-304.608042230083775
1775658872439,ideal,-265.77365210151278
1775658872439,good,-272.49695873179473
1775658872439,realistic,-283.25424934024585
1775658872439,bad,-310.14747586137365
1775658915058,ideal,-252.0346746398733428672208386
1775658915058,good,-267.9531654482448552361806555
1775658915058,realistic,-293.4227507416392750265163662
1775658915058,bad,-357.0967139751253245023556407
1775658927545,ideal,-268.8966042442667428672208386
1775658927545,good,-288.2482714811217552361806555
1775658927545,realistic,-319.2109390600897750265163662
1775658927545,bad,-396.6176080075098245023556407
1775658935738,ideal,-535.7996310956507428672208386
1775658935738,good,-555.2847231609657552361806555
1775658935738,realistic,-586.4608704654697750265163662
1775658935738,bad,-664.4012387267298245023556407
1775658957112,ideal,-609.3514251534788428672208386
1775658957112,good,-628.8732857621141052361806555
1775658957112,realistic,-660.1082627359305250265163662
1775658957112,bad,-738.1957051704715745023556407
1775658973149,ideal,-699.1589632135076428672208386
1775658973149,good,-718.7257186122149052361806555
1775658973149,realistic,-750.0325272501465250265163662
1775658973149,bad,-828.2995488449755745023556407
1775659007476,ideal,-789.1826789244212428672208386
1775659007476,good,-808.7944371804125052361806555
1775659007476,realistic,-840.1732503899985250265163662
1775659007476,bad,-918.6202834139635745023556407
1775659035710,ideal,-791.4355889228225428672208386
1775659035710,good,-811.0484734085670552361806555
1775659035710,realistic,-842.4290885857582750265163662
1775659035710,bad,-920.8806265287363245023556407
1775659042704,ideal,-791.6444914449725428672208386
1775659042704,good,-811.2574803610920552361806555
1775659042704,realistic,-842.6382626268832750265163662
1775659042704,bad,-921.0902182913613245023556407
1775659233036,ideal,-792.1321231196173681783183973
1775659233036,good,-818.1425141778657771806070998
1775659233036,realistic,-859.7591398710632315842690224
1775659233036,bad,-963.800704104056867593423825
1775659270587,ideal,-793.8389500159513681783183973
1775659270587,good,-819.8484874900347771806070998
1775659270587,realistic,-861.4637474485682315842690224
1775659270587,bad,-965.501897344901867593423825
1775659407273,ideal,-883.9401633752953681783183973
1775659407273,good,-909.9947424477387771806070998
1775659407273,realistic,-951.6820689636482315842690224
1775659407273,bad,-1055.900385253421867593423825
1775659549589,ideal,-884.3098554956953388783461468
1775659549589,good,-910.6644779913897976560297845
1775659549589,realistic,-952.8318739845009317003236029
1775659549589,bad,-1058.250363967278766811058145
1775659549650,ideal,-886.3500989857614023442829543
1775659549650,good,-914.360590263194546416640627
1775659549650,realistic,-959.1773763070875769324128992
1775659549650,bad,-1071.219341416820153221843574
1775659601502,ideal,-945.0887077837563237893231597
1775659601502,good,-1012.156279765928017612453231
1775659601502,realistic,-1119.464394937402727729461288
1775659601502,bad,-1387.734682866089503021981381
1775659648384,ideal,-954.0839412571803237893231597
1775659648384,good,-1021.147014722912017612453231
1775659648384,realistic,-1128.447932268082727729461288
1775659648384,bad,-1396.700226131009503021981381
1775659684586,ideal,-1037.947129693218852055910573
1775659684586,good,-1122.421491198560643123725016
1775659684586,realistic,-1257.580469607107508832228044
1775659684586,bad,-1595.477915628474673103485545
1775659684586,ideal,-1068.002979691041654852515209
1775659684586,good,-1158.717398024016830644783069
1775659684586,realistic,-1303.860467356777111912411555
1775659684586,bad,-1666.718140688677815081482696
1775659684586,ideal,-1239.332152172803340639475306
1775659684586,good,-1365.6171423776450239731284
1775659684586,realistic,-1567.67312670539171730697321
1775659684586,bad,-2072.813087524758450641585123
1775659684862,ideal,-1242.304405474841337666758381
1775659684862,good,-1369.206481189232130177089781
1775659684862,realistic,-1572.249802332257398193619881
1775659684862,bad,-2079.858105189820568234945016
1775659685343,ideal,-1228.514900315457537666758381
1775659685343,good,-1948.541733333888830177089781
1775659685343,realistic,-3100.584666163378898193619881
1775659685343,bad,-5980.691998237104068234945016
1775659686042,ideal,-1249.819587376851323501605278
1775659686042,good,-1974.269601172657837860484396
1775659686042,realistic,-3133.389623245948260834690838
1775659686042,bad,-6031.189678429174318270206823
1775659686514,ideal,-1249.925739280495537681151102
1775659686514,good,-1974.397791844500234510625874
1775659686514,realistic,-3133.553075946907749437785362
1775659686514,bad,-6031.441286202926536755683962
1775659686646,ideal,-1362.629338417630616388543466
1775659686646,good,-2110.50039195300960589883579
1775659686646,realistic,-3307.09407760961598911530333
1775659686646,bad,-6298.578291751131947156472034
1775659688994,ideal,-1362.797058425388474792225868
1775659688994,good,-2110.702933214520592606059325
1775659688994,realistic,-3307.352332877131981108192678
1775659688994,bad,-6298.975832033660452363525914
1775659689526,ideal,-1362.92231767168864752408994
1775659689526,good,-2110.854198207294620653226269
1775659689526,realistic,-3307.545207064264177659844216
1775659689526,bad,-6299.272729206688070176388938
1775659689743,ideal,-1363.983836708130789319548181
1775659689743,good,-2112.136104925718587154641048
1775659689743,realistic,-3309.179734073859063690789456
1775659689743,bad,-6301.788806944210255031160328
1775659689805,ideal,-1365.871217554924917431872933
1775659689805,good,-2114.415335071076399594156525
1775659689805,realistic,-3312.085923096918771053810092
1775659689805,bad,-6306.26239316152469970294386
1775659689805,ideal,-1368.055823731922845246925993
1775659689805,good,-2117.05349909759292265406814
1775659689805,realistic,-3315.449779682665046505495395
1775659689805,bad,-6311.440481145345356134063382
1775659689805,ideal,-1378.542570292934764044257956
1775659689805,good,-2129.717455568903287721544742
1775659689805,realistic,-3331.597272010452925605203416
1775659689805,bad,-6336.296813114327020314349949
1775659689805,ideal,-1380.542472157591759186901282
1775659689805,good,-2132.132567826414040610210186
