ts,profile,equity
1775687124431,ideal,-0.904788851031
1775687124431,good,-0.9043363661085
1775687124431,realistic,-0.9036123902325
1775687124431,bad,-0.9018024505425
1775687890053,ideal,-1.0636818470748
1775687890053,good,-1.0631498997618
1775687890053,realistic,-1.062298784061
1775687890053,bad,-1.060170994809
1775688243809,ideal,-1.69691389478091
1775688243809,good,-1.696065268108185
1775688243809,realistic,-1.694707465431825
1775688243809,bad,-1.691312958740925
1775688243809,ideal,-1.97052052180905
1775688243809,good,-1.969535064456675
1775688243809,realistic,-1.967958332692875
1775688243809,bad,-1.964016503283375
1775688247520,ideal,-2.10447780499305
1775688247520,good,-2.103425355600675
1775688247520,realistic,-2.101741436572875
1775688247520,bad,-2.097531639003375
1775688247520,ideal,-2.87593224174135
1775688247520,good,-2.874493987969725
1775688247520,realistic,-2.872192781935125
1775688247520,bad,-2.866439766848625
1775688271330,ideal,-3.23082848429415
1775688271330,good,-3.229212746904525
1775688271330,realistic,-3.226627567081125
1775688271330,bad,-3.220164617522625
1775688271330,ideal,-3.78124837829415
1775688271330,good,-3.779357375904525
1775688271330,realistic,-3.776331772081125
1775688271330,bad,-3.768767762522625
1775688297402,ideal,-3.94141287758643
1775688297402,good,-3.939441776927505
1775688297402,realistic,-3.936288015873225
1775688297402,bad,-3.928403613237525
1775688297402,ideal,-4.40089038830151
1775688297402,good,-4.398689502930285
1775688297402,realistic,-4.395168086336325
1775688297402,bad,-4.386364544851425
1775688297402,ideal,-4.68688899443805
1775688297402,good,-4.684545081158175
1775688297402,realistic,-4.680794819910375
1775688297402,bad,-4.671419166790875
1775688299198,ideal,-5.59189902122505
1775688299198,good,-5.589102512412675
1775688299198,realistic,-5.584628098312875
1775688299198,bad,-5.573442063063375
1775688304151,ideal,-6.49723851710505
1775688304151,good,-6.493989247992675
1775688304151,realistic,-6.488790417412875
1775688304151,bad,-6.475793340963375
1775688305524,ideal,-6.87888321839595
1775688305524,good,-6.875443088760825
1775688305524,realistic,-6.869938881344625
1775688305524,bad,-6.856178362804125
1775688305524,ideal,-7.40320273551555
1775688305524,good,-7.399500393679425
1775688305524,realistic,-7.393576646741625
1775688305524,bad,-7.378767279397125
1775688307933,ideal,-7.55228874634875
1775688307933,good,-7.548511846595625
1775688307933,realistic,-7.542468806990625
1775688307933,bad,-7.527361207978125
1775688307933,ideal,-8.01292006430622
1775688307933,good,-8.00891280282177
1775688307933,realistic,-8.00250118444665
1775688307933,bad,-7.98647213850885
1775688307933,ideal,-8.30934446906592
1775688307933,good,-8.30518896573072
1775688307933,realistic,-8.2985401603944
1775688307933,bad,-8.2819181470536
1775688325587,ideal,-8.57697455734092
1775688325587,good,-8.57268521219322
1775688325587,realistic,-8.5658222599569
1775688325587,bad,-8.5486648793661
1775688334903,ideal,-9.25180663607649
1775688334903,good,-9.247179807392715
1775688334903,realistic,-9.239776881498675
1775688334903,bad,-9.221269566763575
1775688334903,ideal,-9.48241175342697
1775688334903,good,-9.477669599119395
1775688334903,realistic,-9.470082152227275
1775688334903,bad,-9.451113534996975
1775688348110,ideal,-9.49141513189107
1775688348110,good,-9.486668474993745
1775688348110,realistic,-9.479073823958025
1775688348110,bad,-9.460087196368725
1775688350519,ideal,-9.7734961372545
1775688350519,good,-9.76860841164075
1775688350519,realistic,-9.76078805065875
1775688350519,bad,-9.74123714820375
1775688350519,ideal,-10.39902621661242
1775688350519,good,-10.39382566339347
1775688350519,realistic,-10.38550477824315
1775688350519,bad,-10.36470256536735
1775688371981,ideal,-10.95545240911242
1775688371981,good,-10.94997358714347
1775688371981,realistic,-10.94120747199315
1775688371981,bad,-10.91929218411735
1775688371981,ideal,-11.30448363390342
1775688371981,good,-11.29883026141197
1775688371981,realistic,-11.28978486542565
1775688371981,bad,-11.26717137545985
1775688395671,ideal,-11.76425134196742
1775688395671,good,-11.75836803963597
1775688395671,realistic,-11.74895475590565
1775688395671,bad,-11.72542154657985
1775688433651,ideal,-12.43792167794802
1775688433651,good,-12.43170147306807
1775688433651,realistic,-12.42174914526015
1775688433651,bad,-12.39686832574035
1775688433651,ideal,-12.52777727123442
1775688433651,good,-12.52151212957047
1775688433651,realistic,-12.51148790290815
1775688433651,bad,-12.48642733625235
1775688433651,ideal,-12.6698826620709
1775688433651,good,-12.66354645349815
1775688433651,realistic,-12.65340851978175
1775688433651,bad,-12.62806368549075
1775688443792,ideal,-13.5750595964697
1775688443792,good,-13.56827070889395
1775688443792,realistic,-13.55740848877275
1775688443792,bad,-13.53025293846975
1775688469287,ideal,-13.58406552772314
1775688469287,good,-13.57727213628099
1775688469287,realistic,-13.56640270997355
1775688469287,bad,-13.53922914420495
1775688469287,ideal,-14.48156497652622
1775688469287,good,-14.47432274559177
1775688469287,realistic,-14.46273517609665
1775688469287,bad,-14.43376625235885
1775688492510,ideal,-15.38957672184942
1775688492510,good,-15.38188039422297
1775688492510,realistic,-15.36956627002065
1775688492510,bad,-15.33878095951485
1775688514838,ideal,-15.89657082664464
1775688514838,good,-15.88862095125624
1775688514838,realistic,-15.8759011506348
1775688514838,bad,-15.8441016490812
1775688514838,ideal,-16.29517138868502
1775688514838,good,-16.28702217314757
1775688514838,realistic,-16.27398342828765
1775688514838,bad,-16.24138656613785
1775688517455,ideal,-16.30416899120454
1775688517455,good,-16.29601527596589
1775688517455,realistic,-16.28296933158405
1775688517455,bad,-16.25035447062945
1775688517455,ideal,-16.52208468314778
1775688517455,good,-16.51382198826723
1775688517455,realistic,-16.50060167645835
1775688517455,bad,-16.46755089693615
1775688517455,ideal,-17.20103658865317
1775688517455,good,-17.192434349911095
1775688517455,realistic,-17.178670767923775
1775688517455,bad,-17.144261812955475
1775688524928,ideal,-17.43171410012193
1775688524928,good,-17.422996499551755
1775688524928,realistic,-17.409048338639475
1775688524928,bad,-17.374177936358775
1775688524928,ideal,-18.10671381172422
1775688524928,good,-18.09765864378477
1775688524928,realistic,-18.08317037508165
1775688524928,bad,-18.04694970332385
1775688564945,ideal,-18.10968962444262
1775688564945,good,-18.10063296829917
1775688564945,realistic,-18.08614231846965
1775688564945,bad,-18.04991569389585
1775688564945,ideal,-18.55385877284262
1775688564945,good,-18.54457998769917
1775688564945,realistic,-18.52973393146965
1775688564945,bad,-18.49261879089585
1775688564945,ideal,-19.01335658169726
1775688564945,good,-19.00384800169041
1775688564945,realistic,-18.98863427367945
1775688564945,bad,-18.95059995365205
1775688594368,ideal,-19.44803907990684
1775688594368,good,-19.43831311517394
1775688594368,realistic,-19.4227515716013
1775688594368,bad,-19.3838477126697
1775688594368,ideal,-19.91997625599036
1775688594368,good,-19.91001427546626
1775688594368,realistic,-19.8940751066277
1775688594368,bad,-19.8542271845313
1775688605142,ideal,-20.11576061498562
1775688605142,good,-20.10570072269967
1775688605142,realistic,-20.08960489504215
1775688605142,bad,-20.04936532589835
1775688605142,ideal,-20.3523487030026
1775688605142,good,-20.3421704930091
1775688605142,realistic,-20.3258853570195
1775688605142,bad,-20.2851725170455
1775688605142,ideal,-20.58893679101958
1775688605142,good,-20.57864026331853
1775688605142,realistic,-20.56216581899685
1775688605142,bad,-20.52097970819265
1775688605142,ideal,-20.82552487903656
1775688605142,good,-20.81511003362796
1775688605142,realistic,-20.7984462809742
1775688605142,bad,-20.7567868993398
1775688606878,ideal,-20.83451757933672
1775688606878,good,-20.82409823667852
1775688606878,realistic,-20.8074272884254
1775688606878,bad,-20.7657499177926
1775688606878,ideal,-21.40709740526376
1775688606878,good,-21.39639171542316
1775688606878,realistic,-21.3792626116782
1775688606878,bad,-21.3364398523158
1775688606878,ideal,-21.56946942936276
1775688606878,good,-21.55868253726966
1775688606878,realistic,-21.5414235099207
1775688606878,bad,-21.4982759415483
1775688606878,ideal,-21.73184145346176
1775688606878,good,-21.72097335911616
1775688606878,realistic,-21.7035844081632
1775688606878,bad,-21.6601120307808
1775688613464,ideal,-22.16752801761798
1775688613464,good,-22.15644203641293
1775688613464,realistic,-22.13870446648485
1775688613464,bad,-22.09436054166465
1775688615745,ideal,-22.63419194166288
1775688615745,good,-22.62287258182008
1775688615745,realistic,-22.6047616060716
1775688615745,bad,-22.5594841667004
1775688615745,ideal,-23.06451851563158
1775688615745,good,-23.05298394946053
1775688615745,realistic,-23.03452864358685
1775688615745,bad,-22.98839037890265
1775688615745,ideal,-23.07350805036498
1775688615745,good,-23.06196898852743
1775688615745,realistic,-23.04350648958735
1775688615745,bad,-22.99735024223715
1775688766348,ideal,-41.54339528070307627006792948
1775688766348,good,-42.42320116672072826233134843
1775688766348,realistic,-43.83089058434897144995281903
1775688766348,bad,-47.35011412841957941900649266
1775688766348,ideal,-51.1469477626672536758759898
1775688766348,good,-52.45567703707010061842656225
1775688766348,realistic,-54.54964387611465572650747861
1775688766348,bad,-59.78456097372604349670976524
1775688766348,ideal,-65.71879491670201807135402682
1775688766348,good,-67.73075221733409347739955942
1775688766348,realistic,-70.94988389834541412707241225
1775688766348,bad,-78.9977131008737157512545378
1775688872748,ideal,-66.62846592110701807135402682
1775688872748,good,-68.63996829525159347739955942
1775688872748,realistic,-71.85837209388291412707241225
1775688872748,bad,-79.9043815904612157512545378
1775689266600,ideal,-67.06586058567481807135402682
1775689266600,good,-69.07714421873889347739955942
1775689266600,realistic,-72.29519803164141412707241225
