ts,profile,equity
1775658642436,ideal,-0.3208601592
1775658642436,good,-0.3210205572
1775658642436,realistic,-0.321277194
1775658642436,bad,-0.321918786
1775658757798,ideal,-0.6409146573
1775658757798,good,-0.64123505055
1775658757798,realistic,-0.64174767975
1775658757798,bad,-0.64302925275
1775658837368,ideal,-1.039532037876
1775658837368,good,-1.039653082566
1775658837368,realistic,-1.03984675407
1775658837368,bad,-1.04033093283
1775658938493,ideal,-1.358785375776
1775658938493,good,-1.359066015216
1775658938493,realistic,-1.35951503832
1775658938493,bad,-1.36063759608
1775659058588,ideal,-2.016449382176
1775659058588,good,-2.7276367042826666666666667
1775659058588,realistic,-3.8655364196533333333333333
1775659058588,bad,-6.71028570808
1775659280679,ideal,-2.0488743778796
1775659280679,good,-2.7600454842452666666666667
1775659280679,realistic,-3.8979192544303333333333333
1775659280679,bad,-6.742603679893
1775659280679,ideal,-2.6872224327296
1775659280679,good,-3.3980743012202666666666667
1775659280679,realistic,-4.5354372908053333333333333
1775659280679,bad,-7.378844764768
1775659647872,ideal,-3.0064757706296
1775659647872,good,-3.7174872338702666666666667
1775659647872,realistic,-4.8551055750553333333333333
1775659647872,bad,-7.699151428018
1775659722516,ideal,-3.0695764436962666666666667
1775659722516,good,-4.4911973673813777777777777
1775659722516,realistic,-6.7657908452775555555555556
1775659722516,bad,-12.452274540018
1775659884692,ideal,-3.3888297815962666666666667
1775659884692,good,-4.8106103000313777777777777
1775659884692,realistic,-7.0854591295275555555555556
1775659884692,bad,-12.772581203268
1775660182103,ideal,-3.7072774583962666666666667
1775660182103,good,-5.1292171688313777777777777
1775660182103,realistic,-7.4043207055275555555555556
1775660182103,bad,-13.092079547268
1775660564047,ideal,-4.5170619592295999999999999
1775660564047,good,-6.6481955606369333333333332
1775660564047,realistic,-10.0580093228886666666666668
1775660564047,bad,-18.582543728518
1775660797816,ideal,-4.6971467939945999999999999
1775660797816,good,-6.8283704198144333333333332
1775660797816,realistic,-10.2383282211261666666666668
1775660797816,bad,-18.7632227244055
1775660863435,ideal,-4.7879231956445999999999999
1775660863435,good,-6.9191922005894333333333332
1775660863435,realistic,-10.3292226085011666666666668
1775660863435,bad,-18.8542986282805
1775660930655,ideal,-5.4624705581405999999999999
1775660930655,good,-7.5940767693254333333333332
1775660930655,realistic,-11.0046467072211666666666668
1775660930655,bad,-19.5310715519605
1775660997716,ideal,-5.6188554223592999999999999
1775660997716,good,-7.7505398103408833333333332
1775660997716,realistic,-11.1612348311114166666666668
1775660997716,bad,-19.68797238303775
1775661064195,ideal,-6.2936474537792999999999999
1775661064195,good,-8.4256691703108833333333332
1775661064195,realistic,-11.8369039167614166666666668
1775661064195,bad,-20.36499078288775
1775661129566,ideal,-6.9675952063772999999999999
1775661129566,good,-9.0999538294038833333333332
1775661129566,realistic,-12.5117276262464166666666668
1775661129566,bad,-21.04116211835275
1775661262847,ideal,-7.0221420635672999999999999
1775661262847,good,-9.1545279545688833333333332
1775661262847,realistic,-12.5663453801714166666666668
1775661262847,bad,-21.09588894417775
1775661305266,ideal,-6.0430899033006333333333331
1775661305266,good,-8.8855642825244388888888887
1775661305266,realistic,-13.433523289282527777777778
1775661305266,bad,-24.80342080617775
1775661328405,ideal,-6.1339878292506333333333331
1775661328405,good,-8.9765076483494388888888887
1775661328405,realistic,-13.524539358907527777777778
1775661328405,bad,-24.89461863530275
1775661394163,ideal,-6.2486439808956333333333331
1775661394163,good,-9.0912211166069388888888887
1775661394163,realistic,-13.639344533745027777777778
1775661394163,bad,-25.00965307659025
1775661459879,ideal,-6.3050704589346333333333331
1775661459879,good,-9.1476758022434388888888887
1775661459879,realistic,-13.695844351537527777777778
1775661459879,bad,-25.06626572477275
1775661525450,ideal,-6.9795283255350333333333331
1775661525450,good,-9.8224708303448388888888887
1775661525450,realistic,-14.371178838040527777777778
1775661525450,bad,-25.74294885727975
1775661591530,ideal,-7.0355759358156333333333331
1775661591530,good,-9.8785464588269388888888887
1775661591530,realistic,-14.427299295645027777777778
1775661591530,bad,-25.79918138769025
1775661658931,ideal,-7.7103363304095333333333331
1775661658931,good,-10.5536441661555888888888887
1775661658931,realistic,-15.102936703349277777777778
1775661658931,bad,-26.4761680463335
1775661726484,ideal,-8.3833545211323333333333331
1775661726484,good,-11.2269987986853888888888887
1775661726484,realistic,-15.776829642770277777777778
1775661726484,bad,-27.1514067529825
1775661856109,ideal,-8.4742997065323333333333331
1775661856109,good,-11.3179894475853888888888887
1775661856109,realistic,-15.867893033270277777777778
1775661856109,bad,-27.2426519974825
1775661990921,ideal,-8.5306145622513333333333331
1775661990921,good,-11.3743324551018888888888887
1775661990921,realistic,-15.924281083662777777777778
1775661990921,bad,-27.299152655065
1775662117798,ideal,-8.5869949960833333333333331
1775662117798,good,-11.4307410735138888888888887
1775662117798,realistic,-15.980734797402777777777778
1775662117798,bad,-27.355719107125
1775662181577,ideal,-9.2613460248204333333333331
1775662181577,good,-12.1054292103437388888888887
1775662181577,realistic,-16.655962307181027777777778
1775662181577,bad,-28.03229504927425
1775662248957,ideal,-9.4072305098832333333333331
1775662248957,good,-12.2513866230635388888888887
1775662248957,realistic,-16.802036404152027777777778
1775662248957,bad,-28.17866085687325
1775662314553,ideal,-9.4635328080912333333333331
1775662314553,good,-12.3077170667915388888888887
1775662314553,realistic,-16.858411880712027777777778
1775662314553,bad,-28.23514891551325
1775662380473,ideal,-9.5180351063712333333333331
1775662380473,good,-12.3622466107715388888888887
1775662380473,realistic,-16.912985017812027777777778
1775662380473,bad,-28.28983103541325
1775662445594,ideal,-9.5743011273252333333333331
1775662445594,good,-12.4185407591105388888888887
1775662445594,realistic,-16.969324169967027777777778
1775662445594,bad,-28.34628269710825
1775662510524,ideal,-9.6306452839032333333333331
1775662510524,good,-12.4749130821335388888888887
1775662510524,realistic,-17.025741559302027777777778
1775662510524,bad,-28.40281275222325
1775662526361,ideal,-6.8727499634365666666666663
1775662526361,good,-10.4279958493890944444444442
1775662526361,realistic,-16.1163892669131388888888892
1775662526361,bad,-30.33737281072325
1775662579474,ideal,-6.9292085328925666666666663
1775662579474,good,-10.4844826424850944444444442
1775662579474,realistic,-16.1729212178331388888888892
1775662579474,bad,-30.39401765620325
1775662644774,ideal,-7.6038652537558666666666663
1775662644774,good,-11.1594766242566444444444442
1775662644774,realistic,-16.8484548170578888888888892
1775662644774,bad,-31.070900299061
1775662709460,ideal,-7.6599239182468666666666663
1775662709460,good,-11.2155633124751444444444442
1775662709460,realistic,-16.9045863432403888888888892
1775662709460,bad,-31.1271439201535
1775662774579,ideal,-7.7146341581068666666666663
1775662774579,good,-11.2703009019851444444444442
1775662774579,realistic,-16.9593676921903888888888892
1775662774579,bad,-31.1820346677035
1775662840001,ideal,-7.8055748426068666666666663
1775662840001,good,-11.3612870477351444444444442
1775662840001,realistic,-17.0504265759403888888888892
1775662840001,bad,-31.2732753964535
1775662969920,ideal,-8.4802929377425666666666663
1775662969920,good,-12.0363424344600944444444442
1775662969920,realistic,-17.7260216292081388888888892
1775662969920,bad,-31.95021961607825
1775663037951,ideal,-8.5352945118577666666666663
1775663037951,good,-12.0913715038632944444444442
1775663037951,realistic,-17.7810946910721388888888892
1775663037951,bad,-32.00540265909425
1775663147251,ideal,-8.7600603112054666666666663
1775663147251,good,-12.3160248978302444444444442
1775663147251,realistic,-18.0055682364298888888888892
1775663147251,bad,-32.229426582929
1775663170019,ideal,-8.9388038417632666666666663
1775663170019,good,-12.4948577822825444444444442
1775663170019,realistic,-18.1845440871133888888888892
1775663170019,bad,-32.4087598491905
1775663394164,ideal,-9.1483967997862666666666663
1775663394164,good,-12.7043459228630444444444442
1775663394164,realistic,-18.3938645197858888888888892
1775663394164,bad,-32.617661012093
1775663907380,ideal,-9.8186402558799466666666663
1775663907380,good,-13.3742541901909244444444442
1775663907380,realistic,-19.0632364850884888888888892
1775663907380,bad,-33.2856922223324
1775664316829,ideal,-10.2226118943401566666666663
1775664316829,good,-13.7780238024266594444444442
1775664316829,realistic,-19.4666828553650638888888892
1775664316829,bad,-33.688330487711075
1775664378991,ideal,-10.6178474103243766666666663
1775664378991,good,-14.1730616611214294444444442
1775664378991,realistic,-19.8614044623967138888888892
1775664378991,bad,-34.082261465584925
1775664542641,ideal,-10.8432680734419766666666663
1775664542641,good,-14.3985950120330294444444442
1775664542641,realistic,-20.0871181137787138888888892
1775664542641,bad,-34.308425868142925
1775664544559,ideal,-10.8805071697719766666666663
1775664544559,good,-14.4358527241880294444444442
1775664544559,realistic,-20.1244056112537138888888892
1775664544559,bad,-34.345787828917925
1775664545900,ideal,-10.9177462661019766666666663
1775664545900,good,-14.4731104363430294444444442
1775664545900,realistic,-20.1616931087287138888888892
1775664545900,bad,-34.383149789692925
1775664547449,ideal,-10.9549853624319766666666663
1775664547449,good,-14.5103681484980294444444442
1775664547449,realistic,-20.1989806062037138888888892
1775664547449,bad,-34.420511750467925
1775664548789,ideal,-10.9922244587619766666666663
1775664548789,good,-14.5476258606530294444444442
1775664548789,realistic,-20.2362681036787138888888892
1775664548789,bad,-34.457873711242925
1775664550192,ideal,-11.0294635550919766666666663
1775664550192,good,-14.5848835728080294444444442
1775664550192,realistic,-20.2735556011537138888888892
1775664550192,bad,-34.495235672017925
1775664551479,ideal,-11.0648406966054766666666663
1775664551479,good,-14.6202783993552794444444442
1775664551479,realistic,-20.3089787237549638888888892
1775664551479,bad,-34.530729534754175
1775664552283,ideal,-11.1020797929354766666666663
1775664552283,good,-14.6575361115102794444444442
1775664552283,realistic,-20.3462662212299638888888892
1775664552283,bad,-34.568091495529175
1775664553711,ideal,-11.1393188892654766666666663
1775664553711,good,-14.6947938236652794444444442
1775664553711,realistic,-20.3835537187049638888888892
1775664553711,bad,-34.605453456304175
1775664562927,ideal,-11.8144559948334766666666663
1775664562927,good,-15.3695932931532794444444442
1775664562927,realistic,-21.0578129704649638888888892
1775664562927,bad,-35.278362163744175
1775664570642,ideal,-11.9667638988231766666666663
1775664570642,good,-15.5219773358672294444444442
1775664570642,realistic,-21.2103188351377138888888892
1775664570642,bad,-35.431172583313925
1775664625417,ideal,-12.1432922443415266666666663
1775664625417,good,-15.6984173995564544444444442
1775664625417,realistic,-21.3866176479003388888888892
1775664625417,bad,-35.60711826876005
1775665456638,ideal,-7.5965602627748599999999995
1775665456638,good,-11.8635581029620099999999997
1775665456638,realistic,-18.6907546472614500000000004
1775665456638,bad,-35.75874600801005
1775665548860,ideal,-8.2717034646233599999999995
1775665548860,good,-12.5383636656817599999999997
1775665548860,realistic,-19.3650199873752000000000004
1775665548860,bad,-36.4316607916088
1775665669743,ideal,-8.3390988038591599999999995
1775665669743,good,-12.6057253005070599999999997
1775665669743,realistic,-19.4323276951437000000000004
1775665669743,bad,-36.4988336817353
1775665831595,ideal,-8.6599589630591599999999995
1775665831595,good,-12.9267458577070599999999997
1775665831595,realistic,-19.7536048891437000000000004
1775665831595,bad,-36.8207524677353
1775666492678,ideal,-8.6970495296891599999999995
1775666492678,good,-12.9638549659120599999999997
1775666492678,realistic,-19.7907436638687000000000004
1775666492678,bad,-36.8579654087603
1775666494165,ideal,-8.7071876179013599999999995
1775666494165,good,-12.9739981221547599999999997
1775666494165,realistic,-19.8008949289602000000000004
1775666494165,bad,-36.8681369459738
1775666499025,ideal,-8.7442781845313599999999995
1775666499025,good,-13.0111072303597599999999997
1775666499025,realistic,-19.8380337036852000000000004
1775666499025,bad,-36.9053498869988
1775666501251,ideal,-9.1232201402678599999999995
1775666501251,good,-13.3902386191875099999999997
1775666501251,realistic,-20.2174681854589500000000004
1775666501251,bad,-37.28554210113755
1775666501450,ideal,-9.1603107068978599999999995
1775666501450,good,-13.4273477273925099999999997
1775666501450,realistic,-20.2546069601839500000000004
1775666501450,bad,-37.32275504216255
1775666502188,ideal,-9.3337709235041599999999995
1775666502188,good,-13.6008946567645599999999997
1775666502188,realistic,-20.4282926299812000000000004
1775666502188,bad,-37.4967875630228
1775666514955,ideal,-9.6769188641873599999999995
1775666514955,good,-13.9438709891557599999999997
1775666514955,realistic,-20.7709943891052000000000004
1775666514955,bad,-37.8388028889788
1775666514955,ideal,-10.0060520993723599999999995
1775666514955,good,-14.2728396248032599999999997
1775666514955,realistic,-21.0996996654927000000000004
1775666514955,bad,-38.1668497672163
1775666633826,ideal,-10.4546460226403599999999995
1775666633826,good,-14.7212092062412599999999997
1775666633826,realistic,-21.5477103000027000000000004
1775666633826,bad,-38.6139630344063
1775666774226,ideal,-10.6794734101679599999999995
1775666774226,good,-14.9459241575878599999999997
1775666774226,realistic,-21.7722453534597000000000004
1775666774226,bad,-38.8380483431393
1775666898486,ideal,-10.7496930459314599999999995
1775666898486,good,-15.0161086765101099999999997
1775666898486,realistic,-21.8423736854359500000000004
1775666898486,bad,-38.90803620775055
1775666898486,ideal,-10.9745652175004599999999995
1775666898486,good,-15.2408683895016099999999997
1775666898486,realistic,-22.0669534647034500000000004
1775666898486,bad,-39.13216615270805
1775666925148,ideal,-9.8515734026004599999999995
1775666925148,good,-14.8314607873516099999999997
1775666925148,realistic,-22.7992806029534500000000004
1775666925148,bad,-42.71883014195805
1775666946760,ideal,-10.5240452683230599999999995
1775666946760,good,-15.5035963498807099999999997
1775666946760,realistic,-23.4708780803729500000000004
1775666946760,bad,-43.38908240660355
1775667017269,ideal,-11.2304584479249599999999995
1775667017269,good,-16.2096562522373599999999997
1775667017269,realistic,-24.1763727391372000000000004
1775667017269,bad,-44.0931639563868
1775667136485,ideal,-11.4548190043374599999999995
1775667136485,good,-16.4339046059311099999999997
1775667136485,realistic,-24.4004415684809500000000004
1775667136485,bad,-44.31678397485555
1775667358858,ideal,-11.7771345283374599999999995
1775667358858,good,-16.7560589399311099999999997
1775667358858,realistic,-24.7223379984809500000000004
1775667358858,bad,-44.63803564485555
1775667540993,ideal,-12.0018424917546599999999995
1775667540993,good,-16.9806545268913099999999997
1775667540993,realistic,-24.9467537831099500000000004
1775667540993,bad,-44.86200192365655
1775667657208,ideal,-12.1176962198739599999999995
1775667657208,good,-17.0964503165588599999999997
1775667657208,realistic,-25.0624568712547000000000004
1775667657208,bad,-44.9774732579943
1775667746950,ideal,-12.4757953988886599999999995
1775667746950,good,-17.4547285093603099999999997
1775667746950,realistic,-25.4210214861149500000000004
1775667746950,bad,-45.33675392800155
1775667746950,ideal,-12.7916420775930599999999995
1775667746950,good,-17.7707330798257099999999997
1775667746950,realistic,-25.7372786833979500000000004
1775667746950,bad,-45.65364269232855
1775668393126,ideal,-13.1139952590600599999999995
1775668393126,good,-18.0929250524602099999999997
1775668393126,realistic,-26.0592127219004500000000004
1775668393126,bad,-45.97493189550105
1775668393126,ideal,-13.1814169720200599999999995
1775668393126,good,-18.1603130478202099999999997
1775668393126,realistic,-26.1265467691004500000000004
1775668393126,bad,-46.04213107230105
1775668393126,ideal,-13.4641637618499599999999995
1775668393126,good,-18.4429184359748599999999997
1775668393126,realistic,-26.4089259145747000000000004
1775668393126,bad,-46.3239446110743
1775668690329,ideal,-14.1381060908634599999999995
1775668690329,good,-19.1171976687721099999999997
1775668690329,realistic,-27.0837441934259500000000004
1775668690329,bad,-47.00011050506055
1775668747738,ideal,-14.3181836256519599999999995
1775668747738,good,-19.2971851467818599999999997
1775668747738,realistic,-27.2635875805897000000000004
1775668747738,bad,-47.1795936651093
1775668804946,ideal,-14.3273917536579599999999995
1775668804946,good,-19.3063886698028599999999997
1775668804946,realistic,-27.2727837356347000000000004
1775668804946,bad,-47.1887714002143
1775668804946,ideal,-14.4686683301904599999999995
1775668804946,good,-19.4475945939166099999999997
1775668804946,realistic,-27.4138766158784500000000004
1775668804946,bad,-47.32958167078305
1775668849452,ideal,-14.8951565554824599999999995
1775668849452,good,-19.8738695324386099999999997
1775668849452,realistic,-27.8398102955684500000000004
1775668849452,bad,-47.75466220339305
1775668971876,ideal,-15.2962963114824599999999995
1775668971876,good,-20.2748086784386099999999997
1775668971876,realistic,-28.2404284655684500000000004
1775668971876,bad,-48.15447793339305
1775669012228,ideal,-15.9722127174092099999999995
1775669012228,good,-20.9503870585572349999999997
1775669012228,realistic,-28.9154660043940750000000004
1775669012228,bad,-48.828163368986175
1775669225971,ideal,-14.8500925377092099999999995
1775669225971,good,-20.5439626796072349999999997
1775669225971,realistic,-29.6541549066440750000000004
1775669225971,bad,-52.429635474236175
1775669243613,ideal,-15.4346087260862099999999995
1775669243613,good,-21.1281865514267349999999997
1775669243613,realistic,-30.2379110719715750000000004
1775669243613,bad,-53.012222373333675
1775669243613,ideal,-15.5259553800508199999999995
1775669243613,good,-21.2194875229278699999999997
1775669243613,realistic,-30.3291389515311500000000004
1775669243613,bad,-53.10326752303935
1775669294463,ideal,-15.8481255291316199999999995
1775669294463,good,-21.5414965547106699999999997
1775669294463,realistic,-30.6508901956371500000000004
1775669294463,bad,-53.42437429795335
1775669348619,ideal,-16.1749462719076199999999995
1775669348619,good,-21.8681538544266699999999997
1775669348619,realistic,-30.9772859864571500000000004
1775669348619,bad,-53.75011631653335
1775669406166,ideal,-16.4647079279836199999999995
1775669406166,good,-22.1577706006926699999999997
1775669406166,realistic,-31.2666708770271500000000004
1775669406166,bad,-54.03892156786335
1775669406166,ideal,-16.4972617959076199999999995
1775669406166,good,-22.1903081884266699999999997
1775669406166,realistic,-31.2991824164571500000000004
1775669406166,bad,-54.07136798653335
1775669457863,ideal,-16.8840188290276199999999995
1775669457863,good,-22.5768718043466699999999997
1775669457863,realistic,-31.6854365648571500000000004
1775669457863,bad,-54.45684846613335
1775669565050,ideal,-17.2121762994046199999999995
1775669565050,good,-22.9048651631661699999999997
1775669565050,realistic,-32.0131673451846500000000004
1775669565050,bad,-54.78392280023085
1775669779585,ideal,-17.6416857153376199999999995
1775669779585,good,-23.3341597814316699999999997
1775669779585,realistic,-32.4421182871821500000000004
1775669779585,bad,-55.21201455155835
1775669799072,ideal,-17.9648020791376199999999995
1775669799072,good,-23.6571145547316699999999997
1775669799072,realistic,-32.7648145156821500000000004
1775669799072,bad,-55.53406441805835
1775669836029,ideal,-18.0851595728236199999999995
1775669836029,good,-23.7774118576326699999999997
1775669836029,realistic,-32.8850155133271500000000004
1775669836029,bad,-55.65402465256335
1775671963704,ideal,-17.8543745533236199999999995
1775671963704,good,-24.2636580393826699999999997
1775671963704,realistic,-34.5185116170771500000000004
1775671963704,bad,-60.15564556131335
1775672328194,ideal,-15.8424323736236199999999995
1775672328194,good,-22.9678566604326699999999997
1775672328194,realistic,-34.3685355193271500000000004
1775672328194,bad,-62.87023266656335
1775672750374,ideal,-16.1632925328236199999999995
1775672750374,good,-23.2888772176326699999999997
1775672750374,realistic,-34.6898127133271500000000004
1775672750374,bad,-63.19215145256335
1775673091244,ideal,-15.0403007179236199999999995
1775673091244,good,-22.8794696154826699999999997
1775673091244,realistic,-35.4221398515771500000000004
1775673091244,bad,-66.77881544181335
1775673807028,ideal,-15.3611608771236199999999995
1775673807028,good,-23.2004901726826699999999997
1775673807028,realistic,-35.7434170455771500000000004
1775673807028,bad,-67.10073422781335
1775674527407,ideal,-15.6812153752236199999999995
1775674527407,good,-23.5207046660326699999999997
1775674527407,realistic,-36.0638875313271500000000004
1775674527407,bad,-67.42184469456335
1775676253797,ideal,-16.3570869318720199999999995
1775676253797,good,-24.1962382193020699999999997
1775676253797,realistic,-36.7388802791901500000000004
1775676253797,bad,-68.09548542891035
1775677055555,ideal,-16.3497482389504199999999995
1775677055555,good,-24.2116912740764699999999997
1775677055555,realistic,-36.7908001302781500000000004
1775677055555,bad,-68.23857227078235
1775677055627,ideal,-16.1277527780720199999999995
1775677055627,good,-24.6791461810020699999999997
1775677055627,realistic,-38.3613756256901500000000004
1775677055627,bad,-72.56694923741035
1775682673894,ideal,-14.1095819631720199999999995
1775682673894,good,-23.3741120788520699999999997
1775682673894,realistic,-38.1973602639401500000000004
1775682673894,bad,-75.25548072666035
1775683650312,ideal,-14.4318974871720199999999995
1775683650312,good,-23.6962664128520699999999997
1775683650312,realistic,-38.5192566939401500000000004
1775683650312,bad,-75.57673239666035
1775685681486,ideal,-13.3097773074720199999999995
1775685681486,good,-23.2898420339020699999999997
1775685681486,realistic,-39.2579455961901500000000004
1775685681486,bad,-79.17820450191035
1775686861022,ideal,-13.6306374666720199999999995
1775686861022,good,-23.6108625911020699999999997
1775686861022,realistic,-39.5792227901901500000000004
1775686861022,bad,-79.50012328791035
1775687411678,ideal,-13.9506919647720199999999995
1775687411678,good,-23.9310770844520699999999997
1775687411678,realistic,-39.8996932759401500000000004
1775687411678,bad,-79.82123375466035
1775687704114,ideal,-13.7213578109720199999999995
1775687704114,good,-24.4139850461520699999999997
1775687704114,realistic,-41.5221886224401500000000004
1775687704114,bad,-84.29269756316035
1775688918218,ideal,-14.0414123090720199999999995
1775688918218,good,-24.7341995395020699999999997
1775688918218,realistic,-41.8426591081901500000000004
1775688918218,bad,-84.61380802991035
1775689251678,ideal,-14.3606656469720199999999995
1775689251678,good,-25.0536124721520699999999997
1775689251678,realistic,-42.1623273924401500000000004
1775689251678,bad,-84.93411469316035
1775689907062,ideal,-14.3876109724520199999999995
1775689907062,good,-25.1338646113320699999999997
1775689907062,realistic,-42.3278704335401500000000004
1775689907062,bad,-85.31288498906035
1775689907330,ideal,-14.4127599429000199999999995
1775689907330,good,-25.2087666079000699999999997
1775689907330,realistic,-42.4823772719001500000000004
1775689907330,bad,-85.66640393190035
1775689907330,ideal,-14.4228195310792199999999995
1775689907330,good,-25.2387274065272699999999997
1775689907330,realistic,-42.5441800072441500000000004
1775689907330,bad,-85.80781150903635
1775689907473,ideal,-14.7199366533720199999999995
1775689907473,good,-26.1236409945520699999999997
1775689907473,realistic,-44.3695679404401500000000004
1775689907473,bad,-89.98438530516035
1775690557169,ideal,-15.0391899912720199999999995
1775690557169,good,-26.4430539272020699999999997
1775690557169,realistic,-44.6892362246901500000000004
1775690557169,bad,-90.30469196841035
1775692198403,ideal,-14.9033619976720199999999995
1775692198403,good,-27.0177359496020699999999997
1775692198403,realistic,-46.4007342726901500000000004
1775692198403,bad,-94.85823008041035
1775693760875,ideal,-15.2226153355720199999999995
1775693760875,good,-27.3371488822520699999999997
1775693760875,realistic,-46.7204025569401500000000004
1775693760875,bad,-95.17853674366035
1775694639758,ideal,-15.5410630123720199999999995
1775694639758,good,-27.6557557510520699999999997
1775694639758,realistic,-47.0392641329401500000000004
1775694639758,bad,-95.49803508766035
1775696874436,ideal,-15.8587050280720199999999995
1775696874436,good,-27.9735565560020699999999997
1775696874436,realistic,-47.3573190006901500000000004
1775696874436,bad,-95.81672511241035
1775698339849,ideal,-17.6322167566720199999999995
1775698339849,good,-30.4549551061020699999999997
1775698339849,realistic,-50.9713364651901500000000004
1775698339849,bad,-102.26228986291035
1775699685727,ideal,-17.6168918241720199999999995
1775699685727,good,-31.1484115923520699999999997
1775699685727,realistic,-52.7988432214401500000000004
1775699685727,bad,-106.92492229416035
1775702944692,ideal,-15.8127302305720199999999995
1775702944692,good,-30.0539260147520699999999997
1775702944692,realistic,-52.8398392694401500000000004
1775702944692,bad,-109.80462240616035
1775704256049,ideal,-16.1319835684720199999999995
1775704256049,good,-30.3733389474020699999999997
1775704256049,realistic,-53.1595075536901500000000004
1775704256049,bad,-110.12492906941035
