ts,profile,equity
1775658336052,ideal,-0.11274024744
1775658336052,good,-0.11268386604
1775658336052,realistic,-0.1125936558
1775658336052,bad,-0.1123681302
1775658336633,ideal,-0.22548319434
1775658336633,good,-0.22537043019
1775658336633,realistic,-0.22519000755
1775658336633,bad,-0.22473895095
1775658342958,ideal,-0.45091509894
1775658342958,good,-0.45068959629
1775658342958,realistic,-0.45032879205
1775658342958,bad,-0.44942678145
1775658358703,ideal,-0.5635797615
1775658358703,good,-0.56329791525
1775658358703,realistic,-0.56284696125
1775658358703,bad,-0.56171957625
1775658362066,ideal,-0.73262534562
1775658362066,good,-0.73225895967
1775658362066,realistic,-0.73167274215
1775658362066,bad,-0.73020719835
1775658367150,ideal,-0.7916027652765
1775658367150,good,-0.79120688471775
1775658367150,realistic,-0.79057347582375
1775658367150,bad,-0.78898995358875
1775658416415,ideal,-1.0170427682565
1775658416415,good,-1.01653414514775
1775658416415,realistic,-1.01572034817375
1775658416415,bad,-1.01368585573875
1775658459293,ideal,-1.0283088295935
1775658459293,good,-1.02779457232725
1775658459293,realistic,-1.02697176070125
1775658459293,bad,-1.02491473163625
1775658465523,ideal,-1.0508423019975
1775658465523,good,-1.05031677574125
1775658465523,realistic,-1.04947593373125
1775658465523,bad,-1.04737382870625
1775658471907,ideal,-1.0733760443475
1775658471907,good,-1.07283924896625
1775658471907,realistic,-1.07198037635625
1775658471907,bad,-1.06983319483125
1775658478401,ideal,-1.0959119462655
1775658478401,good,-1.09536388067925
1775658478401,realistic,-1.09448697574125
1775658478401,bad,-1.09229471339625
1775658480168,ideal,-1.1071800321975
1775658480168,good,-1.10662633144125
1775658480168,realistic,-1.10574041023125
1775658480168,bad,-1.10352560720625
1775658489027,ideal,-1.1180722543173
1775658489027,good,-1.11751310636055
1775658489027,realistic,-1.11661846962975
1775658489027,bad,-1.11438187780275
1775658508740,ideal,-1.1293447943583
1775658508740,good,-1.12878000900405
1775658508740,realistic,-1.12787635243725
1775658508740,bad,-1.12561721102025
1775658629243,ideal,-1.2412060706277
1775658629243,good,-1.24058534344695
1775658629243,realistic,-1.23959217995775
1775658629243,bad,-1.23710927123475
1775658629789,ideal,-1.3530740505561
1775658629789,good,-1.35239737819635
1775658629789,realistic,-1.35131470242075
1775658629789,bad,-1.34860801298175
1775658648386,ideal,-1.4647596909597
1775658648386,good,-1.46402716460895
1775658648386,realistic,-1.46285512244775
1775658648386,bad,-1.45992501704475
1775658649000,ideal,-1.5764520350223
1775658649000,good,-1.57566365132805
1775658649000,realistic,-1.57440223741725
1775658649000,bad,-1.57124870264025
1775658662007,ideal,-1.6881859417707
1775658662007,good,-1.68734167994745
1775658662007,realistic,-1.68599086103025
1775658662007,bad,-1.68261381373725
1775658662940,ideal,-1.6934353746741
1775658662940,good,-1.69258848760935
1775658662940,realistic,-1.69123346830575
1775658662940,bad,-1.68784592004675
1775658663074,ideal,-1.8059232226041
1775658663074,good,-1.80502008036435
1775658663074,realistic,-1.80357505278075
1775658663074,bad,-1.79996248382175
1775658663890,ideal,-1.8329203061073
1775658663890,good,-1.83200366262555
1775658663890,realistic,-1.83053703305475
1775658663890,bad,-1.82687045912775
1775658664745,ideal,-1.9116617996583
1775658664745,good,-1.91070577755405
1775658664745,realistic,-1.90917614218725
1775658664745,bad,-1.90535205377025
1775658668433,ideal,-2.0252949744771
1775658668433,good,-2.02428212441985
1775658668433,realistic,-2.02266156432825
1775658668433,bad,-2.01861016409925
