ts,profile,equity
1775658693778,ideal,-0.0997385172147
1775658693778,good,-0.09978837650145
1775658693778,realistic,-0.09986815136025
1775658693778,bad,-0.10006758850725
1775658825415,ideal,-0.6893251355955
1775658825415,good,-0.91072130083425
1775658825415,realistic,-1.26495516521625
1775658825415,bad,-2.15053982617125
1775658934350,ideal,-0.7878337884987
1775658934350,good,-1.00999029599545
1775658934350,realistic,-1.36544070799025
1775658934350,bad,-2.25406673797725
1775658990815,ideal,-0.9574377725242
1775658990815,good,-1.4002983088347
1775658990815,realistic,-2.1088751669315
1775658990815,bad,-3.8803173121735
1775659076971,ideal,-1.057275896905
1775659076971,good,-1.5000865041675
1775659076971,realistic,-2.2085834757875
1775659076971,bad,-3.9798259048375
1775659641014,ideal,-0.7741301583776318471337579592
1775659641014,good,-1.438658966837635031847133752
1775659641014,realistic,-2.501905060373640127388535039
1775659641014,bad,-5.16002029421365286624203821
1775659733086,ideal,-0.8739682827584318471337579592
1775659733086,good,-1.538447162170435031847133752
1775659733086,realistic,-2.601613369229640127388535039
1775659733086,bad,-5.25952888687765286624203821
1775659842699,ideal,-0.5724682529960766359690047912
1775659842699,good,-1.458658902444968375999026272
1775659842699,realistic,-2.876563941563195160047060785
1775659842699,bad,-6.421326539358762120167146739
1775659925712,ideal,-0.6672613812934999999999999632
1775659925712,good,-1.554921613277249999999999942
1775659925712,realistic,-2.975177984451250000000000053
1775659925712,bad,-6.525818912386249999999999999
1775660010929,ideal,-0.8554765254964999999999999632
1775660010929,good,-1.963414655487749999999999942
1775660010929,realistic,-3.736115663473750000000000053
1775660010929,bad,-8.167868183438749999999999999
1775660187164,ideal,-0.9520205524468999999999999632
1775660187164,good,-2.062131869814149999999999942
1775660187164,realistic,-3.838309977601750000000000053
1775660187164,bad,-8.278755247070749999999999999
1775660223226,ideal,-0.8290645712364999999999999632
1775660223226,good,-2.159170805577749999999999942
1775660223226,realistic,-4.287340780523750000000000053
1775660223226,bad,-9.607765717888749999999999999
1775660293468,ideal,-0.9291485354394999999999999632
1775660293468,good,-2.259204717788249999999999942
1775660293468,realistic,-4.387294609546250000000000053
1775660293468,bad,-9.707519338941249999999999999
1775660621067,ideal,-1.029110911464999999999999963
