ts,profile,equity
1775658645997,ideal,-4.5007208281728
1775658645997,good,-4.5029707386048
1775658645997,realistic,-4.506570595296
1775658645997,bad,-4.515570237024
1775658973149,ideal,-18.0029468834028
1775658973149,good,-18.0119465569098
1775658973149,realistic,-18.026346034521
1775658973149,bad,-18.062344728549
1775659007476,ideal,-31.5051318184104
1775659007476,good,-31.5208812344364
1775659007476,realistic,-31.546080300078
1775659007476,bad,-31.609077964182
1775659407273,ideal,-36.0058221439839
1775659407273,good,-36.02382145519365
1775659407273,realistic,-36.05262035312925
1775659407273,bad,-36.12461759796825
1775659654502,ideal,-40.5066329541495
1775659654502,good,-40.52688222077325
1775659654502,realistic,-40.55928104737125
1775659654502,bad,-40.64027811386625
1775659924660,ideal,-45.0073345949856
1775659924660,good,-45.0298337624496
1775659924660,realistic,-45.065832430392
1775659924660,bad,-45.155829100248
1775659924911,ideal,-46.2053490139584
1775659924911,good,-46.2284470688544
1775659924911,realistic,-46.265403956688
1775659924911,bad,-46.357796176272
1775659924911,ideal,-47.8725462867384
1775659924911,good,-47.8964777735844
1775659924911,realistic,-47.934768152538
1775659924911,bad,-48.030494099922
1775659925712,ideal,-52.372762888086
1775659925712,good,-52.398944033301
1775659925712,realistic,-52.440833865645
1775659925712,bad,-52.545558446505
1775659928228,ideal,-56.8734726530466
1775659928228,good,-56.9019037031631
1775659928228,realistic,-56.9473933833495
1775659928228,bad,-57.0611175838155
1775659931586,ideal,-61.3735581251736
1775659931586,good,-61.4042387681076
1775659931586,realistic,-61.453327796802
1775659931586,bad,-61.576050368538
1775659939652,ideal,-65.8743242549049
1775659939652,good,-65.90725483091715
1775659939652,realistic,-65.95994375253675
1775659939652,bad,-66.09166605658575
1775660121210,ideal,-79.3767719119464
1775660121210,good,-79.4164523618124
1775660121210,realistic,-79.479941081598
1775660121210,bad,-79.638662881062
1775660130528,ideal,-92.8794617849214
1775660130528,good,-92.9258922297249
1775660130528,realistic,-93.0001809414105
1775660130528,bad,-93.1859027206245
1775660237990,ideal,-93.085865785467
1775660237990,good,-93.1323994116345
1775660237990,realistic,-93.2068532135025
1775660237990,bad,-93.3929877181725
1775660237990,ideal,-106.3799181087759
1775660237990,good,-106.43309743196565
1775660237990,realistic,-106.51818434906925
1775660237990,bad,-106.73090164182825
1775660631054,ideal,-111.4388529154424022302645703
1775660631054,good,-121.4879904668258467424772584
1775660631054,realistic,-137.566610549039357962017562
1775660631054,bad,-177.7631607545731360108683233
1775660648144,ideal,-116.4978988879436294869471389
1775660648144,good,-136.543214320290132001187761
1775660648144,realistic,-168.6157190120445360239727617
1775660648144,bad,-248.7969807414305460809352681
1775660899949,ideal,-129.9999560649047294869471389
1775660899949,good,-150.052021175903982001187761
1775660899949,realistic,-182.1353253535027860239727617
1775660899949,bad,-262.3435857974997960809352681
1775662029180,ideal,-143.5026067530443294869471389
1775662029180,good,-163.561421839392582001187761
1775662029180,realistic,-195.6555259775497860239727617
1775662029180,bad,-275.8907863229427960809352681
1775662528087,ideal,-141.4351042607112456636419169
1775662528087,good,-161.7588008799067621831698288
1775662528087,realistic,-194.2767154706195886144144935
1775662528087,bad,-275.5715019474016546925261596
1775662609006,ideal,-154.9371766552152456636419169
1775662609006,good,-175.2676229606707621831698288
1775662609006,realistic,-207.7963370493995886144144935
1775662609006,bad,-289.1181222712216546925261596
1775662730597,ideal,-168.4395542647500456636419169
1775662730597,good,-188.7767504090425621831698288
1775662730597,realistic,-221.3162642399105886144144935
1775662730597,bad,-302.6650488170806546925261596
1775662734118,ideal,-181.9419955440162456636419169
1775662734118,good,-202.2859415589742621831698288
1775662734118,realistic,-234.8362551829070886144144935
1775662734118,bad,-316.2120392427391546925261596
1775663161003,ideal,-195.4446156890484456636419169
1775663161003,good,-215.7953116640869621831698288
1775663161003,realistic,-248.3564252241485886144144935
1775663161003,bad,-329.7592091243026546925261596
1775664336498,ideal,-192.7531191198414971536541901
1775664336498,good,-213.6020106178583145387539935
1775664336498,realistic,-246.9602370146852223549136851
1775664336498,bad,-330.3558030067524918953129183
1775664517176,ideal,-206.2557911152416971536541901
1775664517176,good,-227.1114325992590145387539935
1775664517176,realistic,-260.4804589736867223549136851
1775664517176,bad,-343.9030249097559918953129183
1775664872829,ideal,-219.7584389948196971536541901
1775664872829,good,-240.6208304527820145387539935
1775664872829,realistic,-274.0006567855217223549136851
1775664872829,bad,-357.4502226173709918953129183
1775665453605,ideal,-156.7316103698229584538300566
1775665453605,good,-187.5562396561970951057265854
1775665453605,realistic,-236.8756465143957137487610458
