ts,profile,equity
1775658217167,ideal,-0.0003755893671
1775658217167,good,-0.00037540153485
1775658217167,realistic,-0.00037510100325
1775658217167,bad,-0.00037434967425
1775658222109,ideal,-0.00040434021612
1775658222109,good,-0.00040416675642
1775658222109,realistic,-0.0004038892209
1775658222109,bad,-0.0004031953821
1775658307038,ideal,-0.00053091587619
1775658307038,good,-0.000530805691665
1775658307038,realistic,-0.000530629396425
1775658307038,bad,-0.000530188658325
1775658392167,ideal,-0.00055407049668
1775658392167,good,-0.00083522798838
1775658392167,realistic,-0.0012850799751
1775658392167,bad,-0.0024097099419
1775658634196,ideal,-0.21077637805098
1775658634196,good,-0.21116262567843
1775658634196,realistic,-0.21178062188235
1775658634196,bad,-0.21332561239215
1775658634196,ideal,-0.40546702039338
1775658634196,good,-0.40595059387683
1775658634196,realistic,-0.40672431145035
1775658634196,bad,-0.40865860538415
1775658799042,ideal,-0.40559473028025
1775658799042,good,-0.406078367605875
1775658799042,realistic,-0.406852187326875
1775658799042,bad,-0.408786736629375
1775659112797,ideal,-0.4056373200465
1775659112797,good,-0.40612097866275
1775659112797,realistic,-0.40689483244875
1775659112797,bad,-0.40882946691375
1775659112797,ideal,-0.8557259697765
1775659112797,good,-0.85643462771775
1775659112797,realistic,-0.85756848042375
1775659112797,bad,-0.86040311218875
1775659116378,ideal,-1.2251574112905
1775659116378,good,-1.22605074801675
1775659116378,realistic,-1.22748008677875
1775659116378,bad,-1.23105343368375
1775660247715,ideal,-1.22776604067152
1775660247715,good,-1.22872196360032
1775660247715,realistic,-1.2302514402864
1775660247715,bad,-1.2340751320016
1775661578569,ideal,-1.22872648772252
1775661578569,good,-1.22968289077882
1775661578569,realistic,-1.2312131356689
1775661578569,bad,-1.2350387478941
1775661634842,ideal,-1.22876324567264
1775661634842,good,-1.22971966710424
1775661634842,realistic,-1.2312499413948
1775661634842,bad,-1.2350756271212
1775662446064,ideal,-1.22923124205464
1775662446064,good,-1.23018742944124
1775662446064,realistic,-1.2317173292598
1775662446064,bad,-1.2355420788062
1775662526015,ideal,-1.22943064992824
1775662526015,good,-1.23038693699884
1775662526015,realistic,-1.2319169963118
1775662526015,bad,-1.2357421445942
1775663437580,ideal,-10.42337010395281622020431326
1775663437580,good,-11.42002005306626993757094207
1775663437580,realistic,-13.01465997164779588535754823
1775663437580,bad,-17.00125976810161075482406357
1775665594025,ideal,-10.86482888287726999999999998
1775665594025,good,-11.86154199019544499999999996
1775665594025,realistic,-13.45628296190452499999999999
1775665594025,bad,-17.44313539117722500000000001
1775668326908,ideal,-12.25637512387521243743199129
1775668326908,good,-14.06970906504161676278563652
1775668326908,realistic,-16.97104337090786368335146899
1775668326908,bad,-24.2243791355734809847660501
1775669077230,ideal,-12.84136291796871243743199129
1775669077230,good,-14.80442392561886676278563652
1775669077230,realistic,-17.94532153785911368335146899
1775669077230,bad,-25.7975655684597309847660501
1775669077230,ideal,-16.13290803712071243743199129
1775669077230,good,-18.92491244265086676278563652
1775669077230,realistic,-23.39211949149911368335146899
1775669077230,bad,-34.5601371136197309847660501
1775669828535,ideal,-16.13850087319281243743199129
1775669828535,good,-18.93134271765321676278563652
1775669828535,realistic,-23.39988966878986368335146899
1775669828535,bad,-34.5712570466314809847660501
1775670097740,ideal,-16.67584007130561243743199129
1775670097740,good,-19.46885632104801676278563652
1775670097740,realistic,-23.93768232063586368335146899
1775670097740,bad,-35.1097473196054809847660501
1775670100901,ideal,-17.01567953560761243743199129
1775670100901,good,-19.80886567110501676278563652
1775670100901,realistic,-24.27796348790086368335146899
1775670100901,bad,-35.4507080298904809847660501
1775671377137,ideal,-23.80929931200164807134046841
1775671377137,good,-27.3542865459250642121479771
1775671377137,realistic,-33.02626612020253003743999113
1775671377137,bad,-47.20621505589619460067002606
1775671714078,ideal,-24.45583559340164807134046841
1775671714078,good,-28.0011460308250642121479771
1775671714078,realistic,-33.67364273070253003743999113
1775671714078,bad,-47.85488448039619460067002606
1775672322620,ideal,-31.65203483852186774183472701
1775672322620,good,-36.6304730430144301632213671
1775672322620,realistic,-44.59597417020253003743999113
1775672322620,bad,-64.50972698817277972298655126
1775672434193,ideal,-31.78095714290306774183472701
1775672434193,good,-36.7593308733486301632213671
1775672434193,realistic,-44.72472884206153003743999113
1775672434193,bad,-64.63822376384377972298655126
1775672437541,ideal,-31.78121082893012774183472701
1775672437541,good,-36.7595846861933401632213671
1775672437541,realistic,-44.72498285781448003743999113
1775672437541,bad,-64.63847828686732972298655126
1775672794454,ideal,-31.80047054010212774183472701
1775672794454,good,-36.7788540252953401632213671
1775672794454,realistic,-44.74426760160448003743999113
1775672794454,bad,-64.65780154237732972298655126
1775672797638,ideal,-31.80089832364172774183472701
1775672797638,good,-36.7792820226839401632213671
1775672797638,realistic,-44.74469594115148003743999113
1775672797638,bad,-64.65823073732032972298655126
1775672892123,ideal,-31.7957316332236444680899734
1775672892123,good,-36.77505414725315038913980847
1775672892123,realistic,-44.74197016970035986281954447
1775672892123,bad,-64.65926022581838354701888454
1775672967119,ideal,-31.80239943573532737881765532
1775672967119,good,-36.78228336408342542289824808
1775672967119,realistic,-44.75009764944038229342719638
1775672967119,bad,-64.66963336283277446974956721
1775672974755,ideal,-31.80579329799656883418149628
1775672974755,good,-36.78595790351746293977746788
1775672974755,realistic,-44.75422127235089350873102234
1775672974755,bad,-64.67487969443446993111490855
1775672979137,ideal,-31.80584915342324883418149628
1775672979137,good,-36.78601373101084293977746788
1775672979137,realistic,-44.75427705515099350873102234
1775672979137,bad,-64.67493536550136993111490855
1775673678520,ideal,-31.80597580604870883418149628
1775673678520,good,-36.78614044694995293977746788
1775673678520,realistic,-44.75440387239194350873102234
1775673678520,bad,-64.67506243599691993111490855
1775673693288,ideal,-31.81490378141246883418149628
1775673693288,good,-36.79534540772311293977746788
1775673693288,realistic,-44.76405200982014350873102234
1775673693288,bad,-64.68581851506271993111490855
1775673873873,ideal,-31.81873908832046883418149628
1775673873873,good,-36.79918263190111293977746788
1775673873873,realistic,-44.76789230163014350873102234
1775673873873,bad,-64.68966647595271993111490855
1775673878168,ideal,-31.81940338943366883418149628
1775673878168,good,-36.79984660079731293977746788
1775673878168,realistic,-44.76855573897914350873102234
1775673878168,bad,-64.69032858443371993111490855
1775674234557,ideal,-31.80387699157566883418149628
1775674234557,good,-36.78535243329431293977746788
1775674234557,realistic,-44.75571314004414350873102234
1775674234557,bad,-64.68161490691871993111490855
1775674239664,ideal,-31.80437236288011883418149628
1775674239664,good,-36.78584805223488793977746788
1775674239664,realistic,-44.75620915520251850873102234
1775674239664,bad,-64.68211191262159493111490855
1775674421575,ideal,-31.80437973895503883418149628
1775674421575,good,-36.78585543199710793977746788
1775674421575,realistic,-44.75621654086441850873102234
1775674421575,bad,-64.68211931303269493111490855
1775674595584,ideal,-31.80731333211903883418149628
1775674595584,good,-36.78878755807110793977746788
1775674595584,realistic,-44.75914631959441850873102234
1775674595584,bad,-64.68504322340269493111490855
1775674599611,ideal,-31.80801468781983883418149628
1775674599611,good,-36.78948856302390793977746788
1775674599611,realistic,-44.75984676335041850873102234
1775674599611,bad,-64.68574226416669493111490855
1775674803330,ideal,-32.03507016821886771942505951
1775674803330,good,-37.05924425464089274827900129
1775674803330,realistic,-45.09792279291613279444530805
1775674803330,bad,-65.19461913860423290986107501
