ts,profile,equity
1775669791303,ideal,-1.76937635394
1775669791303,good,-1.76849148879
1775669791303,realistic,-1.76707570455
1775669791303,bad,-1.76353624395
1775669791303,ideal,-3.24316543716
1775669791303,good,-3.24154353006
1775669791303,realistic,-3.2389484787
1775669791303,bad,-3.2324608503
1775674687579,ideal,-3.28002206436
1775674687579,good,-3.27838172526
1775674687579,realistic,-3.2757571827
1775674687579,bad,-3.2691958263
1775679394428,ideal,-3.49394509029618
1775679394428,good,-3.49219776828663
1775679394428,realistic,-3.48940205307135
1775679394428,bad,-3.48241276503315
1775679398515,ideal,-3.50415822816
1775679398515,good,-3.50240579856
1775679398515,realistic,-3.4996019112
1775679398515,bad,-3.4925921928
