ts,profile,equity
1775658106928,ideal,-0.895350444282
1775658106928,good,-0.895798029987
1775658106928,realistic,-0.896514167115
1775658106928,bad,-0.898304509935
1775658107058,ideal,-0.9455029287732
1775658107058,good,-0.9459755857062
1775658107058,realistic,-0.946731836799
1775658107058,bad,-0.948622464531
1775658107459,ideal,-0.9522542247624
1775658107459,good,-0.9527302566684
1775658107459,realistic,-0.953491907718
1775658107459,bad,-0.955396035342
1775658107459,ideal,-0.9590055207516
1775658107459,good,-0.9594849276306
1775658107459,realistic,-0.960251978637
1775658107459,bad,-0.962169606153
1775658142111,ideal,-1.1644608215952
1775658142111,good,-1.1650429355832
1775658142111,realistic,-1.165974317964
1775658142111,bad,-1.168302773916
1775658259354,ideal,-2.7398713171905
1775658259354,good,-2.74124097891675
1775658259354,realistic,-2.74343243767875
1775658259354,bad,-2.74891108458375
1775658260021,ideal,-4.3152818127858
1775658260021,good,-4.3174390222503
1775658260021,realistic,-4.3208905573935
1775658260021,bad,-4.3295193952515
1775658290030,ideal,-5.8906782610722
1775658290030,good,-5.8936230112527
1775658290030,realistic,-5.8983346115415
1775658290030,bad,-5.9101136122635
1775658291650,ideal,-7.4660747093586
1775658291650,good,-7.4698070002551
1775658291650,realistic,-7.4757786656895
1775658291650,bad,-7.4907078292755
1775658312267,ideal,-8.568409476303
1775658312267,good,-8.5715904895605
1775658312267,realistic,-8.5766801107725
1775658312267,bad,-8.5894041638025
1775658461395,ideal,-7.955169163985809499225606646
1775658461395,good,-8.772374664919615642746515208
1775658461395,realistic,-10.07990346641370547237996904
1775658461395,bad,-13.34872547014893004646360352
1775658504435,ideal,-8.047632176113009499225606646
1775658504435,good,-11.07209361736481564274651521
1775658504435,realistic,-15.91123192336770547237996904
1775658504435,bad,-28.00907768837493004646360352
1775658671026,ideal,-10.84952522686164264326277769
1775658671026,good,-17.37299958303183942522801572
1775658671026,realistic,-27.81055855290415427637239728
1775658671026,bad,-53.90445597758494140423335059
1775658685011,ideal,-10.37590532596684264326277769
1775658685011,good,-17.14156611490003942522801572
1775658685011,realistic,-27.96662337719315427637239728
1775658685011,bad,-55.02926653292594140423335059
1775658685527,ideal,-11.42157401988724264326277769
1775658685527,good,-18.18775753862143942522801572
1775658685527,realistic,-29.01365116859615427637239728
1775658685527,bad,-56.07838524353294140423335059
1775658746716,ideal,-23.96277736004274186886938601
1775658746716,good,-34.23309619011474883840991203
1775658746716,realistic,-50.66560631822995998967475496
1775658746716,bad,-91.74688163851798786783686121
1775658787255,ideal,-39.9605913537451218378936505
1775658787255,good,-53.73688578184437454827052113
1775658787255,realistic,-75.77895686680317888487351602
1775658787255,bad,-130.8841345792001897263810017
1775658802040,ideal,-44.11126133991676390431431458
1775658802040,good,-58.98173200258718820140705235
1775658802040,realistic,-82.77448506285986707675543506
1775658802040,bad,-142.2563677135415642651263893
1775658825415,ideal,-59.76150964686796772465504784
1775658825415,good,-78.13741593762325065193191889
1775658825415,realistic,-107.5388660028317033355749154
1775658825415,bad,-181.0424911658528350446824038
1775658859724,ideal,-69.52374498505224206642066485
1775658859724,good,-89.63426943932491365313653079
1775658859724,realistic,-121.8111085661611881918819194
1775658859724,bad,-202.2532063832518745387453878
1775658901692,ideal,-71.09828987408004206642066485
1775658901692,good,-91.20802689842221365313653079
1775658901692,realistic,-123.3836061373696881918819194
1775658901692,bad,-203.8225542347383745387453878
1775659010330,ideal,-80.18154155683205055350553542
1775659010330,good,-102.7443336780127304428044271
1775659010330,realistic,-138.8448010719018182656826579
1775659010330,bad,-229.0959695566245378228782295
1775659115166,ideal,-82.22059692703970000000000028
1775659115166,good,-105.549745705888949999999999
1775659115166,realistic,-142.8763837520477500000000012
1775659115166,bad,-236.1929788674447500000000008
1775659314075,ideal,-83.03631991180730000000000028
1775659314075,good,-106.365060747575549999999999
1775659314075,realistic,-143.6910460848047500000000012
1775659314075,bad,-237.0060094278777500000000008
1775659422042,ideal,-83.01441884452730000000000028
1775659422042,good,-106.372998012095549999999999
1775659422042,realistic,-143.7467246802047500000000012
1775659422042,bad,-237.1810413504777500000000008
1775659422042,ideal,-82.91059156260730000000000028
1775659422042,good,-106.410626525375549999999999
1775659422042,realistic,-144.0106824658047500000000012
1775659422042,bad,-238.0108223168777500000000008
1775659467232,ideal,-83.04397652427850000000000028
1775659467232,good,-106.543944781224749999999999
1775659467232,realistic,-144.1438939923387500000000012
1775659467232,bad,-238.1437670201237500000000008
1775659467409,ideal,-83.10059316268570000000000028
1775659467409,good,-106.600533105649949999999999
1775659467409,realistic,-144.2004370143927500000000012
1775659467409,bad,-238.2001967862497500000000008
1775659467996,ideal,-83.15177204486170000000000028
1775659467996,good,-106.651686393265949999999999
1775659467996,realistic,-144.2515493507127500000000012
1775659467996,bad,-238.2512067443297500000000008
1775659468604,ideal,-83.19911251087450000000000028
1775659468604,good,-106.699003184310749999999999
1775659468604,realistic,-144.2988282618087500000000012
1775659468604,bad,-238.2983909555537500000000008
1775659517633,ideal,-84.4460546712314328671328674
1775659517633,good,-108.945454762920154895104894
1775659517633,realistic,-148.1444949096221101398601411
1775659517633,bad,-246.1420952763769982517482525
1775659720645,ideal,-84.9164680102433328671328674
1775659720645,good,-109.415632848211804895104894
1775659720645,realistic,-148.6142965889613601398601411
1775659720645,bad,-246.6109559408352482517482525
1775659742889,ideal,-86.4910376533193328671328674
1775659742889,good,-110.989415048977804895104894
1775659742889,realistic,-150.1868188820313601398601411
1775659742889,bad,-248.1803284646652482517482525
1775659748169,ideal,-86.4948769872989328671328674
1775659748169,good,-110.993252462906404895104894
1775659748169,realistic,-150.1906532238783601398601411
1775659748169,bad,-248.1841551263082482517482525
1775659748531,ideal,-86.5044753222479328671328674
1775659748531,good,-111.002845997727904895104894
1775659748531,realistic,-150.2002390784958601398601411
1775659748531,bad,-248.1937217804157482517482525
1775659748659,ideal,-88.0658044739519328671328674
1775659748659,good,-112.563394328691904895104894
1775659748659,realistic,-151.7595380962758601398601411
1775659748659,bad,-249.7498975152357482517482525
1775659768678,ideal,-89.6403498488825328671328674
1775659768678,good,-114.137152273449004895104894
1775659768678,realistic,-153.3320361527553601398601411
1775659768678,bad,-251.3192458510212482517482525
1775659769591,ideal,-90.5997284712752328671328674
1775659769591,good,-115.096051110573454895104894
1775659769591,realistic,-154.2901673334506101398601411
1775659769591,bad,-252.2754578906434982517482525
1775659825064,ideal,-88.0286942490256328671328674
1775659825064,good,-113.351109452699854895104894
1775659825064,realistic,-153.8669737785786101398601411
1775659825064,bad,-255.1566345932754982517482525
1775659859999,ideal,-88.0932668969728328671328674
1775659859999,good,-113.415714380515054895104894
1775659859999,realistic,-153.9316303541826101398601411
1775659859999,bad,-255.2214202883514982517482525
1775659860052,ideal,-88.1104004369956328671328674
1775659860052,good,-113.432856485594854895104894
1775659860052,realistic,-153.9487861633536101398601411
1775659860052,bad,-255.2386103577504982517482525
1775659874311,ideal,-85.41451468117907381472722964
1775659874311,good,-114.2405688708049094449459081
