ts,profile,equity
1775658171720,ideal,-2.2629296634336
1775658171720,good,-2.2640609020176
1775658171720,realistic,-2.265870883752
1775658171720,bad,-2.270395838088
1775658641693,ideal,-6.760459686573
1775658641693,good,-6.7638392405055
1775658641693,realistic,-6.7692465267975
1775658641693,bad,-6.7827647425275
1775658641693,ideal,-11.2577869081602
1775658641693,good,-11.2634146760607
1775658641693,realistic,-11.2724191047015
1775658641693,bad,-11.2949301763035
1775658681953,ideal,-11.5124844674862
1775658681953,good,-11.5182395587017
1775658681953,realistic,-11.5274477046465
1775658681953,bad,-11.5504680695085
1775658683219,ideal,-16.0067617937163
1775658683219,good,-16.01476357425705
1775658683219,realistic,-16.02756642312225
1775658683219,bad,-16.05957354528525
1775658683219,ideal,-20.5008360438393
1775658683219,good,-20.51108441218755
1775658683219,realistic,-20.52748180154475
1775658683219,bad,-20.56847527493775
1775658685011,ideal,-22.8251598826527
1775658685011,good,-22.83657018053445
1775658685011,realistic,-22.85482665714525
1775658685011,bad,-22.90046784867225
1775658685011,ideal,-25.1495887139604
1775658685011,good,-25.1621609938614
1775658685011,realistic,-25.182276641703
1775658685011,bad,-25.232565761307
1775658761435,ideal,-27.4222076268564
1775658761435,good,-27.4359159889974
1775658761435,realistic,-27.457849368423
1775658761435,bad,-27.512682816987
1775658770536,ideal,-29.6876151032535
1775658770536,good,-29.70245594263725
1775658770536,realistic,-29.72620128565125
1775658770536,bad,-29.78556464318625
1775658777924,ideal,-48.22300017814008302899241687
1775658777924,good,-53.26752367682741560399191442
1775658777924,realistic,-61.33876127472714772399110731
1775658777924,bad,-81.51685526947647802398909297
1775658917393,ideal,-50.00707403156208302899241687
1775658917393,good,-55.05248938880441560399191442
1775658917393,realistic,-63.12515396039214772399110731
1775658917393,bad,-83.30681538936147802398909297
1775658973149,ideal,-54.49138596461208302899241687
1775658973149,good,-59.53904302947941560399191442
1775658973149,realistic,-67.61529433326714772399110731
1775658973149,bad,-87.80592259273647802398909297
1775658973149,ideal,-58.97727796561248302899241687
1775658973149,good,-64.02717752798081560399191442
1775658973149,realistic,-72.10701682777014772399110731
1775658973149,bad,-92.30661507724347802398909297
1775659007770,ideal,-70.06598703160422043861113442
1775659007770,good,-79.96417415890856168058205004
1775659007770,realistic,-95.80127356259550766773550527
1775659007770,bad,-135.3940220718128726356191523
1775659407273,ideal,-74.56554483621882043861113442
1775659407273,good,-84.46598129255966168058205004
1775659407273,realistic,-100.3066796227050076677355053
1775659407273,bad,-139.9084254480683726356191523
1775659407273,ideal,-79.06469520136182043861113442
1775659407273,good,-88.96738078306016168058205004
1775659407273,realistic,-104.8116777137775076677355053
1775659407273,bad,-144.4224200405708726356191523
1775659407273,ideal,-83.56326856012662043861113442
1775659407273,good,-93.46820297873696168058205004
1775659407273,realistic,-109.3160980485135076677355053
1775659407273,bad,-148.9358357229548726356191523
1775659654502,ideal,-88.04930892879462043861113442
1775659654502,good,-97.95648591907496168058205004
1775659654502,realistic,-113.8079691035235076677355053
1775659654502,bad,-153.4366770646448726356191523
1775659925043,ideal,-92.48995136569182043861113442
1775659925043,good,-102.39934823321516168058205
1775659925043,realistic,-118.2543832212525076677355053
1775659925043,bad,-157.8919706913458726356191523
