ts,profile,equity
1775658275427,ideal,-0.0435725777412
1775658275427,good,-0.0435507870942
1775658275427,realistic,-0.043515922059
1775658275427,bad,-0.043428759471
1775658275427,ideal,-0.0871451554824
1775658275427,good,-0.0871015741884
1775658275427,realistic,-0.087031844118
1775658275427,bad,-0.086857518942
1775658279421,ideal,-0.1927764290016
1775658279421,good,-0.1926800215056
1775658279421,realistic,-0.192525769512
1775658279421,bad,-0.192140139528
1775658582364,ideal,-0.3965969562417
1775658582364,good,-0.39639861809595
1775658582364,realistic,-0.39608127706275
1775658582364,bad,-0.39528792447975
1775658582364,ideal,-0.4107996791289
1775658582364,good,-0.41059423820115
1775658582364,realistic,-0.41026553271675
1775658582364,bad,-0.40944376900575
1775658583768,ideal,-0.5487143706729
1775658583768,good,-0.54843995860515
1775658583768,realistic,-0.54800089929675
1775658583768,bad,-0.54690325102575
1775658655219,ideal,-0.6103723991004
1775658655219,good,-0.6100671518514
1775658655219,realistic,-0.609578756253
1775658655219,bad,-0.608357767257
1775658663011,ideal,-0.6752211217614
1775658663011,good,-0.6748834436649
1775658663011,realistic,-0.6743431587105
1775658663011,bad,-0.6729924463245
1775658663011,ideal,-0.7361423865711
1775658663011,good,-0.73577424174885
1775658663011,realistic,-0.73518521003325
1775658663011,bad,-0.73371263074425
1775658835939,ideal,-0.8346537623547
1775658835939,good,-0.83423635199145
1775658835939,realistic,-0.83356849541025
1775658835939,bad,-0.83189885395725
1775658844327,ideal,-0.9433997987967
1775658844327,good,-0.94292800453845
1775658844327,realistic,-0.94217313372525
1775658844327,bad,-0.94028595669225
1775658844327,ideal,-1.0777026038625
1775658844327,good,-1.07716364476875
1775658844327,realistic,-1.07630131021875
1775658844327,bad,-1.07414547384375
1775658956285,ideal,-1.1619543701385
1775658956285,good,-1.16137327673475
1775658956285,realistic,-1.16044352728875
1775658956285,bad,-1.15811915367375
1775658963797,ideal,-1.2181425502545
1775658963797,good,-1.21753335714075
1775658963797,realistic,-1.21655864815875
1775658963797,bad,-1.21412187570375
1775659649988,ideal,-1.2239748235665
1775659649988,good,-1.22336271373275
1775659649988,realistic,-1.22238333799875
1775659649988,bad,-1.21993489866375
1775659649988,ideal,-1.28475804699
1775659649988,good,-1.284115539465
1775659649988,realistic,-1.283087527425
1775659649988,bad,-1.280517497325
1775659649988,ideal,-1.3053522453264
1775659649988,good,-1.3046994386424
1775659649988,realistic,-1.303654947948
1775659649988,bad,-1.301043721212
1775659653016,ideal,-1.3634783677764
1775659653016,good,-1.3627964922174
1775659653016,realistic,-1.361705491323
1775659653016,bad,-1.358977989087
1775660525625,ideal,-1.5162578607654
1775660525625,good,-1.5154995801789
1775660525625,realistic,-1.5142863312405
1775660525625,bad,-1.5112532088945
1775660525625,ideal,-1.5493093606431
1775660525625,good,-1.54853455100085
1775660525625,realistic,-1.54729485557325
1775660525625,bad,-1.54419561700425
1775665385891,ideal,-1.7304397094691
1775665385891,good,-1.72975544689185
1775665385891,realistic,-1.72866062676825
1775665385891,bad,-1.72592357645925
1775665397158,ideal,-2.0546319749571
1775665397158,good,-2.05410977609985
1775665397158,realistic,-2.05327425792825
1775665397158,bad,-2.05118546249925
1775665397158,ideal,-2.1735932824611
1775665397158,good,-2.17313055236385
1775665397158,realistic,-2.17239018420825
1775665397158,bad,-2.17053926381925
1775665409207,ideal,-2.3391903952611
1775665409207,good,-2.33881044716385
1775665409207,realistic,-2.33820253020825
1775665409207,bad,-2.33668273781925
1775665411570,ideal,-2.7663251301261
1775665411570,good,-2.76615870669135
1775665411570,realistic,-2.76589242919575
1775665411570,bad,-2.76522673545675
1775665444083,ideal,-3.3648629137461
1775665444083,good,-3.36499569936135
1775665444083,realistic,-3.36520815634575
1775665444083,bad,-3.36573929880675
1775665477397,ideal,-3.9671958562461
1775665477397,good,-3.96762974811135
1775665477397,realistic,-3.96832397509575
1775665477397,bad,-3.97005954255675
1775665497076,ideal,-4.0495093956621
1775665497076,good,-4.04998443606735
1775665497076,realistic,-4.05074450071575
1775665497076,bad,-4.05264466233675
1775665497076,ideal,-4.5611266986621
1775665497076,good,-4.56185749656735
1775665497076,realistic,-4.56302677321575
1775665497076,bad,-4.56594996483675
1775665544638,ideal,-5.0552856856971
1775665544638,good,-5.05626351368985
1775665544638,realistic,-5.05782803847825
1775665544638,bad,-5.06173935044925
1775665544638,ideal,-5.1376888380321
1775665544638,good,-5.13870785936235
1775665544638,realistic,-5.14033829349075
1775665544638,bad,-5.14441437881175
1775671496059,ideal,-10.5593971124655
1775671496059,good,-10.55770473737925
1775671496059,realistic,-10.55499693724125
1775671496059,bad,-10.54822743689625
1775671501280,ideal,-14.948505072774
1775671501280,good,-14.944617704709
1775671501280,realistic,-14.938397915805
1775671501280,bad,-14.922848443545
1775687220443,ideal,-15.1966819794636
1775687220443,good,-15.1926704981226
1775687220443,realistic,-15.186252127977
1775687220443,bad,-15.170206202613
1775687220443,ideal,-15.2270225511354
1775687220443,good,-15.2229958964739
1775687220443,realistic,-15.2165532490155
1775687220443,bad,-15.2004466303695
1775687222254,ideal,-15.23197659202902
1775687222254,good,-15.22794745985157
1775687222254,realistic,-15.22150084836765
1775687222254,bad,-15.20538431965785
1775687222254,ideal,-15.25260344663286
1775687222254,good,-15.24856399896501
1775687222254,realistic,-15.24210088269645
1775687222254,bad,-15.22594309202505
1775687222254,ideal,-15.27322678833942
1775687222254,good,-15.26917702693797
1775687222254,realistic,-15.26269740869565
1775687222254,bad,-15.24649836308985
1775687222254,ideal,-15.29384837359734
1775687222254,good,-15.28978829934069
1775687222254,realistic,-15.28329218053005
1775687222254,bad,-15.26705188350345
1775687222254,ideal,-15.31447259352822
1775687222254,good,-15.31040220509877
1775687222254,realistic,-15.30388958361165
1775687222254,bad,-15.28760802989385
1775687222254,ideal,-15.33509154411318
1775687222254,good,-15.33101084414613
1775687222254,realistic,-15.32448172419885
1775687222254,bad,-15.30815892433065
1775687222254,ideal,-15.35572015516566
1775687222254,good,-15.35162913882981
1775687222254,realistic,-15.34508351269245
1775687222254,bad,-15.32871944734905
1775687222254,ideal,-15.37634086219926
1775687222254,good,-15.37223953344741
1775687222254,realistic,-15.36567740744445
1775687222254,bad,-15.34927209243705
1775687222254,ideal,-15.39169879109904
1775687222254,good,-15.38758978184664
1775687222254,realistic,-15.3810153670428
1775687222254,bad,-15.3645793300332
1775687222254,ideal,-15.41232476747856
1775687222254,good,-15.40820544317496
1775687222254,realistic,-15.4016145242892
1775687222254,bad,-15.3851372270748
1775688191076,ideal,-14.89133505760700569589702328
1775688191076,good,-15.22548928989966072405470626
1775688191076,realistic,-15.7601360615679087691069993
1775688191076,bad,-17.09675299073852888173773122
1775688191076,ideal,-14.77687284209585975864843115
1775688191076,good,-15.1817310966967320032180208
1775688191076,realistic,-15.82950430405812759452936457
1775688191076,bad,-17.44893732246161657280772316
1775688191076,ideal,-14.21308580478715999999999988
