ts,profile,equity
1775658745732,ideal,-164.1976566324534
1775658745732,good,-164.1155413810869
1775658745732,realistic,-163.9841569789005
1775658745732,bad,-163.6556959734345
1775658750839,ideal,-128.6897430997728
1775658750839,good,-348.0548650242048
1775658750839,realistic,-699.039060103296
1775658750839,bad,-1576.499547801024
1775658852725,ideal,-112.1045049933028
1775658852725,good,-344.9444875265598
1775658852725,realistic,-717.488459579771
1775658852725,bad,-1648.848389712799
1775658870450,ideal,141.7092594774362
1775658870450,good,-222.3172086164733
1775658870450,realistic,-804.7595575667285
1775658870450,bad,-2260.8654299423665
1775658870450,ideal,141.7477874101102
1775658870450,good,-222.2985942771143
1775658870450,realistic,-804.7728049766735
1775658870450,bad,-2260.9583317255715
1775658870450,ideal,141.7863153427842
1775658870450,good,-222.2799799377553
1775658870450,realistic,-804.7860523866185
1775658870450,bad,-2261.0512335087765
1775658870450,ideal,127.9459696395727
1775658870450,good,-236.70956850524555
1775658870450,realistic,-820.15842953695475
1775658870450,bad,-2278.78058211622775
1775658870450,ideal,127.9370212202467
1775658870450,good,-236.71852139788655
1775658870450,realistic,-820.16738958689975
1775658870450,bad,-2278.78956005943275
1775658870450,ideal,103.6174545970102
1775658870450,good,-261.0502453729643
1775658870450,realistic,-844.5185653249235
1775658870450,bad,-2303.1893652048215
1775658901692,ideal,-33.472274302675
1775658901692,good,-485.3923675868625
1775658901692,realistic,-1208.4645168415625
1775658901692,bad,-3016.1448899783125
1775658935738,ideal,-99.2942980539494
1775658935738,good,-682.8104097863229
1775658935738,realistic,-1616.4361885581205
1775658935738,bad,-3950.5006354876145
1775658935738,ideal,-197.7558719510534
1775658935738,good,-781.3212046261869
1775658935738,realistic,-1715.0257369064005
1775658935738,bad,-4049.2870676069345
1775659035094,ideal,-197.7613064502359
1775659035094,good,-781.32664184207565
1775659035094,realistic,-1715.03117846901925
1775659035094,bad,-4049.29252003637825
1775659035094,ideal,-197.7661015965734
1775659035094,good,-781.3314393855069
1775659035094,realistic,-1715.0359798478005
1775659035094,bad,-4049.2973310035345
1775659035094,ideal,-197.7820854176984
1775659035094,good,-781.3474311969444
1775659035094,realistic,-1715.051984443738
1775659035094,bad,-4049.313367560722
