ts,profile,equity
1775661806538,ideal,-0.0450303972786
1775661806538,good,-0.0450529079751
1775661806538,realistic,-0.0450889250895
1775661806538,bad,-0.0451789678755
1775675819879,ideal,-0.0674712950607
1775675819879,good,-0.06750502396245
1775675819879,realistic,-0.06755899020525
1775675819879,bad,-0.06769390581225
1775694970873,ideal,-0.1124042298507
1775694970873,good,-0.11246042072745
1775694970873,realistic,-0.11255032613025
1775694970873,bad,-0.11277508963725
1775695636562,ideal,-0.1347600876282
1775695636562,good,-0.1348274541987
1775695636562,realistic,-0.1349352407115
1775695636562,bad,-0.1352047069935
1775715175456,ideal,-0.3577779902898
1775715175456,good,-0.3579568435143
1775715175456,realistic,-0.3582430086735
1775715175456,bad,-0.3589584215715
