ts,profile,equity
1775698549022,ideal,-0.0442648527003
1775698549022,good,-0.04428698070105
1775698549022,realistic,-0.04432238550225
1775698549022,bad,-0.04441089750525
1775698549851,ideal,-0.0665565051393
1775698549851,good,-0.06658977673755
1775698549851,realistic,-0.06664301129475
1775698549851,bad,-0.06677609768775
1775698550045,ideal,-0.0722886443379
1775698550045,good,-0.07232478143265
1775698550045,realistic,-0.07238260078425
1775698550045,bad,-0.07252714916325
1775698550451,ideal,-0.3289610995641
1775698550451,good,-0.32912554722435
1775698550451,realistic,-0.32938866348075
1775698550451,bad,-0.33004645412175
1775698550530,ideal,-0.5814936764802
1775698550530,good,-0.5817843651807
1775698550530,realistic,-0.5822494671015
1775698550530,bad,-0.5834122219035
1775698551055,ideal,-0.5872258156788
1775698551055,good,-0.5875193698758
1775698551055,realistic,-0.587989056591
1775698551055,bad,-0.589163273379
1775698551133,ideal,-0.6095174681178
1775698551133,good,-0.6098221659123
1775698551133,realistic,-0.6103096823835
1775698551133,bad,-0.6115284735615
1775698551133,ideal,-0.6318091205568
1775698551133,good,-0.6321249619488
1775698551133,realistic,-0.632630308176
1775698551133,bad,-0.633893673744
1775698551533,ideal,-0.6369043554
1775698551533,good,-0.6372227439
1775698551533,realistic,-0.6377321655
1775698551533,bad,-0.6390057195
1775698551999,ideal,-0.659196007839
1775698551999,good,-0.6595255399365
1775698551999,realistic,-0.6600527912925
1775698551999,bad,-0.6613709196825
1775698552060,ideal,-0.6646096948599
1775698552060,good,-0.66494193325965
1775698552060,realistic,-0.66547351469925
1775698552060,bad,-0.66680246829825
1775698552200,ideal,-0.6869013472989
1775698552200,good,-0.68724472929615
1775698552200,realistic,-0.68779414049175
1775698552200,bad,-0.68916766848075
1775698552333,ideal,-0.7091929997379
1775698552333,good,-0.70954752533265
1775698552333,realistic,-0.71011476628425
1775698552333,bad,-0.71153286866325
1775698552869,ideal,-0.7314846521769
1775698552869,good,-0.73185032136915
1775698552869,realistic,-0.73243539207675
1775698552869,bad,-0.73389806884575
1775698553136,ideal,-0.7537763046159
1775698553136,good,-0.75415311740565
1775698553136,realistic,-0.75475601786925
1775698553136,bad,-0.75626326902825
1775698554006,ideal,-3.1504473939861
1775698554006,good,-3.15202230270135
1775698554006,realistic,-3.15454215664575
1775698554006,bad,-3.16084179150675
