ts,profile,equity
1775660196216,ideal,-4.7732719635
1775660196216,good,-4.77565812225
1775660196216,realistic,-4.77947597625
1775660196216,bad,-4.78902061125
1775660628699,ideal,-6.0668832165165
1775660628699,good,-6.06991605155775
1775660628699,realistic,-6.07476858762375
1775660628699,bad,-6.08689992778875
1775660628699,ideal,-6.8875675015527
1775660628699,good,-6.89101059668445
1775660628699,realistic,-6.89651954889525
1775660628699,bad,-6.91029192942225
1775660628699,ideal,-7.7082517865889
1775660628699,good,-7.71210514181115
1775660628699,realistic,-7.71827051016675
1775660628699,bad,-7.73368393105575
1775660628699,ideal,-8.5087741415454
1775660628699,good,-8.5130276779089
1775660628699,realistic,-8.5198333360905
1775660628699,bad,-8.5368474815445
1775663723919,ideal,-6.144124307796
1775663723919,good,-6.978841922286
1775663723919,realistic,-8.31439010547
1775663723919,bad,-11.65326056343
1775663723919,ideal,-3.5806450585962
1775663723919,good,-5.3156555625867
1775663723919,realistic,-8.0916723689715
1775663723919,bad,-15.0317143849335
1775663723919,ideal,15.1613943644546
1775663723919,good,6.8441870930911
1775663723919,realistic,-6.4633445410905
1775663723919,bad,-39.7321736265445
1775663954284,ideal,13.2878717983673
1775663954284,good,4.96972795303555
1775663954284,realistic,-8.33930219949525
1775663954284,bad,-41.61187758082225
1775663954284,ideal,13.2867470099546
1775663954284,good,4.9686026023411
1775663954284,realistic,-8.3404284498405
1775663954284,bad,-41.6130060802945
1775667810571,ideal,10.1548523302694
1775667810571,good,1.8351422884429
1775667810571,realistic,-11.4763937784795
1775667810571,bad,-44.7552339457855
1775667810571,ideal,8.4330060658766
1775667810571,good,0.1124352730681
1775667810571,realistic,-13.2004779954255
1775667810571,bad,-46.4827611666595
1775667810571,ideal,3.8839168199546
1775667810571,good,-4.4389280626589
1775667810571,realistic,-17.7554798748405
1775667810571,bad,-51.0468594052945
1775669136643,ideal,-43.5444754890454
1775669136643,good,-76.904663644158899999999999
1775669136643,realistic,-130.280964692340500000000001
1775669136643,bad,-263.7217173127945
1775669156560,ideal,-48.5949187693312
1775669156560,good,-81.952581197659199999999999
1775669156560,realistic,-135.324841082984000000000001
1775669156560,bad,-268.755490796296
1775669156560,ideal,-52.5514370858755
1775669156560,good,-85.907120859314249999999999
1775669156560,realistic,-139.276214896816250000000001
1775669156560,bad,-272.69894999057125
1775669156560,ideal,-52.9263362415454
1775669156560,good,-86.281832527908899999999999
1775669156560,realistic,-139.650626586090500000000001
1775669156560,bad,-273.0726117315445
1775672833054,ideal,-52.9153240296652
1775672833054,good,-86.285825788828199999999999
1775672833054,realistic,-139.678628603489000000000001
1775672833054,bad,-273.160635640141
1775672833054,ideal,-52.9097008872452
1775672833054,good,-86.291875040358199999999999
1775672833054,realistic,-139.703353685339000000000001
1775672833054,bad,-273.232050297791
1775672833054,ideal,-52.9022565616614
1775672833054,good,-86.296102198314899999999999
1775672833054,realistic,-139.726255216960500000000001
1775672833054,bad,-273.3016377635745
1775672833054,ideal,-52.8903184352653
1775672833054,good,-86.308342457178549999999999
1775672833054,realistic,-139.777180892239750000000001
1775672833054,bad,-273.44927697989275
1775672833054,ideal,-52.8812875105633
1775672833054,good,-86.314317995721549999999999
1775672833054,realistic,-139.807166771974750000000001
1775672833054,bad,-273.53928871260775
1775672833054,ideal,-52.8748238220677
1775672833054,good,-86.319526280986949999999999
1775672833054,realistic,-139.831050215257750000000001
1775672833054,bad,-273.60986005093475
1775672833054,ideal,-49.2970851289447
1775672833054,good,-92.633067392556449999999999
1775672833054,realistic,-161.970639014335250000000001
1775672833054,bad,-335.31456806878225
1775672833054,ideal,-49.2851470025486
1775672833054,good,-92.645307651420099999999999
1775672833054,realistic,-162.021564689614500000000001
1775672833054,bad,-335.4622072851005
1775672833054,ideal,-49.2037182368786
1775672833054,good,-92.789002846575099999999999
1775672833054,realistic,-162.525458222089500000000001
1775672833054,bad,-336.8665966608755
1775672833054,ideal,-45.626870767981
1775672833054,good,-99.803947925433499999999999
1775672833054,realistic,-186.487271377357500000000001
1775672833054,bad,-403.1955800071675
1775672833054,ideal,-45.618445805309
1775672833054,good,-99.807193956081499999999999
1775672833054,realistic,-186.509190997317500000000001
1775672833054,bad,-403.2641836004075
1775672833054,ideal,-45.6138032999772
1775672833054,good,-99.814224334920199999999999
1775672833054,realistic,-186.534897990829000000000001
1775672833054,bad,-403.336582130601
1775672961386,ideal,-45.7617488024577
1775672961386,good,-99.962095849851949999999999
1775672961386,realistic,-186.682651125682750000000001
1775672961386,bad,-403.48403931525975
1775672961386,ideal,-54.9774426974772
1775672961386,good,-109.173180976170199999999999
1775672961386,realistic,-195.886362222079000000000001
1775672961386,bad,-412.669315336851
1775674050105,ideal,-54.8960027961077
1775674050105,good,-109.601914690126949999999999
1775674050105,realistic,-197.131373720557750000000001
1775674050105,bad,-415.95502129663475
1775674050105,ideal,-54.8928820118733
1775674050105,good,-109.610444875306549999999999
1775674050105,realistic,-197.158545456799750000000001
1775674050105,bad,-416.02879691053275
1775674050105,ideal,-53.9254540594829
1775674050105,good,-112.611051921940149999999999
1775674050105,realistic,-206.508008501871750000000001
1775674050105,bad,-441.25039995170075
1775674050105,ideal,-53.8545096755819
1775674050105,good,-112.984532840786649999999999
1775674050105,realistic,-207.592569905114250000000001
1775674050105,bad,-444.11266256593325
1775674050105,ideal,-53.2918812101777
1775674050105,good,-116.571588264371949999999999
1775674050105,realistic,-217.819119551082750000000001
1775674050105,bad,-470.93794776785975
1775674050105,ideal,-53.2814862097533
1775674050105,good,-116.617786067886549999999999
1775674050105,realistic,-217.955865840899750000000001
1775674050105,bad,-471.30106527343275
1775674050105,ideal,-52.8554440600062
1775674050105,good,-118.511216632521699999999999
1775674050105,realistic,-223.560452748546500000000001
1775674050105,bad,-486.1835430386085
1775674050105,ideal,-52.8513426386836
1775674050105,good,-118.518765690392599999999999
1775674050105,realistic,-223.586642573127000000000001
1775674050105,bad,-486.256334779963
1775674050105,ideal,-52.8496227645752
1775674050105,good,-118.528697486013199999999999
1775674050105,realistic,-223.615217040314000000000001
1775674050105,bad,-486.331515926066
1775674050105,ideal,-51.2310600514348
1775674050105,good,-125.721967245021799999999999
1775674050105,realistic,-244.907418754761000000000001
1775674050105,bad,-542.871047529109
1775674050105,ideal,-51.228779813276
1775674050105,good,-125.731338396465999999999999
1775674050105,realistic,-244.935432129570000000000001
1775674050105,bad,-542.94566646233
1775674050105,ideal,-51.107039718596
1775674050105,good,-126.108931565085999999999999
1775674050105,realistic,-246.111958519470000000000001
1775674050105,bad,-546.11952590543
1775674088152,ideal,-56.7333127802024
1775674088152,good,-131.738017200708399999999999
1775674088152,realistic,-251.745544273518000000000001
1775674088152,bad,-551.764361955542
1775674088152,ideal,-60.461710278596
1775674088152,good,-135.468278525085999999999999
1775674088152,realistic,-255.478787719470000000000001
1775674088152,bad,-555.50506070543
