ts,profile,equity
1775658253073,ideal,-0.193591953864
1775658253073,good,-0.193495138524
1775658253073,realistic,-0.19334023398
1775658253073,bad,-0.19295297262
1775658254933,ideal,-0.3872694986064
1775658254933,good,-0.3870758251224
1775658254933,realistic,-0.386765947548
1775658254933,bad,-0.385991253612
1775658277344,ideal,-0.5810305466448
1775658277344,good,-0.5807399732568
1775658277344,realistic,-0.580275055836
1775658277344,bad,-0.579112762284
1775658292321,ideal,-0.7748771855616
1775658292321,good,-0.7744896694656
1775658292321,realistic,-0.773869643712
1775658292321,bad,-0.772319579328
1775658292321,ideal,-0.9688094153568
1775658292321,good,-0.9683249137488
1775658292321,realistic,-0.967549711176
1775658292321,bad,-0.965611704744
1775658306507,ideal,-1.0189864379448
1775658306507,good,-1.0184768428068
1775658306507,realistic,-1.017661490586
1775658306507,bad,-1.015623110034
1775658306636,ideal,-1.1628272360304
1775658306636,good,-1.1622457061064
1775658306636,realistic,-1.161315258228
1775658306636,bad,-1.158989138532
1775658355048,ideal,-1.3569306475824
1775658355048,good,-1.3562520465384
1775658355048,realistic,-1.355166284868
1775658355048,bad,-1.352451880692
1775658355048,ideal,-1.5511175624304
1775658355048,good,-1.5503418485064
1775658355048,realistic,-1.549100706228
1775658355048,bad,-1.545997850532
1775658355106,ideal,-1.7453900681568
1775658355106,good,-1.7445171985488
1775658355106,realistic,-1.743120607176
1775658355106,bad,-1.739629128744
1775658388939,ideal,-1.9397481647616
1775658388939,good,-1.9387780966656
1775658388939,realistic,-1.937225987712
1775658388939,bad,-1.933345715328
1775658405031,ideal,-2.1341918522448
1775658405031,good,-2.1331245428568
1775658405031,realistic,-2.131416847836
1775658405031,bad,-2.127147610284
1775658633453,ideal,-2.3287211306064
1775658633453,good,-2.3275565371224
1775658633453,realistic,-2.325693187548
1775658633453,bad,-2.321034813612
1775658634196,ideal,-2.523333912264
1775658634196,good,-2.522071992924
1775658634196,realistic,-2.52005292198
1775658634196,bad,-2.51500524462
1775658636039,ideal,-2.7180322848
1775658636039,good,-2.7166729968
1775658636039,realistic,-2.714498136
1775658636039,bad,-2.709060984
1775658637102,ideal,-2.9128162482144
1775658637102,good,-2.9113595487504
1775658637102,realistic,-2.909028829608
1775658637102,bad,-2.903202031752
1775658643136,ideal,-3.1076858025072
1775658643136,good,-3.1061316487752
1775658643136,realistic,-3.103645002804
1775658643136,bad,-3.097428387876
1775658666054,ideal,-3.3026409476784
1775658666054,good,-3.3009892968744
1775658666054,realistic,-3.298346655588
1775658666054,bad,-3.291740052372
1775658674492,ideal,-3.497681683728
1775658674492,good,-3.495932493048
1775658674492,realistic,-3.49313378796
1775658674492,bad,-3.48613702524
1775658674605,ideal,-3.6928059230736
