ts,profile,equity
1775674511181,ideal,-0.2337103757286
1775674511181,good,-0.2338272075501
1775674511181,realistic,-0.2340141384645
1775674511181,bad,-0.2344814657505
1775674511181,ideal,-0.278713686591
1775674511181,good,-0.2788530155685
1775674511181,realistic,-0.2790759419325
1775674511181,bad,-0.2796332578425
1775674511181,ideal,-0.3237134327406
1775674511181,good,-0.3238752570921
1775674511181,realistic,-0.3241341760545
1775674511181,bad,-0.3247814734605
1775683133993,ideal,-0.5410790466705
1775683133993,good,-0.54134953209675
1775683133993,realistic,-0.54178230877875
1775683133993,bad,-0.54286425048375
1775683140507,ideal,-0.9249002435601
1775683140507,good,-0.92536260121035
1775683140507,realistic,-0.92610237345075
1775683140507,bad,-0.92795180405175
1775686963584,ideal,-1.0947272931783
1775686963584,good,-1.09527454737405
1775686963584,realistic,-1.09615015408725
1775686963584,bad,-1.09833917087025
1775688727994,ideal,-1.2329066065149
1775688727994,good,-1.23352293655215
1775688727994,realistic,-1.23450906461175
1775688727994,bad,-1.23697438476075
1775688727994,ideal,-1.4625022594635
1775688727994,good,-1.46323336437225
1775688727994,realistic,-1.46440313222625
1775688727994,bad,-1.46732755186125
1775693329919,ideal,-1.6092286738785
1775693329919,good,-1.61003312732475
1775693329919,realistic,-1.61132025283875
1775693329919,bad,-1.61453806662375
