ts,profile,equity
1775686809811,ideal,-0.160457085
1775686809811,good,-0.1605372975
1775686809811,realistic,-0.1606656375
1775686809811,bad,-0.1609864875
1775694637498,ideal,-0.319788945
1775694637498,good,-0.3199488075
1775694637498,realistic,-0.3202045875
1775694637498,bad,-0.3208440375
1775728507404,ideal,2.88117513275
1775728507404,good,2.168772339625
1775728507404,realistic,1.028927870625
1775728507404,bad,-1.820683301875
1775736198290,ideal,6.60773455325
1775736198290,good,4.825224061375
1775736198290,realistic,1.973207274375
1775736198290,bad,-5.156834693125
1775742967148,ideal,6.28997101325
1775742967148,good,4.507301671375
1775742967148,realistic,1.655030724375
1775742967148,bad,-5.475646643125
