ts,profile,equity
1775658116049,ideal,-4.0003181296452
1775658116049,good,-4.0023178887582
1775658116049,realistic,-4.005517503339
1775658116049,bad,-4.013516539791
1775658126612,ideal,-4.00538505562776
1775658126612,good,-4.00738734769716
1775658126612,realistic,-4.0105910150082
1775658126612,bad,-4.0186001832858
1775658162011,ideal,-4.012477123082625
1775658162011,good,-4.0144829604766875
1775658162011,realistic,-4.0176923003071875
1775658162011,bad,-4.0257156498834375
1775658194294,ideal,-4.444683767462025
1775658194294,good,-4.4464734583045875
1775658194294,realistic,-4.4493369636526875
1775658194294,bad,-4.4564957270229375
1775658217022,ideal,-5.060432475078525
1775658217022,good,-5.0625299787123375
1775658217022,realistic,-5.0658859845264375
1775658217022,bad,-5.0742759990616875
1775658218028,ideal,-5.786790872209425
1775658218028,good,-5.7892514824204875
1775658218028,realistic,-5.7931884587581875
1775658218028,bad,-5.8030308996024375
1775658223049,ideal,-5.793973322777298
1775658223049,good,-5.796437523495543
1775658223049,realistic,-5.800380244644735
1775658223049,bad,-5.810237047517715
1775658253073,ideal,-5.801141124941076
1775658253073,good,-5.803608908843766
1775658253073,realistic,-5.80755736308807
1775658253073,bad,-5.81742849869883
1775658283012,ideal,-5.808310504625295
1775658283012,good,-5.8107818725010325
1775658283012,realistic,-5.8147360611022125
1775658283012,bad,-5.8246215326051625
1775658283012,ideal,-5.81534815214835
1775658283012,good,-5.817823038144225
1775658283012,realistic,-5.821782855737625
1775658283012,bad,-5.831682399721125
1775658294798,ideal,-5.97823572314835
1775658294798,good,-5.980792036644225
1775658294798,realistic,-5.984882138237625
1775658294798,bad,-5.995107392221125
1775658312031,ideal,-5.985303566714406
1775658312031,good,-5.987863413425421
1775658312031,realistic,-5.991959168163045
1775658312031,bad,-6.002198555007105
1775658332019,ideal,-6.107596440398406
1775658332019,good,-6.110217421319421
1775658332019,realistic,-6.114410990793045
1775658332019,bad,-6.124894914477105
1775658343022,ideal,-6.114791060409681
1775658343022,good,-6.1174156379213835
1775658343022,realistic,-6.1216149619401075
1775658343022,bad,-6.1321132719869175
1775658343022,ideal,-6.121853484487056
1775658343022,good,-6.124481592504696
1775658343022,realistic,-6.12868656533292
1775658343022,bad,-6.13919899740348
1775658359237,ideal,-7.871072641722846
1775658359237,good,-7.872825965204961
1775658359237,realistic,-7.875631282776345
1775658359237,bad,-7.882644576704805
1775658523010,ideal,-7.87828145941809
