ts,profile,equity
1775658326441,ideal,-1.10127066469092
1775658326441,good,-1.10182118991822
1775658326441,realistic,-1.1027020302819
1775658326441,bad,-1.1049041311911
1775658637043,ideal,-1.10801307590352
1775658637043,good,-1.10856697166232
1775658637043,realistic,-1.1094532048764
1775658637043,bad,-1.1116687879116
1775658637043,ideal,-6.36291994812372
1775658637043,good,-6.36610077193302
1775658637043,realistic,-6.3711900900279
1775658637043,bad,-6.3839133852651
1775658685011,ideal,-14.64111254158092
1775658685011,good,-14.64843163403322
1775658685011,realistic,-14.6601421819569
1775658685011,bad,-14.6894185517661
1775658748044,ideal,-14.69651233732452
1775658748044,good,-14.70385912413582
1775658748044,realistic,-14.7156139830339
1775658748044,bad,-14.7450011302791
1775658748044,ideal,-14.81691882980772
1775658748044,good,-14.82432580782702
1775658748044,realistic,-14.8361769726579
1775658748044,bad,-14.8658048847351
1775658748044,ideal,-31.18996019729052
1775658748044,good,-31.20555205901682
1775658748044,realistic,-31.2304990377789
1775658748044,bad,-31.2928664846841
1775658748044,ideal,-32.14008270579492
1775658748044,good,-32.15614953378222
1775658748044,realistic,-32.1818564585619
1775658748044,bad,-32.2461237705111
1775658748044,ideal,-32.56630887998412
1775658748044,good,-32.58258877844442
1775658748044,realistic,-32.6086366159809
1775658748044,bad,-32.6737562098221
1775658748044,ideal,-228.71745157604652
1775658748044,good,-228.83178743466282
1775658748044,realistic,-229.0147248084489
1775658748044,bad,-229.4720682429141
1775658748044,ideal,-234.00925287467652
1775658748044,good,-234.12623410486782
1775658748044,realistic,-234.3134040731739
1775658748044,bad,-234.7813289939391
1775658748044,ideal,-249.61053986214732
1775658748044,good,-249.73532017601562
1775658748044,realistic,-249.9349686782049
1775658748044,bad,-250.4340899336781
1775658748044,ideal,-251.76953074598172
1775658748044,good,-251.89539033943602
1775658748044,realistic,-252.0967656889629
1775658748044,bad,-252.6002040627801
1775658748044,ideal,-253.15772793990372
1775658748044,good,-253.28428149316302
1775658748044,realistic,-253.4867671783779
1775658748044,bad,-253.9929813914151
1775658748044,ideal,-255.95333612973972
1775658748044,good,-256.08128720758902
1775658748044,realistic,-256.2860089321479
1775658748044,bad,-256.7978132435451
1775658748187,ideal,-255.96006096043692
1775658748187,good,-256.08801540002922
1775658748187,realistic,-256.2927425033769
1775658748187,bad,-256.8045602617461
1775658750912,ideal,-256.31219517319692
1775658750912,good,-256.44032564468922
1775658750912,realistic,-256.6453343990769
1775658750912,bad,-257.1578562850461
1775658750912,ideal,-257.32538133991092
1775658750912,good,-257.45401830318822
1775658750912,realistic,-257.6598374444319
1775658750912,bad,-258.1743852975411
1775658750912,ideal,-274.82933281218732
1775658750912,good,-274.96672000115562
1775658750912,realistic,-275.1865395035049
1775658750912,bad,-275.7360882593781
1775658750912,ideal,-274.84918037690652
1775658750912,good,-274.98657748767282
1775658750912,realistic,-275.2064128648989
1775658750912,bad,-275.7560013079641
1775658750912,ideal,-347.60523068530812
1775658750912,good,-347.77899854707842
1775658750912,realistic,-348.0570271259109
