ts,profile,equity
1775658659048,ideal,-0.20398776193647
1775658659048,good,-0.203885747652645
1775658659048,realistic,-0.203722524798525
1775658659048,bad,-0.203314467663225
1775658750912,ideal,-0.40462250346117
1775658750912,good,-0.404420151739095
1775658750912,realistic,-0.404096388983775
1775658750912,bad,-0.403286982095475
1775658750912,ideal,-0.40565022837507
1775658750912,good,-0.405447362687745
1775658750912,realistic,-0.405122777588025
1775658750912,bad,-0.404311314838725
1775658901692,ideal,-0.50482594855287
1775658901692,good,-0.504672660810045
1775658901692,realistic,-0.504427400421525
1775658901692,bad,-0.503814249450225
1775658957818,ideal,0.44877095608205
1775658957818,good,0.222701068912175
1775658957818,realistic,-0.139010750559625
1775658957818,bad,-1.043290299239125
1775658961689,ideal,1.36805810364965
1775658961689,good,0.915841490398775
1775658961689,realistic,0.192294909197375
1775658961689,bad,-1.616571543806125
1775659568623,ideal,1.01631243118875
1775659568623,good,0.115781148035625
1775659568623,realistic,-1.325068905009375
1775659568623,bad,-4.927194037621875
1775659642241,ideal,0.8996474950935
1775659642241,good,-0.00082544392275
1775659642241,realistic,-1.44158214634875
1775659642241,bad,-5.04347390241375
1775659642241,ideal,0.80883373522875
1775659642241,good,-0.091593787824375
1775659642241,realistic,-1.532277824709375
1775659642241,bad,-5.133987916921875
1775662366415,ideal,0.66654326832585
1775662366415,good,-0.233955385734525
1775662366415,realistic,-1.674753232231125
1775662366415,bad,-5.276747848472625
1775662366415,ideal,0.52262040600915
1775662366415,good,-0.377950195092975
1775662366415,realistic,-1.818863156856375
1775662366415,bad,-5.421145561264875
1775662366415,ideal,0.41433459417735
1775662366415,good,-0.486290139004275
1775662366415,realistic,-1.927289712094875
1775662366415,bad,-5.529788644821375
1775662430379,ideal,0.15906782574375
1775662430379,good,-0.741429248521875
1775662430379,realistic,-2.182224567346875
1775662430379,bad,-5.784212864409375
1775669799898,ideal,-0.32057083480665
1775669799898,good,-1.221307680448275
1775669799898,realistic,-2.662486633474875
1775669799898,bad,-6.265434016041375
1775670461847,ideal,-5.71056195637145
1775670461847,good,-7.075057045925075
1775670461847,realistic,-9.258249189210875
1775670461847,bad,-14.716229547425375
1775672325775,ideal,-5.91894516967665
1775672325775,good,-7.296789607493275
1775672325775,realistic,-9.501340707999875
1775672325775,bad,-15.012718459266375
1775673868175,ideal,-5.93188193551245
1775673868175,good,-7.309732840418575
1775673868175,realistic,-9.514294288268375
1775673868175,bad,-15.025697907892875
1775673868175,ideal,-6.22461766655157
1775673868175,good,-7.602614910055495
1775673868175,realistic,-9.807410499661775
1775673868175,bad,-15.319399473677475
1775674523308,ideal,-8.859393368528460000000000021
1775674523308,good,-10.91534520309960999999999999
1775674523308,realistic,-14.20486813841344999999999997
1775674523308,bad,-22.42867547669804999999999999
1775674932696,ideal,-8.961336123202500000000000021
1775674932696,good,-11.01733891895874999999999999
