ts,profile,equity
1775658124558,ideal,-0.3449445876225
1775658124558,good,-0.34511702542875
1775658124558,realistic,-0.34539292591875
1775658124558,bad,-0.34608267714375
1775658124644,ideal,-0.50664740922
1775658124644,good,-0.50690068227
1775658124644,realistic,-0.50730591915
1775658124644,bad,-0.50831901135
1775658126054,ideal,-0.5243286322575
1775658126054,good,-0.52459074415125
1775658126054,realistic,-0.52501012318125
1775658126054,bad,-0.52605857075625
1775658173854,ideal,-0.5568177892896
1775658173854,good,-0.5570961425136
1775658173854,realistic,-0.557541507672
1775658173854,bad,-0.558654920568
1775658255749,ideal,-7.3079349487308
1775658255749,good,-7.3115881855578
1775658255749,realistic,-7.317433364481
1775658255749,bad,-7.332046311789
1775658259354,ideal,-13.4930344387743
1775658259354,good,-13.49977960696005
1775658259354,realistic,-13.51057187605725
1775658259354,bad,-13.53755254880025
1775658273250,ideal,-20.14071246298734199881023117
1775658273250,good,-35.14103191570629187983343194
1775658273250,realistic,-59.14154304005661168947055318
1775658273250,bad,-119.1428208509324112135633542
1775658290030,ideal,-22.88609134697094199881023117
1775658290030,good,-37.88778321464889187983343194
1775658290030,realistic,-61.89049020293361168947055318
1775658290030,bad,-121.8972576736454112135633542
1775658335964,ideal,-23.76350724406074199881023117
1775658335964,good,-38.76563773196319187983343194
1775658335964,realistic,-62.76904651260711168947055318
1775658335964,bad,-122.7775684642169112135633542
1775658336052,ideal,-23.78120356761774199881023117
1775658336052,good,-38.78334290191269187983343194
1775658336052,realistic,-62.78676583678461168947055318
1775658336052,bad,-122.7953231739644112135633542
1775658340941,ideal,-10.56447799046243007628181248
1775658340941,good,-40.5500452540869363900571988
1775658340941,realistic,-88.52695287588614649209781735
1775658340941,bad,-208.4692219303841717471993543
1775658422258,ideal,-1.27700183302091291643397681
1775658422258,good,-39.35372494891124530641419835
1775658422258,realistic,-100.2764819343357771303825535
1775658422258,bad,-252.5833743978971066903034279
1775658506583,ideal,-1.31657392585691291643397681
1775658506583,good,-39.39331682383724530641419835
1775658506583,realistic,-100.3161054606057771303825535
1775658506583,bad,-252.6230770525271066903034279
1775658506648,ideal,-1.54435475291291291643397681
1775658506648,good,-39.62121151853324530641419835
1775658506648,realistic,-100.5441823435257771303825535
1775658506648,bad,-252.8516094060071066903034279
1775658583294,ideal,-3.76065518236451291643397681
1775658583294,good,-41.83861987661384530641419835
1775658583294,realistic,-102.7633633874127771303825535
1775658583294,bad,-255.0752221644101066903034279
1775658583634,ideal,-8.02282086604871291643397681
1775658583634,good,-46.10291621700854530641419835
1775658583634,realistic,-107.0310687785442771303825535
1775658583634,bad,-259.3514501823836066903034279
1775658646360,ideal,-14.77403343556811291643397681
1775658646360,good,-52.85750371782644530641419835
1775658646360,realistic,-113.7910561694397771303825535
1775658646360,bad,-266.1249372984731066903034279
1775658677180,ideal,-24.18321420127681099870898105
1775658677180,good,-67.89979401231674141812445271
1775658677180,realistic,-137.8463217099806300891892093
1775658677180,bad,-312.7126409541403517668510842
1775658677301,ideal,-25.8127570911982566217691413
1775658677301,good,-70.50491530904578624415554879
1775658677301,realistic,-142.0123684576018336399738029
1775658677301,bad,-320.7810013289919521295194212
1775658677301,ideal,-26.15343637958826645232119235
1775658677301,good,-71.04955324096428538176146508
1775658677301,realistic,-142.8833402191659156688659036
1775658677301,bad,-322.4678076646699913866269829
1775658677301,ideal,-28.67875138443729037109863367
1775658677301,good,-75.08672951952099227590322217
1775658677301,realistic,-149.3394945356549153235905663
1775658677301,bad,-334.9714070759897229428089086
1775658677301,ideal,-41.19811963960863064767925078
1775658677301,good,-95.10122135330919485016259339
1775658677301,realistic,-181.3461840952300975741359458
1775658677301,bad,-396.9585909500323543840693045
1775658677301,ideal,-43.10759131544494448815106136
1775658677301,good,-98.15385983185938407247827104
1775658677301,realistic,-186.227889458122487407401811
1775658677301,bad,-406.412963523780245744710638
1775658677301,ideal,-43.37918179709851875866108807
1775658677301,good,-98.58804671464755821015012039
1775658677301,realistic,-186.9222305827260213325325766
1775658677301,bad,-407.7576902529221791384886942
1775658677301,ideal,-44.18680612412098961570406223
1775658677301,good,-99.87918139241239183006904082
1775658677301,realistic,-188.9869818216786353730530112
1775658677301,bad,-411.7564828948442442305129138
1775658677301,ideal,-44.90509147691531104165821181
1775658677301,good,-101.0274914376811155362801161
1775658677301,realistic,-190.8233313749064027276751676
1775658677301,bad,-415.3129312179696207061627729
1775658677301,ideal,-45.42444871376161973438791201
1775658677301,good,-101.8577786345918345013017227
1775658677301,realistic,-192.1511065079201781283638246
1775658677301,bad,-417.8844261912410371960190557
1775658677301,ideal,-48.17608911998862221192370892
1775658677301,good,-106.2567773154720198435033542
1775658677301,realistic,-199.1858784282454560540307919
1775658677301,bad,-431.5086312101790465803493616
1775658677301,ideal,-48.73713787814140063916152725
1775658677301,good,-107.1537160075475901015886219
1775658677301,realistic,-200.6202410145974932414719787
1775658677301,bad,-434.286553532222251091180346
1775658677301,ideal,-49.24220087911120542291701551
1775658677301,good,-107.9611512632589314804169733
1775658677301,realistic,-201.9114718778952931724169112
1775658677301,bad,-436.7872734144861974024167311
1775658694929,ideal,-51.77250909956320542291701551
1775658694929,good,-110.4927243848409314804169733
1775658694929,realistic,-204.4450688412852931724169112
1775658694929,bad,-439.3259299823961974024167311
1775658696483,ideal,-58.52355368649280542291701551
1775658696483,good,-117.2471438190945314804169733
1775658696483,realistic,-211.2048880312572931724169112
1775658696483,bad,-446.0992485616641974024167311
1775658704843,ideal,-59.78700287930655502547408128
1775658704843,good,-119.4776621929459804179083308
1775658704843,realistic,-214.9827170947690610458031355
1775658704843,bad,-453.7453543493267626155401222
1775658738678,ideal,-60.22684015317135502547408128
1775658738678,good,-119.9177193414727804179083308
1775658738678,realistic,-215.4231260427550610458031355
1775658738678,bad,-454.1866427959607626155401222
1775658744724,ideal,-60.2625247122507992456653298
1775658744724,good,-119.9712134194654817087955358
1775658744724,realistic,-215.5051153510089736498038708
1775658744724,bad,-454.3398701798677035023246832
1775658744724,ideal,-62.75616170072236135262977638
1775658744724,good,-123.7093795895954479159934179
1775658744724,realistic,-221.2345282117923864173752502
1775658744724,bad,-465.0473997672847326708298048
1775658744724,ideal,-62.92316543721416030312481945
1775658744724,good,-123.9597318746012899573455371
1775658744724,realistic,-221.6182381744206974040986912
1775658744724,bad,-465.7645039239692160209815502
1775658744724,ideal,-63.12157158569587016738816122
1775658744724,good,-124.2571589482407091346783966
1775658744724,realistic,-222.0740987283124514823427792
1775658744724,bad,-466.6164481784918073515037093
1775658744724,ideal,-63.16011090950166992519470962
1775658744724,good,-124.3149325524728265288365779
1775658744724,realistic,-222.1626471812266770946635733
1775658744724,bad,-466.7819337531113035092310352
1775658744724,ideal,-63.4113302054209572353410992
1775658744724,good,-124.6915308615414436166825008
1775658744724,realistic,-222.7398519113342218268287495
1775658744724,bad,-467.8606545358161673521943445
1775658750839,ideal,-64.1339776465090572353410992
1775658750839,good,-125.4145395540997936166825008
1775658750839,realistic,-223.4634386062449718268287495
1775658750839,bad,-468.5856862366079173521943445
1775658750912,ideal,-64.45500445508261106121031053
1775658750912,good,-125.8437832956670354818567857
1775658750912,realistic,-224.0658294406021145548911522
1775658750912,bad,-469.6209448029398122374770416
1775658750912,ideal,-106.9572642954391715335261577
1775658750912,good,-182.6733955015826624211154039
1775658750912,realistic,-303.8192054314122478412582082
1775658750912,bad,-606.683730255986211391615174
1775658750912,ideal,-108.6679992621798202108555075
1775658750912,good,-184.9608128086186223605310012
1775658750912,realistic,-307.0293144829207058000118017
1775658750912,bad,-612.2005686686759143987137571
1775658750912,ideal,-136.1540778556468795994463452
1775658750912,good,-221.7564608041480028146030392
1775658750912,realistic,-358.7202735217497999588537628
1775658750912,bad,-701.1298053157542928194805141
1775658754289,ideal,-137.6461057280179713141888227
1775658754289,good,-223.7119118456404558029481674
1775658754289,realistic,-361.4172016338364309849631324
1775658754289,bad,-705.6804261043263689400004865
1775658754289,ideal,-138.1251131401924078247589883
1775658754289,good,-224.3396987391457133675628092
1775658754289,realistic,-362.2830356974710022360489362
1775658754289,bad,-707.141378093284224407264195
1775658754289,ideal,-138.7783050658848212482637595
1775658754289,good,-225.1957717757437918647645934
1775658754289,realistic,-363.4637185115181448511659413
1775658754289,bad,-709.133585350954027317169252
1775658754289,ideal,-139.2435610690973122130759299
1775658754289,good,-225.8055360790048793557539345
1775658754289,realistic,-364.3046960948569867840387555
1775658754289,bad,-710.5525961344872553547507488
1775658754289,ideal,-139.6675628454239665406141147
1775658754289,good,-226.3612326115334566258673734
1775658754289,realistic,-365.0711042373086407622726009
1775658754289,bad,-711.8457833017466011032856104
1775658754289,ideal,-151.6358724453039065319892565
1775658754289,good,-242.0468936540428107044207676
1775658754289,realistic,-386.7045275880250573803111999
1775658754289,bad,-748.3486124229806740700372168
1775658754289,ideal,-152.0438309111749577228097803
1775658754289,good,-242.5815638312865228886380223
1775658754289,realistic,-387.4419365034650271539632241
1775658754289,bad,-749.5928681839112878172761647
1775658754289,ideal,-152.0461228126686153137694462
1775658754289,good,-242.5845675963272179009089058
