ts,profile,equity
1775658637937,ideal,-0.0445725612297
1775658637937,good,-0.04459484305395
1775658637937,realistic,-0.04463049397275
1775658637937,bad,-0.04471962126975
1775658639698,ideal,-1.8930089245797
1775658639698,good,-1.89395523977895
1775658639698,realistic,-1.89546934409775
1775658639698,bad,-1.89925460489475
1775658641152,ideal,-1.9290670027533
1775658641152,good,-1.93003134338655
1775658641152,realistic,-1.93157428839975
1775658641152,bad,-1.93543165093275
1775658643348,ideal,-1.9652398538769
1775658643348,good,-1.96622227731915
1775658643348,realistic,-1.96779415482675
1775658643348,bad,-1.97172384859575
1775658678704,ideal,-2.0096934788241
1775658678704,good,-2.01069812463435
1775658678704,realistic,-2.01230555793075
1775658678704,bad,-2.01632414117175
1775658678704,ideal,-2.0153092517541
1775658678704,good,-2.01631670488935
1775658678704,realistic,-2.01792862990575
1775658678704,bad,-2.02195844244675
1775658683219,ideal,-2.4735953906541
1775658683219,good,-2.47483194103935
1775658683219,realistic,-2.47681042165575
1775658683219,bad,-2.48175662319675
1775658747800,ideal,-3.7768278350241
1775658747800,good,-3.77871587133435
1775658747800,realistic,-3.78173672943075
1775658747800,bad,-3.78928887467175
1775658749747,ideal,-3.8277892932777
1775658749747,good,-3.82970280522195
1775658749747,realistic,-3.83276442433275
1775658749747,bad,-3.84041847210975
1775658750912,ideal,-3.9878525495277
1775658750912,good,-3.98984607709695
1775658750912,realistic,-3.99303572120775
1775658750912,bad,-4.00100983148475
1775658762560,ideal,-5.8262969148777
1775658762560,good,-5.82920948082195
1775658762560,realistic,-5.83386958633275
1775658762560,bad,-5.84551985010975
1775658770946,ideal,-5.8623615103545
1775658770946,good,-5.86529210499075
1775658770946,realistic,-5.86998105640875
1775658770946,bad,-5.88170343495375
1775658817722,ideal,-8.028112582874469999999999978
1775658817722,good,-8.581700483435645000000000003
1775658817722,realistic,-9.467441124333524999999999984
1775658817722,bad,-11.68179272657822500000000002
1775658817722,ideal,-8.161584783894309999999999978
1775658817722,good,-8.715105935005085000000000003
1775658817722,realistic,-9.600739776782324999999999984
1775658817722,bad,-11.81482438122542500000000002
1775658901692,ideal,-8.251055114382309999999999978
1775658901692,good,-8.804620991713085000000000003
1775658901692,realistic,-9.690326395442324999999999984
1775658901692,bad,-11.90458990476542500000000002
1775658902385,ideal,-8.257020067134309999999999978
1775658902385,good,-8.810588926345085000000000003
1775658902385,realistic,-9.696299101082324999999999984
1775658902385,bad,-11.91057453792542500000000002
1775658935738,ideal,-8.455024110024309999999999978
1775658935738,good,-9.008691951460085000000000003
1775658935738,realistic,-9.894560497757324999999999984
1775658935738,bad,-12.10923186350042500000000002
1775658973149,ideal,-8.910846456264309999999999978
1775658973149,good,-9.464742163300085000000000003
1775658973149,realistic,-10.35097529455732499999999998
1775658973149,bad,-12.56655812270042500000000002
1775659136643,ideal,-9.068983696911524165261382796
1775659136643,good,-9.72280812525336155986509277
1775659136643,realistic,-10.76892721060030139123102865
1775659136643,bad,-13.38422492396765096964586848
1775659136643,ideal,-12.27441157038448032040472213
1775659136643,good,-14.95378233635052935075885368
1775659136643,realistic,-19.24077556189620779932546371
1775659136643,bad,-29.95825862576040392074198983
1775659136643,ideal,-12.83418941338346851602023653
1775659136643,good,-15.86729016627363221753794312
1775659136643,realistic,-20.72025137089789413996627315
1775659136643,bad,-32.85265438245854894603709943
1775659637849,ideal,-12.60691826033890244703376032
1775659637849,good,-15.75539738990442350305686122
1775659637849,realistic,-20.79296399720925719269382216
