ts,profile,equity
1775675645078,ideal,-0.10915447653
1775675645078,good,-0.109209042855
1775675645078,realistic,-0.109296348975
1775675645078,bad,-0.109514614275
1775675862072,ideal,-0.51314341782
1775675862072,good,-0.75556146237
1775675862072,realistic,-1.14343033365
1775675862072,bad,-2.11310251185
1775677056165,ideal,-0.51810746043
1775677056165,good,-0.760527986505
1775677056165,realistic,-1.148400828225
1775677056165,bad,-2.118082932525
1775677056165,ideal,-0.523072178175
1775677056165,good,-0.7654951861125
1775677056165,realistic,-1.1533719988125
1775677056165,bad,-2.1230640305625
1775677056165,ideal,-0.528036670875
1775677056165,good,-0.7704621605625
1775677056165,realistic,-1.1583429440625
1775677056165,bad,-2.1280449028125
1775677056165,ideal,-0.587610583275
1775677056165,good,-0.8300658539625
1775677056165,realistic,-1.2179942870625
1775677056165,bad,-2.1878153698125
1775677056165,ideal,-0.622365182805
1775677056165,good,-0.8648378273175
1775677056165,realistic,-1.2527940585375
1775677056165,bad,-2.2226846365875
1775677237430,ideal,-0.76238983620136363636363638
1775677237430,good,-1.13718247784113636363636362
1775677237430,realistic,-1.7368507044647727272727273
1775677237430,bad,-3.23602127102386363636363638
1775677237430,ideal,-0.87907704736500000000000003
1775677237430,good,-1.36413635327749999999999997
1775677237430,realistic,-2.14023124273750000000000005
1775677237430,bad,-4.08046846638750000000000003
1775677478311,ideal,-0.92790551110500000000000003
1775677478311,good,-1.41298922636749999999999997
1775677478311,realistic,-2.18912317078750000000000005
1775677478311,bad,-4.12945803183750000000000003
1775677478311,ideal,-0.98824637686500000000000003
1775677478311,good,-1.47336025652749999999999997
1775677478311,realistic,-2.24954246398750000000000005
1775677478311,bad,-4.18999798263750000000000003
1775678089530,ideal,-1.15042064340500000000000003
1775678089530,good,-1.87805193941749999999999997
1775678089530,realistic,-3.04226201303750000000000005
1775678089530,bad,-5.95278719708750000000000003
1775678256627,ideal,-1.25963948280500000000000003
1775678256627,good,-1.98732537731749999999999997
1775678256627,realistic,-3.15162280853750000000000005
1775678256627,bad,-6.06236638658750000000000003
1775678608330,ideal,-1.10793013890090000000000003
1775678608330,good,-1.92328762240314999999999997
1775678608330,realistic,-3.22785959600675000000000005
1775678608330,bad,-6.48928953001575000000000003
1775678608330,ideal,-0.83928613697500000000000003
