ts,profile,equity
1775658643348,ideal,-2.311855283601
1775658643348,good,-2.3130109801035
1775658643348,realistic,-2.3148600945075
1775658643348,bad,-2.3194828805175
1775658905262,ideal,-2.5568120876598
1775658905262,good,-2.6155855293093
1775658905262,realistic,-2.7096230359485
1775658905262,bad,-2.9447168025465
1775658905262,ideal,-3.7392578949066
1775658905262,good,-4.0761614396731
1775658905262,realistic,-4.6152071112995
1775658905262,bad,-5.9628212903655
1775658905262,ideal,-3.823934321001
1775658905262,good,-4.1807551110035
1775658905262,realistic,-4.7516683750075
1775658905262,bad,-6.1789515350175
1775658905262,ideal,-24.120703697901
1775658905262,good,-29.2484091801535
1775658905262,realistic,-37.4527379517575
1775658905262,bad,-57.9635598807675
1775659925712,ideal,-26.366920599576
1775659925712,good,-31.526284898516
1775659925712,realistic,-39.78126777682
1775659925712,bad,-60.41872497258
1775660066802,ideal,-27.7717423961872
1775660066802,good,-38.0373688266552
1775660066802,realistic,-54.462371115404
1775660066802,bad,-95.524876837276
1775660184162,ideal,-29.9946384706576
1775660184162,good,-40.3017742073016
1775660184162,realistic,-56.793191385932
1775660184162,bad,-98.021734332508
1775660223226,ideal,-27.1457728062968
1775660223226,good,-42.5509898720388
1775660223226,realistic,-67.199337177226
1775660223226,bad,-128.820205440194
1775660400579,ideal,-28.2846796953536
1775660400579,good,-43.6893271937376
1775660400579,realistic,-68.336763191152
1775660400579,bad,-129.955353184688
1775660401600,ideal,-29.462496312908
1775660401600,good,-44.866554785178
1775660401600,realistic,-69.51304834081
1775660401600,bad,-131.12928222989
1775660855017,ideal,-31.779321355208
1775660855017,good,-47.182221183228
1775660855017,realistic,-71.82686090806
1775660855017,bad,-133.43846022014
1775660990100,ideal,-31.6873005085656932464861159
1775660990100,good,-47.82299546890347795680493658
1775660990100,realistic,-73.64010740544393349331504971
1775660990100,bad,-138.1828872467950723345903325
1775660990100,ideal,-31.59412160673814933150497092
1775660990100,good,-48.47183370977138690435378814
1775660990100,realistic,-75.47617307462456702091189579
1775660990100,bad,-142.9870214867575173123071648
1775660990100,ideal,-31.13348288651804456633527618
1775660990100,good,-51.67942696362220637641412408
1775660990100,realistic,-84.55293748698886527254028114
1775660990100,bad,-166.7367137954055125128556734
1775661172766,ideal,-31.54571796301004456633527618
1775661172766,good,-52.09145588134420637641412408
1775661172766,realistic,-84.96463655067886527254028114
1775661172766,bad,-167.1475882240155125128556734
1775661172966,ideal,-33.45030792881804456633527618
1775661172966,good,-53.99509336167220637641412408
1775661172966,realistic,-86.86675005423886527254028114
1775661172966,bad,-169.0458917856555125128556734
1775661587651,ideal,-35.76689667838604456633527618
1775661587651,good,-56.31052358516020637641412408
1775661587651,realistic,-89.18032663599886527254028114
1775661587651,bad,-171.3548342630955125128556734
1775662526778,ideal,-38.08351857282374456633527618
1775662526778,good,-58.62598693694215637641412408
1775662526778,realistic,-91.49393631953161527254028114
1775662526778,bad,-173.6638097760052625128556734
1775662747093,ideal,-46.10762568179748261552411039
1775662747093,good,-71.78824674399352308230970768
1775662747093,realistic,-112.877240443507187829166659
1775662747093,bad,-215.5997246922913496963090394
1775663297392,ideal,-48.42424757623518261552411039
1775663297392,good,-74.10371009577547308230970768
1775663297392,realistic,-115.190850127039937829166659
1775663297392,bad,-217.9087002052010996963090394
1775665454482,ideal,-50.74091753005908261552411039
1775665454482,good,-76.41922148290912308230970768
1775665454482,realistic,-117.504507807469187829166659
1775665454482,bad,-220.2177236188693496963090394
