ts,profile,equity
1775661509168,ideal,-0.11244585237354
1775661509168,good,-0.11250206405739
1775661509168,realistic,-0.11259200275155
1775661509168,bad,-0.11281684948695
1775661509249,ideal,-0.58450258394136
1775661509249,good,-0.58479477679476
1775661509249,realistic,-0.5852622853602
1775661509249,bad,-0.5864310567738
1775661509386,ideal,-0.60404058576036
1775661509386,good,-0.60434254566126
1775661509386,realistic,-0.6048256815027
1775661509386,bad,-0.6060335211063
1775661509386,ideal,-0.67512169713996
1775661509386,good,-0.67545919048986
1775661509386,realistic,-0.6759991798497
1775661509386,bad,-0.6773491532493
1775661620491,ideal,-2.78312638196106
1775661620491,good,-2.87259460111371
1775661620491,realistic,-3.01574375175795
1775661620491,bad,-3.37361662836855
1775661620491,ideal,-5.03185292270454
1775661620491,good,-5.21720428721589
1775661620491,realistic,-5.51376647043405
1775661620491,bad,-6.25517192847945
1775661620491,ideal,-27.14457743267994
1775661620491,good,-28.08314726462979
1775661620491,realistic,-29.58485899574955
1775661620491,bad,-33.33913832354895
1775661620491,ideal,-40.00347871627701
1775661620491,good,-41.484418595594535
1775661620491,realistic,-43.853922402502575
1775661620491,bad,-49.777681919772675
1775661620491,ideal,-40.04333215439493
1775661620491,good,-41.524252103007255
1775661620491,realistic,-43.893724020786975
1775661620491,bad,-49.817403815236275
1775661620491,ideal,-40.08830083885893
1775661620491,good,-41.569198298631255
1775661620491,realistic,-43.938634234266975
1775661620491,bad,-49.862224073356275
1775661620491,ideal,-41.12221187848629
1775661620491,good,-42.602592279327015
1775661620491,realistic,-44.971200920672175
1775661620491,bad,-50.892722524035075
1775661620491,ideal,-41.13978205624779
1775661620491,good,-42.620153670242265
1775661620491,realistic,-44.988748252633425
1775661620491,bad,-50.910234708611325
1775661620491,ideal,-41.45400505177725
1775661620491,good,-42.934219522845375
1775661620491,realistic,-45.302562676554375
1775661620491,bad,-51.223420560826875
1775661620491,ideal,-41.55256874309565
1775661620491,good,-43.032733922459775
1775661620491,realistic,-45.400998209442375
1775661620491,bad,-51.321658926898875
1775661620491,ideal,-41.59648329292875
1775661620491,good,-43.076626510625625
1775661620491,realistic,-45.444855658940625
1775661620491,bad,-51.365428529728125
1775661620491,ideal,-41.63240995930812
1775661620491,good,-43.11253521007842
1775661620491,realistic,-45.4807356113109
1775661620491,bad,-51.4012366143921
1775661620491,ideal,-41.64710925326124
1775661620491,good,-43.12722715291434
1775661620491,realistic,-45.4954157923593
1775661620491,bad,-51.4158873909717
1775661620491,ideal,-41.69109645006204
1775661620491,good,-43.17119235171714
1775661620491,realistic,-45.5393457943653
1775661620491,bad,-51.4597294009857
1775661620491,ideal,-41.73500991561204
1775661620491,good,-43.21508385614214
1775661620491,realistic,-45.5832021609903
1775661620491,bad,-51.5034979231107
1775661695631,ideal,-45.0101229465295998673300166
1775661695631,good,-46.73246465032789472636815918
1775661695631,realistic,-49.48821137640516650082918741
1775661695631,bad,-56.3775781915983459369817579
1775661695631,ideal,-51.94453934597675641791044781
1775661695631,good,-54.24130112622461761194029842
1775661695631,realistic,-57.91611997462119552238805974
1775661695631,bad,-67.10316709561264029850746276
1775661695631,ideal,-52.98405757467938262023217252
1775661695631,good,-55.37844543801050915422885562
1775661695631,realistic,-59.20946601934031160862354896
1775661695631,bad,-68.78701747266481774461028201
1775661695631,ideal,-58.15951932331676968490878946
1775661695631,good,-60.93605562448514497512437796
1775661695631,realistic,-65.37851370635454543946932012
1775661695631,bad,-76.48465891102804660033167508
1775661695631,ideal,-59.30755805427989588723051418
1775661695631,good,-62.18177468793278651741293516
1775661695631,realistic,-66.78052130177741152570480934
1775661695631,bad,-78.27738783638897404643449433
1775661695631,ideal,-60.60791432512047051409618583
1775661695631,good,-63.58250648783375293532338291
1775661695631,realistic,-68.3418539481750048092868989
1775661695631,bad,-80.24022259902813449419568837
1775661715576,ideal,-61.66567705340300786069651751
1775661715576,good,-64.73983848955853746268656698
1775661715576,realistic,-69.65849678740738482587064683
1775661715576,bad,-81.95514253202950323383084592
1775661715576,ideal,-62.72430045111457900497512448
1775661715576,good,-65.89811217720824044776119383
1775661715576,realistic,-70.97621093895809875621890554
1775661715576,bad,-83.67145784333274452736318424
1775661715837,ideal,-64.0266794519593052072968492
1775661715837,good,-67.29824866524148199004975103
1775661715837,realistic,-72.53275940649296484245439476
1775661715837,bad,-85.61903625962167197346600349
1775661715837,ideal,-90.61115704750251111111111133
1775661715837,good,-95.87086241603656666666666622
1775661715837,realistic,-104.2863910056910555555555557
1775661715837,bad,-125.3252124798272777777777781
1775661715837,ideal,-92.23652663645420000000000023
1775661715837,good,-97.62932685208969999999999954
1775661715837,realistic,-106.2578071971065000000000002
1775661715837,bad,-127.8290080596485000000000003
1775661715837,ideal,-92.33896091641364000000000023
1775661715837,good,-97.73181233894773999999999954
1775661715837,realistic,-106.3603746150023000000000002
1775661715837,bad,-127.9317803051387000000000003
1775661715837,ideal,-92.34145929398924000000000023
1775661715837,good,-97.73431196546233999999999954
1775661715837,realistic,-106.3628762398193000000000002
1775661715837,bad,-127.9342869257117000000000003
1775661715837,ideal,-92.38561161068684000000000023
1775661715837,good,-97.77848635390393999999999954
1775661715837,realistic,-106.4070859430513000000000002
1775661715837,bad,-127.9785849159197000000000003
1775661805781,ideal,-94.35590867823847457127827482
1775661805781,good,-100.1814531035995215991583371
1775661805781,realistic,-109.5023241841771968437664389
1775661805781,bad,-132.8045018856213849552866915
1775661805781,ideal,-94.81127609520362123093108913
1775661805781,good,-100.7368174595043628932140972
1775661805781,realistic,-110.2176836423855495528669123
1775661805781,bad,-133.9198490995885162019989482
1775661822247,ideal,-99.44277890651516000000000023
1775661822247,good,-105.6066247433030599999999993
1775661822247,realistic,-115.4687780821637000000000002
1775661822247,bad,-140.1241614293153000000000003
1775661822247,ideal,-99.48001462293215000000000023
1775661822247,good,-105.6438418381375249999999993
1775661822247,realistic,-115.5059653824661250000000002
1775661822247,bad,-140.1612742432876250000000003
1775661822247,ideal,-99.52380881734115000000000023
1775661822247,good,-105.6876141310690249999999993
1775661822247,realistic,-115.5497026330336250000000002
1775661822247,bad,-140.2049238879451250000000003
1775661822247,ideal,-99.78200062884911000000000023
1775661822247,good,-105.9456768208468849999999993
1775661822247,realistic,-115.8075587280433250000000002
1775661822247,bad,-140.4622634960344250000000003
1775661822247,ideal,-99.81821928366911000000000023
1775661822247,good,-105.9818773627168849999999993
1775661822247,realistic,-115.8437302891933250000000002
1775661822247,bad,-140.4983626053844250000000003
1775661822247,ideal,-99.86201564664431000000000023
1775661822247,good,-106.0256518231300849999999993
1775661822247,realistic,-115.8874697055073250000000002
1775661822247,bad,-140.5420144114504250000000003
1775661822247,ideal,-99.90405604058357000000000023
1775661822247,good,-106.0676711926674949999999993
1775661822247,realistic,-115.9294554360017750000000002
1775661822247,bad,-140.5839160443374750000000003
1775661822247,ideal,-99.92709739479089000000000023
1775661822247,good,-106.0907010238931149999999993
1775661822247,realistic,-115.9524668304566750000000002
1775661822247,bad,-140.6068813468655750000000003
1775661822247,ideal,-99.97206607925489000000000023
1775661822247,good,-106.1356472195171149999999993
1775661822247,realistic,-115.9973770439366750000000002
1775661822247,bad,-140.6517016049855750000000003
1775661822247,ideal,-100.0158613579469900000000002
1775661822247,good,-106.1794205961894649999999993
1775661822247,realistic,-116.0411153773774250000000002
1775661822247,bad,-140.6953523303473250000000003
1775661822247,ideal,-100.0520341219469900000000002
1775661822247,good,-106.2155752701894649999999993
1775661822247,realistic,-116.0772411073774250000000002
1775661822247,bad,-140.7314057003473250000000003
1775661822247,ideal,-100.0750766171260700000000002
1775661822247,good,-106.2386062418162449999999993
1775661822247,realistic,-116.1002536413205250000000002
1775661822247,bad,-140.7543721400812250000000003
1775661822247,ideal,-100.0857826322947100000000002
1775661822247,good,-106.2493069029064849999999993
1775661822247,realistic,-116.1109457358853250000000002
1775661822247,bad,-140.7650428183324250000000003
1775661822247,ideal,-100.1977707237959900000000002
1775661822247,good,-106.3612389891609649999999993
1775661822247,realistic,-116.2227882137449250000000002
1775661822247,bad,-140.8766612752048250000000003
1775661822247,ideal,-100.2208143599468300000000002
1775661822247,good,-106.3842711011889049999999993
1775661822247,realistic,-116.2458018871762250000000002
1775661822247,bad,-140.8996288521445250000000003
1775661822247,ideal,-100.2646063857896300000000002
1775661822247,good,-106.4280412266387049999999993
1775661822247,realistic,-116.2895369719972250000000002
1775661822247,bad,-140.9432763353935250000000003
1775662101930,ideal,-109.2628002805109300000000002
1775662101930,good,-115.4217351244132549999999993
1775662101930,realistic,-125.2760308746569750000000002
1775662101930,bad,-149.9117702502662750000000003
1775662458723,ideal,-111.5126908083917300000000002
1775662458723,good,-117.6705004819960549999999993
1775662458723,realistic,-127.5229959597629750000000002
1775662458723,bad,-152.1542346541802750000000003
1775662508841,ideal,-113.7622273830773300000000002
1775662508841,good,-119.9189120633956549999999993
1775662508841,realistic,-129.7696075519049750000000002
1775662508841,bad,-154.3963462731782750000000003
1775662527876,ideal,-114.2041811531557419529819972
1775662527876,good,-120.4323069318106950726294348
1775662527876,realistic,-130.3973081776586200640653373
1775662527876,bad,-155.3098112922784325426550913
1775662527876,ideal,-114.8844437077480263398587109
1775662527876,good,-121.2209525254034834181044298
1775662527876,realistic,-131.3593666336522147432975824
1775662527876,bad,-156.7054019042740430562804616
1775662527876,ideal,-115.1608358487877762299589072
1775662527876,good,-121.5420230003875022870553461
1775662527876,realistic,-131.7519224429470639784096508
1775662527876,bad,-157.2766710493459682067954102
1775662527876,ideal,-128.6434850901813351458102082
1775662527876,good,-137.2363709068933868885858571
1775662527876,realistic,-150.9849882136326696770268978
1775662527876,bad,-185.3565314804808766481294972
1775662527876,ideal,-128.7103980113433029403894647
1775662527876,good,-137.3143420712684163115935097
1775662527876,realistic,-151.080652567148597705519984
1775662527876,bad,-185.4964288068490511903361676
1775662527876,ideal,-128.8390161363816023941984669
1775662527876,good,-137.4637511041817716268478965
1775662527876,realistic,-151.2633270526620423990869861
1775662527876,bad,-185.762266923862719329684708
1775662527876,ideal,-128.9069297076335701887777234
1775662527876,good,-137.5427234188718010498555491
1775662527876,realistic,-151.3599933568529704275800723
1775662527876,bad,-185.9031682018058938718913784
1775662527876,ideal,-130.289667471661968656796513
1775662527876,good,-139.145766298909387156167988
1775662527876,realistic,-153.3155244225052567551623501
1775662527876,bad,-188.7399197314949307526482535
1775662527876,ideal,-134.1767152479557316922364431
1775662527876,good,-143.6704468003550336867892343
1775662527876,realistic,-158.8604172841939168780737024
1775662527876,bad,-196.8353434937911248562848708
1775662527876,ideal,-134.5650155461078661890129606
1775662527876,good,-144.122444020062403163313313
1775662527876,realistic,-159.4143295783896623221938791
1775662527876,bad,-197.6440434742078102193952925
1775662527876,ideal,-134.8718278411382638410532744
1775662527876,good,-144.4781392775807832130071373
1775662527876,realistic,-159.8482375758888142081333203
1775662527876,bad,-198.2734833216588916959487758
1775662527876,ideal,-135.8072704789825736092712803
1775662527876,good,-145.56817615554369454665412
1775662527876,realistic,-161.1856252380414880464666659
1775662527876,bad,-200.2292479442859717959980285
1775662527876,ideal,-138.8543492075375179242536743
1775662527876,good,-149.1150987824140244666000155
1775662527876,realistic,-165.5322981022164349343541637
1775662527876,bad,-206.5752964017224611037395322
1775662527876,ideal,-139.1505493862191942880771583
1775662527876,good,-149.4606176103242056932141459
1775662527876,realistic,-165.9567267688922239414333283
1775662527876,bad,-207.1969996653122695619812823
1775662527876,ideal,-139.6721256134343069504458483
1775662527876,good,-150.0671249871436316619129175
1775662527876,realistic,-166.6991239850785512002602306
1775662527876,bad,-208.2791214799158500461285112
1775662527876,ideal,-160.7202540941428964132967745
1775662527876,good,-174.5937344529528869632001052
1775662527876,realistic,-196.7913030270488718430454367
1775662527876,bad,-252.2852244622888340426587632
1775662527876,ideal,-161.2757027181591568376055819
1775662527876,good,-175.2383205808934241126417848
1775662527876,realistic,-197.5785091612682517526997118
1775662527876,bad,-253.4289806122053208528445269
1775662527876,ideal,-161.7368093222148165525276964
1775662527876,good,-175.7750672792959253660141283
1775662527876,realistic,-198.2362800106256994675924216
1775662527876,bad,-254.3893118389501347215381527
1775662527876,ideal,-163.1660902728472286121014763
1775662527876,good,-177.4337169435002355991928423
1775662527876,realistic,-200.2619196165450467785390301
1775662527876,bad,-257.3324262991570747269044975
1775662527876,ideal,-163.2906035641077099982357231
1775662527876,good,-177.57835760302273914906677
1775662527876,realistic,-200.438764065286785790396447
1775662527876,bad,-257.5897802209469023937206377
1775662527876,ideal,-163.5193987789630430762388547
1775662527876,good,-177.8438695068394368334521765
1775662527876,realistic,-200.7630226714416668449934933
1775662527876,bad,-258.0609055829472418738467835
1775662527876,ideal,-289.1888818488572777384164165
1775662527876,good,-323.5356812978859548349665151
1775662527876,realistic,-378.4905604163318381894466749
1775662527876,bad,-515.8777582124465465756470724
1775662527876,ideal,-300.2784571484685600772606677
1775662527876,good,-336.4717202854290178887843387
1775662527876,realistic,-394.3809413045657503872222144
1775662527876,bad,-539.1539938524075816333169016
1775662527876,ideal,-300.592602875793030000000003
1775662527876,good,-336.8373985916506049999999996
1775662527876,realistic,-394.8290717370227249999999963
1775662527876,bad,-539.8082546004530249999999858
1775662626835,ideal,-309.594371288476830000000003
1775662626835,good,-345.8436669885439049999999996
1775662626835,realistic,-403.8425401086512249999999963
1775662626835,bad,-548.8397229089195249999999858
1775662755538,ideal,-314.094840799896330000000003
1775662755538,good,-350.3463862847621549999999996
1775662755538,realistic,-408.3488590605474749999999963
1775662755538,bad,-553.3550410000107749999999858
1775664673545,ideal,-314.5219707461442301704658692
1775664673545,good,-351.1054340484196971921467626
1775664673545,realistic,-409.638975332060444426836194
1775664673545,bad,-555.9728285411623125135597706
1775664673816,ideal,-314.9080962175523319245670122
1775664673816,good,-351.7916132267661153338474363
1775664673816,realistic,-410.8052404415081687886961168
1775664673816,bad,-558.339308478363302425817816
1775664674001,ideal,-314.9303069747572227334312372
1775664674001,good,-351.831083710476307527839068
1775664674001,realistic,-410.8723264876268431988915991
1775664674001,bad,-558.4754334305031823765229248
1775664675014,ideal,-315.0060513518918503636605175
1775664675014,good,-351.9656881805649116765797606
1775664675014,realistic,-411.1011071064418097772505515
1775664675014,bad,-558.9396544211340550289275266
1775664678075,ideal,-316.1128874192689090053943988
1775664678075,good,-353.932633952122822677162739
1775664678075,realistic,-414.4442284046890845519920853
1775664678075,bad,-565.7232145361047392390654488
1775664678075,ideal,-316.1385152160437830156223508
1775664678075,good,-353.9781768179422752086915448
1775664678075,realistic,-414.5216353809798627176022572
1775664678075,bad,-565.8802817885738314898790359
1775664678075,ideal,-316.7205509561309216479105045
1775664678075,good,-355.0125059038862860358568671
1775664678075,realistic,-416.2796338202948690565710493
1775664678075,bad,-569.4474536113163266083565026
1775664678075,ideal,-332.2595384006295298494587169
1775664678075,good,-382.6266635457476709861561032
1775664678075,realistic,-463.2140637779366968048719234
1775664678075,bad,-664.6825643584092613516614718
1775664678075,ideal,-332.8014239257693658657230792
1775664678075,good,-383.5896421419078728472596298
1775664678075,realistic,-464.8507912877294840177181129
1775664678075,bad,-668.0036641522835119438643187
1775664678075,ideal,-333.7878093483045166593855862
1775664678075,good,-385.342536444114356949657221
1775664678075,realistic,-467.8300997974101014140918389
1775664678075,bad,-674.0490081806494625751783816
1775664678075,ideal,-334.8112126995144854678218016
1775664678075,good,-387.161214885837828042040865
1775664678075,realistic,-470.9212183839551761607913687
1775664678075,bad,-680.3212271292485464576676259
1775664678075,ideal,-334.8368404962893594780497536
1775664678075,good,-387.2067577516572805735696708
1775664678075,realistic,-470.9986253602459543264015406
1775664678075,bad,-680.478294381717638708481213
1775664678152,ideal,-334.8624682930642334882777056
1775664678152,good,-387.2523006174767331050984766
1775664678152,realistic,-471.0760323365367324920117125
1775664678152,bad,-680.6353616341867309592948001
1775664678152,ideal,-352.6698005054366901951133114
1775664678152,good,-418.8975079162021054571584552
1775664678152,realistic,-524.8618397734267698764306875
1775664678152,bad,-789.7726694164884309246112662
1775664698366,ideal,-352.6786071329195299999999996
1775664698366,good,-418.9158312403433549999999957
1775664698366,realistic,-524.8953898122214749999999918
1775664698366,bad,-789.84428624191677499999998
1775665116693,ideal,-354.9273638965985299999999996
1775665116693,good,-421.1634634007198549999999957
1775665116693,realistic,-527.1412226073139749999999918
1775665116693,bad,-792.08562062379927499999998
1775665263844,ideal,-354.9986901085025299999999996
1775665263844,good,-421.2347539423838549999999957
1775665263844,realistic,-527.2124560765939749999999918
1775665263844,bad,-792.15671141211927499999998
1775665263844,ideal,-355.4443844518025299999999996
1775665263844,good,-421.6802253939338549999999957
1775665263844,realistic,-527.6575709013439749999999918
1775665263844,bad,-792.60093466986927499999998
1775665263844,ideal,-356.0415967854425299999999996
1775665263844,good,-422.2771390616738549999999957
1775665263844,realistic,-528.2540067036439749999999918
1775665263844,bad,-793.19617580856927499999998
1775665263844,ideal,-356.0475406364345299999999996
1775665263844,good,-422.2830799401458549999999957
1775665263844,realistic,-528.2599428260839749999999918
1775665263844,bad,-793.20210004092927499999998
1775665442873,ideal,-356.0200682032528478807947015
1775665442873,good,-422.6059562612616232119205255
1775665442873,realistic,-529.1433771540756637417218462
1775665442873,bad,-795.4869293861107650662251455
1775665442873,ideal,-355.9988731077433644370860922
1775665442873,good,-422.7797636531373715562913864
1775665442873,realistic,-529.6291885257677829470198595
1775665442873,bad,-796.7527507073438114238410395
1775665442873,ideal,-355.9421133604467816556291385
1775665442873,good,-423.2452139568046298344370818
1775665442873,realistic,-530.9301749109771869205297934
1775665442873,bad,-800.1425772964085796357615691
1775665442873,ideal,-355.8537330703061988741721848
1775665442873,good,-423.6790279105178881125827772
1775665442873,realistic,-532.1994996548565908940397273
1775665442873,bad,-803.5006790157033478476820987
1775665442873,ideal,-355.5580156527562054966887405
1775665442873,good,-427.1545173670564874503311219
1775665442873,realistic,-541.7089201099369385761589336
1775665442873,bad,-828.0949269671380663907284551
1775665442873,ideal,-355.5059260112498478807947007
1775665442873,good,-427.5816711267511232119205259
1775665442873,realistic,-542.9028633115531637417218476
1775665442873,bad,-831.2058437735582650662251437
1775665442873,ideal,-355.4214613035838478807947006
1775665442873,good,-427.9962654749201232119205259
1775665442873,realistic,-544.1159521490581637417218477
1775665442873,bad,-834.4151688344032650662251435
1775665442873,ideal,-355.284588736633609470198674
1775665442873,good,-428.8443058189055470529801286
1775665442873,realistic,-546.5398531505406471854304572
1775665442873,bad,-840.778721479628397516556269
1775665442873,ideal,-355.2571796593115299999999985
1775665442873,good,-428.9788430577153549999999962
1775665442873,realistic,-546.9335044951614749999999937
1775665442873,bad,-841.8201580887767749999999776
1775665940014,ideal,-355.2719740498415299999999985
1775665940014,good,-428.9936300495703549999999962
1775665940014,realistic,-546.9482796491364749999999937
1775665940014,bad,-841.8349036480517749999999776
1775665943575,ideal,-355.8785440615715299999999985
1775665943575,good,-429.5998967156253549999999962
1775665943575,realistic,-547.5540609621114749999999937
1775665943575,bad,-842.4394715783267749999999776
1775665944121,ideal,-355.9318038674795299999999985
1775665944121,good,-429.6531298863033549999999962
1775665944121,realistic,-547.6072515164214749999999937
1775665944121,bad,-842.4925555917167749999999776
1775666049686,ideal,-356.4462620502605299999999985
1775666049686,good,-430.1673307885368549999999962
1775666049686,realistic,-548.1210407697789749999999937
1775666049686,bad,-843.0053157228842749999999776
1775666050557,ideal,-356.5619039472545299999999985
1775666050557,good,-430.2829148530158549999999962
1775666050557,realistic,-548.2365323022339749999999937
1775666050557,bad,-843.1205759252792749999999776
1775666050557,ideal,-356.6063815999445299999999985
1775666050557,good,-430.3273702624308549999999962
1775666050557,realistic,-548.2809521224089749999999937
1775666050557,bad,-843.1649067723542749999999776
1775666116604,ideal,-356.8877110976895499999999985
1775666116604,good,-430.6085590672884249999999962
1775666116604,realistic,-548.5619158186466249999999937
1775666116604,bad,-843.4453076970421249999999776
1775666121453,ideal,-356.8944391062686599999999985
1775666121453,good,-430.6152837111903099999999962
1775666121453,realistic,-548.5686350790649499999999937
1775666121453,bad,-843.4520134987515499999999776
1775666126325,ideal,-356.9011671148477699999999985
1775666126325,good,-430.6220083550921949999999962
1775666126325,realistic,-548.5753543394832749999999937
1775666126325,bad,-843.4587193004609749999999776
1775666129095,ideal,-357.1280671612606699999999985
1775666129095,good,-430.8487949287873449999999962
1775666129095,realistic,-548.8019593568300249999999937
1775666129095,bad,-843.6848704269367249999999776
1775666132308,ideal,-357.1347951698397799999999985
1775666132308,good,-430.8555195726892299999999962
1775666132308,realistic,-548.8086786172483499999999937
1775666132308,bad,-843.6915762286461499999999776
1775666134935,ideal,-357.1696246447513399999999985
1775666134935,good,-430.8903316293796899999999962
1775666134935,realistic,-548.8434628047850499999999937
1775666134935,bad,-843.7262907432984499999999776
1775666134997,ideal,-357.4347499490833399999999985
1775666134997,good,-431.1553243445416899999999962
1775666134997,realistic,-549.1082433772750499999999937
1775666134997,bad,-843.9905409591084499999999776
1775666134997,ideal,-357.5138517179648599999999985
1775666134997,good,-431.2343865546270099999999962
1775666134997,realistic,-549.1872422932864499999999937
1775666134997,bad,-844.0693816399350499999999776
1775666134997,ideal,-357.5470468588086199999999985
1775666134997,good,-431.2675650945801699999999962
1775666134997,realistic,-549.2203942718146499999999937
1775666134997,bad,-844.1024672149008499999999776
1775666136357,ideal,-357.5537748673877299999999985
1775666136357,good,-431.2742897384820549999999962
1775666136357,realistic,-549.2271135322329749999999937
1775666136357,bad,-844.1091730166102749999999776
1775666138798,ideal,-357.5741858839678099999999985
1775666138798,good,-431.2946905475123349999999962
1775666138798,realistic,-549.2474980091835749999999937
1775666138798,bad,-844.1295166633616749999999776
1775666139402,ideal,-357.7001748813277699999999985
1775666139402,good,-431.4206165377721949999999962
1775666139402,realistic,-549.3733231880832749999999937
1775666139402,bad,-844.2550898138609749999999776
1775666139402,ideal,-357.7312181489822599999999985
1775666139402,good,-431.4516442806879099999999962
1775666139402,realistic,-549.4043260914169499999999937
1775666139402,bad,-844.2860306182395499999999776
1775666436297,ideal,-358.1502866160227599999999985
1775666436297,good,-431.8705031715796599999999962
1775666436297,realistic,-549.8228496604706999999999937
1775666436297,bad,-844.7037158826982999999999776
1775666436297,ideal,-362.6497166160095599999999985
1775666436297,good,-436.3676830065334599999999962
1775666436297,realistic,-554.3164292313716999999999937
1775666436297,bad,-849.1882947934672999999999776
1775666436297,ideal,-364.3937589877595599999999985
1775666436297,good,-438.1108531826584599999999962
1775666436297,realistic,-556.0582038944966999999999937
1775666436297,bad,-850.9265806740922999999999776
1775666436297,ideal,-365.3954372665286599999999985
1775666436297,good,-439.1120305221003099999999962
1775666436297,realistic,-557.0585797310149499999999937
1775666436297,bad,-851.9249527533015499999999776
1775666436297,ideal,-369.8948672665154599999999985
1775666436297,good,-443.6092103570541099999999962
1775666436297,realistic,-561.5521593019159499999999937
1775666436297,bad,-856.4095316640705499999999776
1775666436297,ideal,-371.2303054254554599999999985
1775666436297,good,-444.9439806633441099999999962
1775666436297,realistic,-562.8858610439659499999999937
1775666436297,bad,-857.7405619955205499999999776
1775666519361,ideal,-371.2483446208946599999999985
1775666519361,good,-444.9620108373813099999999962
1775666519361,realistic,-562.9038767837599499999999937
1775666519361,bad,-857.7585416497065499999999776
1775666519630,ideal,-375.7293405664298599999999985
1775666519630,good,-449.4407658367545099999999962
1775666519630,realistic,-567.3790462692739499999999937
1775666519630,bad,-862.2247473505725499999999776
1775666735887,ideal,-419.1543239145238705972512891
1775666735887,good,-520.6903544477855610000332245
1775666735887,realistic,-683.1480033010042656444843124
1775666735887,bad,-1089.29212543405102725561201
1775666735887,ideal,-438.1644069155132248249664945
1775666735887,good,-551.8811687867275110698029863
1775666735887,realistic,-733.82798778067036906154136
1775666735887,bad,-1188.695035265527514040887267
1775666753863,ideal,-438.1983059299080599999999951
1775666753863,good,-551.9367886314282100000000028
1775666753863,realistic,-733.918360953860450000000002
1775666753863,bad,-1188.872291759941049999999973
1775666771323,ideal,-441.486626127633021580680566
1775666771323,good,-556.97105576364120670691548
1775666771323,realistic,-741.7461431812543029088913301
1775666771323,bad,-1203.683861725287043413830928
1775666771323,ideal,-442.1070639007886747091108624
1775666771323,good,-557.9209174867002626893523625
1775666771323,realistic,-743.2230832241588034577387505
1775666771323,bad,-1206.478497567805155378704693
1775666771323,ideal,-443.01370530553571093304061
1775666771323,good,-559.3249739490064372228320551
1775666771323,realistic,-745.4230037785595992864983553
1775666771323,bad,-1210.668078352442504445664078
1775666771323,ideal,-443.8072659594680599999999953
1775666771323,good,-560.5467792348882100000000024
1775666771323,realistic,-747.3300004755604500000000018
1775666771323,bad,-1214.288053577241049999999973
1775667300390,ideal,-446.8687753053617715452299796
1775667300390,good,-563.7744934392036590369557169
1775667300390,realistic,-750.8236424533506790237168846
1775667300390,bad,-1218.446514988718228990619776
1775667300390,ideal,-447.9403805783043700114628862
1775667300390,good,-564.9103975659685506625873868
1775667300390,realistic,-752.0624247462312397043865758
1775667300390,bad,-1219.94249269688796230888452
1775667300390,ideal,-448.1393096863370477259884678
1775667300390,good,-565.1202416417239565838970624
1775667300390,realistic,-752.2897327703430107565508019
1775667300390,bad,-1220.213460591890646188185122
1775667300390,ideal,-448.3238772340387246984936745
1775667300390,good,-565.3149905620763128537754912
1775667300390,realistic,-752.5007718869364539022263859
1775667300390,bad,-1220.465225199086806523353594
1775667300390,ideal,-448.4905341930074681315487771
1775667300390,good,-565.4916181580454719982563514
1775667300390,realistic,-752.6933525021062781849884583
