ts,profile,equity
1775659600141,ideal,-0.21357445635
1775659600141,good,-0.213681222225
1775659600141,realistic,-0.213852047625
1775659600141,bad,-0.214279111125
1775660289497,ideal,-0.25048869109596
1775660289497,good,-0.26168286833586
1775660289497,realistic,-0.2795935519197
1775660289497,bad,-0.3243702608793
1775660289497,ideal,-2.0183805487186
1775660289497,good,-2.4921946530151
1775660289497,realistic,-3.2502972198895
1775660289497,bad,-5.1455536370755
1775660289497,ideal,-2.02357672757494
1775660289497,good,-2.49738823326229
1775660289497,realistic,-3.25548664236205
1775660289497,bad,-5.15073266511145
1775662757233,ideal,-2.14572081387094
1775662757233,good,-2.61947123529829
1775662757233,realistic,-3.37747190958205
1775662757233,bad,-5.27247359529145
1775662757233,ideal,-2.17252807134694
1775662757233,good,-2.64626508646429
1775662757233,realistic,-3.40424431065205
1775662757233,bad,-5.29919237112145
1775667890420,ideal,-2.32017053694694
1775667890420,good,-2.79383371606429
1775667890420,realistic,-3.55169480265205
1775667890420,bad,-5.44634751912145
1775667895942,ideal,-2.46772302054694
1775667895942,good,-2.94131240866429
1775667895942,realistic,-3.69905542965205
1775667895942,bad,-5.59341298212145
1775667897579,ideal,-2.52528603564094
1775667897579,good,-2.99884663649329
1775667897579,realistic,-3.75654359785705
1775667897579,bad,-5.65078600126645
1775667897579,ideal,-2.61532049514694
1775667897579,good,-3.08883606976429
1775667897579,realistic,-3.84646098915205
1775667897579,bad,-5.74052328762145
1775672160892,ideal,-2.78528283683194
1775672160892,good,-3.27532070316179
1775672160892,realistic,-4.05938128928955
1775672160892,bad,-6.01953275460895
1775672160892,ideal,-2.95524517851694
1775672160892,good,-3.46180533655929
1775672160892,realistic,-4.27230158942705
1775672160892,bad,-6.29854222159645
1775672161027,ideal,-5.47068783545494
1775672161027,good,-6.22177791084229
1775672161027,realistic,-7.42352203146205
1775672161027,bad,-10.42788233301145
1775672163983,ideal,-6.93236397394594
1775672163983,good,-7.82554575806079
1775672163983,realistic,-9.25463661264455
1775672163983,bad,-12.82736374910395
1775672164051,ideal,-12.81306099624694
1775672164051,good,-14.27791407361429
1775672164051,realistic,-16.62167899740205
1775672164051,bad,-22.48109130687145
1775672512901,ideal,-13.13403578844694
1775672512901,good,-14.59872834631429
1775672512901,realistic,-16.94223643890205
1775672512901,bad,-22.80100667037145
1775672512901,ideal,-13.45501058064694
1775672512901,good,-14.91954261901429
1775672512901,realistic,-17.26279388040205
1775672512901,bad,-23.12092203387145
1775672512901,ideal,-15.40525341805414
1775672512901,good,-16.86881013993949
1775672512901,realistic,-19.21050089495605
1775672512901,bad,-25.06472778249745
1775672512901,ideal,-15.72622821025414
1775672512901,good,-17.18962441263949
1775672512901,realistic,-19.53105833645605
1775672512901,bad,-25.38464314599745
1775672512901,ideal,-15.83535963960214
1775672512901,good,-17.29870126535749
1775672512901,realistic,-19.64004786656605
1775672512901,bad,-25.49341436958745
1775672512901,ideal,-16.15633443180214
1775672512901,good,-17.61951553805749
1775672512901,realistic,-19.96060530806605
1775672512901,bad,-25.81332973308745
1775675110973,ideal,-16.22368910817214
1775675110973,good,-17.68683653035249
1775675110973,realistic,-20.02787240584105
1775675110973,bad,-25.88046209456245
1775675110973,ideal,-16.38035231426314
1775675110973,good,-17.84342138917099
1775675110973,realistic,-20.18433190902355
1775675110973,bad,-26.03660820865495
1775675110973,ideal,-16.44918391019014
1775675110973,good,-17.91221856241549
1775675110973,realistic,-20.25307400597605
1775675110973,bad,-26.10521261487745
1775677791097,ideal,-19.83677369461286
1775677791097,good,-21.77472752389501
1775677791097,realistic,-24.87545365074645
1775677791097,bad,-32.62726896787505
1775677848492,ideal,-20.06360786226986
1775677848492,good,-22.15155032319451
1775677848492,realistic,-25.49225826067395
1775677848492,bad,-33.84402810437255
1775677848492,ideal,-21.03065792403444
1775677848492,good,-23.74926884662054
1775677848492,realistic,-28.0990463227583
1775677848492,bad,-38.9734900131027
1775678787538,ideal,-17.4171158789011066666666668
1775678787538,good,-20.78693585532054
1775678787538,realistic,-26.1786478175916333333333334
1775678787538,bad,-39.6579277232693666666666666
1775735474184,ideal,-13.7931645744668666666666668
1775735474184,good,-17.4701408618007
1775735474184,realistic,-23.3533029215348333333333334
1775735474184,bad,-38.0612080708701666666666666
1775738605592,ideal,-14.7756660354668666666666668
1775738605592,good,-18.4531334753007
1775738605592,realistic,-24.3370813790348333333333334
1775738605592,bad,-39.0469511383701666666666666
1775739783180,ideal,-20.7612873512668666666666668
1775739783180,good,-24.9238605806007
1775739783180,realistic,-31.5839777475348333333333334
1775739783180,bad,-48.2342706648701666666666666
1775742829687,ideal,-42.5036226812668666666666668
1775742829687,good,-48.8386592356007
1775742829687,realistic,-58.9747177225348333333333334
1775742829687,bad,-84.3148639398701666666666666
