ts,profile,equity
1775705729994,ideal,-0.22488593324301
1775705729994,good,-0.224998353725535
1775705729994,realistic,-0.225178226497575
1775705729994,bad,-0.225627908427675
1775705736559,ideal,-0.44977186648602
1775705736559,good,-0.44999670745107
1775705736559,realistic,-0.45035645299515
1775705736559,bad,-0.45125581685535
1775717872634,ideal,-0.67452052587975
1775717872634,good,-0.674857718704125
1775717872634,realistic,-0.675397227223125
1775717872634,bad,-0.676745998520625
1775717883716,ideal,-0.78680204769375
1775717883716,good,-0.787195370053125
1775717883716,realistic,-0.787824685828125
1775717883716,bad,-0.789397975265625
