ts,profile,equity
1775679398515,ideal,-0.1079940814974
1775679398515,good,-0.1080480677409
1775679398515,realistic,-0.1081344457305
1775679398515,bad,-0.1083503907045
1775697243822,ideal,-0.1798353183717
1775697243822,good,-0.17992521805095
1775697243822,realistic,-0.18006905753775
1775697243822,bad,-0.18042865625475
1775715873302,ideal,-0.2480246105031
1775715873302,good,-0.24814859801085
1775715873302,realistic,-0.24834697802325
1775715873302,bad,-0.24884292805425
1775732886644,ideal,-0.33158437830648
1775732886644,good,-0.33166657757268
1775732886644,realistic,-0.3317980963986
1775732886644,bad,-0.3321268934634
1775732886644,ideal,-0.7874359896465
1775732886644,good,-0.78729021751275
1775732886644,realistic,-0.78705698209875
1775732886644,bad,-0.78647389356375
