ts,profile,equity
1775659639581,ideal,-0.08916642972
1775659639581,good,-0.08921100402
1775659639581,realistic,-0.0892823229
1775659639581,bad,-0.0894606201
1775659639941,ideal,-0.098083072692
1775659639941,good,-0.098132104422
1775659639941,realistic,-0.09821055519
1775659639941,bad,-0.09840668211
1775659639941,ideal,-0.106999715664
1775659639941,good,-0.107053204824
1775659639941,realistic,-0.10713878748
1775659639941,bad,-0.10735274412
1775659639941,ideal,-0.115916358636
1775659639941,good,-0.115974305226
1775659639941,realistic,-0.11606701977
1775659639941,bad,-0.11629880613
1775659639941,ideal,-0.124833001608
1775659639941,good,-0.124895405628
1775659639941,realistic,-0.12499525206
1775659639941,bad,-0.12524486814
1775659639941,ideal,-0.13374964458
1775659639941,good,-0.13381650603
1775659639941,realistic,-0.13392348435
1775659639941,bad,-0.13419093015
1775659639941,ideal,-0.142666287552
1775659639941,good,-0.142737606432
1775659639941,realistic,-0.14285171664
1775659639941,bad,-0.14313699216
1775659639941,ideal,-0.151582930524
1775659639941,good,-0.151658706834
1775659639941,realistic,-0.15177994893
1775659639941,bad,-0.15208305417
1775659640002,ideal,-0.160499573496
1775659640002,good,-0.160579807236
1775659640002,realistic,-0.16070818122
1775659640002,bad,-0.16102911618
1775659640002,ideal,-0.1708032498192
1775659640002,good,-0.1708886343672
1775659640002,realistic,-0.171025249644
1775659640002,bad,-0.171366787836
1775659640072,ideal,-0.1797198927912
1775659640072,good,-0.1798097347692
1775659640072,realistic,-0.179953481934
1775659640072,bad,-0.180312849846
1775659640072,ideal,-0.1886365357632
1775659640072,good,-0.1887308351712
1775659640072,realistic,-0.188881714224
1775659640072,bad,-0.189258911856
1775659640310,ideal,-1.2187069466508
1775659640310,good,-1.2193161782778
1775659640310,realistic,-1.220290948881
1775659640310,bad,-1.222727875389
1775659640310,ideal,-1.2276235896228
1775659640310,good,-1.2282372786798
1775659640310,realistic,-1.229219181171
1775659640310,bad,-1.231673937399
1775659640310,ideal,-1.2365402325948
1775659640310,good,-1.2371583790818
1775659640310,realistic,-1.238147413461
1775659640310,bad,-1.240619999409
1775659640310,ideal,-1.2454568755668
1775659640310,good,-1.2460794794838
1775659640310,realistic,-1.247075645751
1775659640310,bad,-1.249566061419
1775659922752,ideal,-1.263432605994
