ts,profile,equity
1775658334483,ideal,-0.04386397545
1775658334483,good,-0.043842039075
1775658334483,realistic,-0.043806940875
1775658334483,bad,-0.043719195375
1775658766299,ideal,0.44283564305
1775658766299,good,0.345625375675
1775658766299,realistic,0.190088947875
1775658766299,bad,-0.198752121625
1775658811035,ideal,0.488206717675
1775658811035,good,0.2944194493625
1775658811035,realistic,-0.0156401799375
1775658811035,bad,-0.7907892531875
1775658825009,ideal,0.644287950425
1775658825009,good,-0.3220118610125
1775658825009,realistic,-1.8680915593125
1775658825009,bad,-5.7332908050625
1775658978704,ideal,0.600801899375
1775658978704,good,-0.3654761646875
1775658978704,realistic,-1.9115210671875
1775658978704,bad,-5.7766333234375
1775659018589,ideal,0.164816613875
1775659018589,good,-0.8012434139375
1775659018589,realistic,-2.3469394584375
1775659018589,bad,-6.2111795696875
1775659170659,ideal,0.121204588025
1775659170659,good,-0.8448336294125
1775659170659,realistic,-2.3904947773125
1775659170659,bad,-6.2546476470625
1775659364739,ideal,0.07760718425
1775659364739,good,-0.888409230125
1775659364739,realistic,-2.434035493125
1775659364739,bad,-6.298101150625
1775659677081,ideal,0.034124507525
1775659677081,good,-0.9318701611625
1775659677081,realistic,-2.4774616310625
1775659677081,bad,-6.3414403058125
1775659682707,ideal,-0.041580363472
1775659682707,good,-1.007537172152
1775659682707,realistic,-2.55306806604
1775659682707,bad,-6.41689530076
1775659683889,ideal,-0.476710819972
1775659683889,good,-1.442450019902
1775659683889,realistic,-2.98763273979
1775659683889,bad,-6.85058953951
1775659683889,ideal,-0.911897515222
1775659683889,good,-1.877419078277
1775659683889,realistic,-3.422253579165
1775659683889,bad,-7.284339831385
1775660066802,ideal,-0.955376817622
1775660066802,good,-1.920876636677
1775660066802,realistic,-3.465676347165
1775660066802,bad,-7.327675623385
1775660338292,ideal,-0.998783009647
1775660338292,good,-1.9642611212645
1775660338292,realistic,-3.5090260998525
1775660338292,bad,-7.3709385463225
1775660681373,ideal,-1.042318550797
1775660681373,good,-2.0077748902895
1775660681373,realistic,-3.5525050334775
1775660681373,bad,-7.4143303914475
1775660760040,ideal,-1.085860840597
1775660760040,good,-2.0512954045895
1775660760040,realistic,-3.5959907069775
1775660760040,bad,-7.4577289629475
1775660780029,ideal,-1.521328729597
1775660780029,good,-2.4865455160895
1775660780029,realistic,-4.0308923744775
1775660780029,bad,-7.8917595204475
1775660803333,ideal,-1.5520030894978
1775660803333,good,-2.5172045357423
1775660803333,realistic,-4.0615268497335
1775660803333,bad,-7.9223326347115
1775660812009,ideal,-1.9875722082478
1775660812009,good,-2.9525558263673
1775660812009,realistic,-4.4965296153585
1775660812009,bad,-8.3564640878365
1775660894913,ideal,-2.0310537601978
1775660894913,good,-2.9960156331923
1775660894913,realistic,-4.5399546299835
1775660894913,bad,-8.3998021219615
1775660939618,ideal,-2.4658917751978
1775660939618,good,-3.4306361856923
1775660939618,realistic,-4.9742272424835
1775660939618,bad,-8.8332048844615
1775660957435,ideal,-2.9007410379478
1775660957435,good,-3.8652679803173
1775660957435,realistic,-5.4085110881085
1775660957435,bad,-9.2666188575865
1775660975442,ideal,-3.3356915304478
1775660975442,good,-4.3000009540673
1775660975442,realistic,-5.8428960318585
1775660975442,bad,-9.7001337263365
1775660983749,ideal,-3.7709682076978
1775660983749,good,-4.7350599494423
1775660983749,realistic,-6.2776067362335
1775660983749,bad,-10.1339737032115
1775660987681,ideal,-4.2062448849478
1775660987681,good,-5.1701189448173
1775660987681,realistic,-6.7123174406085
1775660987681,bad,-10.5678136800865
1775660997313,ideal,-4.6413191026978
1775660997313,good,-5.6049755819423
1775660997313,realistic,-7.1468259487335
1775660997313,bad,-11.0014518657115
1775661001217,ideal,-5.0765282934478
1775661001217,good,-6.0399671245673
1775661001217,realistic,-7.5814692543585
1775661001217,bad,-11.4352245788365
1775661007787,ideal,-5.5116699976978
1775661007787,good,-6.4748912144423
1775661007787,realistic,-8.0160451612335
1775661007787,bad,-11.8689300282115
1775661012212,ideal,-5.9468904361978
1775661012212,good,-6.9098939991923
1775661012212,realistic,-8.4506996999835
1775661012212,bad,-12.3027139519615
1775661017294,ideal,-6.3822233521978
1775661017294,good,-7.3450092051923
1775661017294,realistic,-8.8854665699835
1775661017294,bad,-12.7366099819615
1775661019592,ideal,-6.8176012591978
1775661019592,good,-7.7801693796923
1775661019592,realistic,-9.3202783724835
1775661019592,bad,-13.1705508544615
1775661019592,ideal,-7.2529791661978
1775661019592,good,-8.2153295541923
1775661019592,realistic,-9.7550901749835
1775661019592,bad,-13.6044917269615
1775661024439,ideal,-7.6882333479478
1775661024439,good,-8.6503660653173
1775661024439,realistic,-10.1897784131085
1775661024439,bad,-14.0383092825865
1775661024439,ideal,-8.1234875296978
1775661024439,good,-9.0854025764423
1775661024439,realistic,-10.6244666512335
1775661024439,bad,-14.4721268382115
1775661061952,ideal,-8.5588541889478
1775661061952,good,-9.5205515088173
1775661061952,realistic,-11.0592672206085
1775661061952,bad,-14.9060565000865
1775661078046,ideal,-8.7397645251427
1775661078046,good,-9.70137137174945
1775661078046,realistic,-11.23994232632025
1775661078046,bad,-15.08636971274725
1775661078486,ideal,-9.1751761753927
1775661078486,good,-10.13656527262445
1775661078486,realistic,-11.67478782819525
1775661078486,bad,-15.52034421712225
