ts,profile,equity
1775658247068,ideal,-0.560866240818
1775658247068,good,-0.561146617863
1775658247068,realistic,-0.561595221135
1775658247068,bad,-0.562716729315
1775658295206,ideal,-18.2839193556606
1775658295206,good,-18.2930594873121
1775658295206,realistic,-18.3076836979545
1775658295206,bad,-18.3442442245605
1775658302914,ideal,-18.3000057973056
1775658302914,good,-18.3091539705696
1775658302914,realistic,-18.323791047792
1775658302914,bad,-18.360383740848
1775658302914,ideal,-18.3051533866176
1775658302914,good,-18.3143041331616
1775658302914,realistic,-18.328945327632
1775658302914,bad,-18.365548313808
1775658302914,ideal,-18.3106227002616
1775658302914,good,-18.3197761809156
1775658302914,realistic,-18.334421749962
1775658302914,bad,-18.371035672578
1775658302914,ideal,-18.3160920904209
1775658302914,good,-18.32524830522315
1775658302914,realistic,-18.33989824890675
1775658302914,bad,-18.37652310811575
1775658634484,ideal,-79.21241769768089999999999759
1775658634484,good,-118.6471786806331499999999996
1775658634484,realistic,-181.7427962533567499999999995
1775658634484,bad,-339.4818401851657500000000021
1775658678778,ideal,-79.22588446678829999999999759
1775658678778,good,-118.6606387150090499999999996
1775658678778,realistic,-181.7562455121622499999999995
1775658678778,bad,-339.4952625050452500000000021
1775658678778,ideal,-109.2679009735658999999999976
1775658678778,good,-148.6876312087306499999999996
1775658678778,realistic,-211.7591995849942499999999995
1775658678778,bad,-369.4381205256532500000000021
1775658726024,ideal,-109.4026225424918999999999976
1775658726024,good,-148.8224201249716499999999996
1775658726024,realistic,-211.8940962569392499999999995
1775658726024,bad,-369.5732865868582500000000021
1775658745881,ideal,-109.4186357392118999999999976
1775658745881,good,-148.8384253134916499999999996
1775658745881,realistic,-211.9100886323392499999999995
1775658745881,bad,-369.5892469294582500000000021
1775658745881,ideal,-109.4903738527190999999999976
1775658745881,good,-148.9101275507668499999999996
1775658745881,realistic,-211.9817334676432499999999995
1775658745881,bad,-369.6607482598342500000000021
1775658745881,ideal,-113.9894416031702999999999976
1775658745881,good,-153.4069453173460499999999996
1775658745881,realistic,-216.4749512600272499999999995
1775658745881,bad,-374.1449661167302500000000021
1775658745881,ideal,-130.0026383231702999999999976
1775658745881,good,-169.4121338373460499999999996
1775658745881,realistic,-232.4673266600272499999999995
1775658745881,bad,-390.1053087167302500000000021
1775658745881,ideal,-130.0151287920767999999999976
1775658745881,good,-169.4246180597687999999999996
1775658745881,realistic,-232.4798008880759999999999995
1775658745881,bad,-390.1177579588440000000000021
1775658745881,ideal,-130.0868699289791999999999976
1775658745881,good,-169.4963233189271999999999996
1775658745881,realistic,-232.5514487428439999999999995
1775658745881,bad,-390.1892623026360000000000021
1775658745881,ideal,-130.1028835756091999999999976
1775658745881,good,-169.5123289571321999999999996
1775658745881,realistic,-232.5674415675689999999999995
1775658745881,bad,-390.2052230936610000000000021
1775658745881,ideal,-130.1080079425307999999999976
1775658745881,good,-169.5174507613577999999999996
1775658745881,realistic,-232.5725592714809999999999995
1775658745881,bad,-390.2103305467890000000000021
1775658745881,ideal,-133.2606418236239999999999976
1775658745881,good,-172.6685080101839999999999996
1775658745881,realistic,-235.7210939086799999999999995
1775658745881,bad,-393.3525586549200000000000021
1775658745881,ideal,-141.4804466388029999999999976
1775658745881,good,-180.8842021008104999999999996
1775658745881,realistic,-243.9302108400224999999999995
1775658745881,bad,-401.5452326880525000000000021
1775658745881,ideal,-141.4932573761429999999999976
1775658745881,good,-180.8970064315004999999999996
1775658745881,realistic,-243.9430049200724999999999995
1775658745881,bad,-401.5580011415025000000000021
1775658745881,ideal,-141.6213611502629999999999976
1775658745881,good,-181.0250461409204999999999996
1775658745881,realistic,-244.0709421259724999999999995
1775658745881,bad,-401.6856820886025000000000021
1775658745881,ideal,-141.6661987309529999999999976
1775658745881,good,-181.0698612983354999999999996
1775658745881,realistic,-244.1157214061474999999999995
1775658745881,bad,-401.7303716756775000000000021
1775658748044,ideal,-132.7528140516680853767899324
1775658748044,good,-202.0603509021158408852032212
1775658748044,realistic,-312.9524098628322496986644799
1775658748044,bad,-590.1825572646232717323176339
1775658748044,ideal,-111.8394504175788669688057507
1775658748044,good,-251.3100756404231463912058268
1775658748044,realistic,-474.4630759969739934670459452
1775658748044,bad,-1032.345576888351111156646258
1775658748377,ideal,-111.9144074159808669688057507
1775658748377,good,-251.3850701098301463912058268
1775658748377,realistic,-474.5381304199889934670459452
1775658748377,bad,-1032.420781195386111156646258
1775658750839,ideal,-105.9188036870718000000000065
1775658750839,good,-293.023002159751300000000004
1775658750839,realistic,-592.3897197160384999999999967
1775658750839,bad,-1340.806513606756500000000002
1775658750839,ideal,-107.0250273950733000000000065
1775658750839,good,-294.129778869006550000000004
1775658750839,realistic,-593.4973812272997499999999967
1775658750839,bad,-1341.916387123032750000000002
1775658750912,ideal,-107.9816461065585000000000065
1775658750912,good,-295.086875794204750000000004
1775658750912,realistic,-594.4552432944387499999999967
1775658750912,bad,-1342.876162045023750000000002
1775658754836,ideal,-115.4804926429719000000000065
1775658754836,good,-302.589471004151650000000004
1775658754836,realistic,-601.9638363820392499999999967
1775658754836,bad,-1350.399749826758250000000002
1775658844880,ideal,-115.5099173667399000000000065
1775658844880,good,-302.618910437339650000000004
1775658844880,realistic,-601.9932993502992499999999967
1775658844880,bad,-1350.429271632698250000000002
1775658844880,ideal,-115.6237782543639000000000065
1775658844880,good,-302.732828244023650000000004
1775658844880,realistic,-602.1073082274792499999999967
1775658844880,bad,-1350.543508186118250000000002
1775658845287,ideal,-117.0978929483499000000000065
1775658845287,good,-304.207679847974650000000004
1775658845287,realistic,-603.5833388873742499999999967
1775658845287,bad,-1352.022486485873250000000002
1775658845432,ideal,-117.2494942425459000000000065
1775658845432,good,-304.359356927660650000000004
1775658845432,realistic,-603.7351372238442499999999967
1775658845432,bad,-1352.174587964303250000000002
1775658857540,ideal,-117.8424663932619000000000065
1775658857540,good,-304.952625505166650000000004
1775658857540,realistic,-604.3288800842142499999999967
1775658857540,bad,-1352.769516531833250000000002
1775658857759,ideal,-156.9910975798671000000000065
1775658857759,good,-344.120827093284850000000004
1775658857759,realistic,-643.5283943147532499999999967
1775658857759,bad,-1392.047312368424250000000002
1775658859724,ideal,-259.5739074605020060295615834
1775658859724,good,-546.69119110067472248928442
1775658859724,realistic,-1006.078844924951068824840938
1775658859724,bad,-2154.5479794856419346637323
1775658860842,ideal,-259.5774240991891060295615834
1775658860842,good,-546.69470949732957248928442
1775658860842,realistic,-1006.082366134354318824840938
1775658860842,bad,-2154.5515077269161846637323
1775658870450,ideal,-351.2232946968457000000000104
1775658870450,good,-686.2091745577099500000000116
1775658870450,realistic,-1222.186582335092749999999986
1775658870450,bad,-2562.130101778549750000000013
1775658870450,ideal,-392.1089466786961000000000104
1775658870450,good,-727.0743796241863500000000116
1775658870450,realistic,-1263.019072336970749999999986
1775658870450,bad,-2602.880804118931750000000013
1775658870450,ideal,-414.2433052309342000000000104
1775658870450,good,-749.1976687832697000000000116
1775658870450,realistic,-1285.124650467006499999999986
1775658870450,bad,-2624.942104676348500000000013
1775658870450,ideal,-429.3936279032656000000000104
1775658870450,good,-764.3404147789296000000000116
1775658870450,realistic,-1300.255273779991999999999986
1775658870450,bad,-2640.042421282648000000000013
1775658870450,ideal,-429.3987389528512000000000104
1775658870450,good,-764.3455232724792000000000116
1775658870450,realistic,-1300.260378183883999999999986
1775658870450,bad,-2640.047515462396000000000013
1775658870450,ideal,-429.5434455442435000000000104
1775658870450,good,-764.4901574961022500000000116
1775658870450,realistic,-1300.404896619076249999999986
1775658870450,bad,-2640.191744426511250000000013
1775658878786,ideal,-430.6627317699360133520567636
1775658878786,good,-766.5498928273690319491001452
1775658878786,realistic,-1303.969350519261861704369528
1775658878786,bad,-2647.517994748993936092543076
1775658878916,ideal,-441.6062062348828300759047016
1775658878916,good,-786.6883171953814883925300767
1775658878916,realistic,-1338.819694732179341699130647
1775658878916,bad,-2719.148138574173974965632164
1775658901692,ideal,-483.1749049931462566555455366
1775658901692,good,-928.3000779738958334425751845
1775658901692,realistic,-1640.500354743095156301822566
1775658901692,bad,-3421.001046666093463449941118
1775658901692,ideal,-520.6580699514433999999999993
1775658901692,good,-1035.869896672551900000000023
1775658901692,realistic,-1860.208819426325499999999987
1775658901692,bad,-3921.056126310759500000000002
1775658901692,ideal,-530.4013844046793999999999993
1775658901692,good,-1045.618081808877900000000023
1775658901692,realistic,-1869.964797655595499999999987
1775658901692,bad,-3930.831587272389500000000002
1775658901692,ideal,-533.6702411653033999999999993
1775658901692,good,-1048.888572671061900000000023
1775658901692,realistic,-1873.237903080275499999999987
1775658901692,bad,-3934.111229103309500000000002
1775658901692,ideal,-581.3595927950859999999999993
1775658901692,good,-1126.496588157801000000000023
1775658901692,realistic,-1998.715780738144999999999987
1775658901692,bad,-4179.263762189005000000000002
1775658906180,ideal,-633.3239973732995999999999993
1775658906180,good,-1219.302826511548600000000023
1775658906180,realistic,-2156.868953132746999999999987
1775658906180,bad,-4500.784269685743000000000002
1775658917926,ideal,-633.3459594729875999999999993
1775658917926,good,-1219.335447760456600000000023
1775658917926,realistic,-2156.918629020406999999999987
1775658917926,bad,-4500.876582170283000000000002
1775658929067,ideal,-634.8729433136885999999999993
1775658929067,good,-1220.863194940410100000000023
1775658929067,realistic,-2158.447597543164499999999987
1775658929067,bad,-4502.408604050050500000000002
1775658934350,ideal,-634.9530358827632999999999993
1775658934350,good,-1221.137124248421550000000023
1775658934350,realistic,-2159.031665633474749999999987
1775658934350,bad,-4503.768019096107750000000002
1775658934350,ideal,-636.6789867394169999999999993
1775658934350,good,-1227.040150325459500000000023
1775658934350,realistic,-2171.618012063127499999999987
1775658934350,bad,-4533.062666407297500000000002
1775658934350,ideal,-644.9085715566858999999999993
1775658934350,good,-1255.186637574650650000000023
1775658934350,realistic,-2231.631543203394249999999987
1775658934350,bad,-4672.743807275253250000000002
1775658935738,ideal,-661.0833146658462999999999993
1775658935738,good,-1276.301698951712050000000023
1775658935738,realistic,-2260.651113809097249999999987
1775658935738,bad,-4721.524650952560250000000002
1775658935738,ideal,-706.0914533736222999999999993
1775658935738,good,-1321.332337228928050000000023
1775658935738,realistic,-2305.717751397417249999999987
1775658935738,bad,-4766.681286818640250000000002
1775658935738,ideal,-751.0999351895061999999999993
1775658935738,good,-1366.363318785771700000000023
1775658935738,realistic,-2350.784732539796499999999987
1775658935738,bad,-4811.838266924858500000000002
1775658938493,ideal,-796.1082667878525999999999993
1775658938493,good,-1411.394150049984100000000023
1775658938493,realistic,-2395.851563269394499999999987
1775658938493,bad,-4856.995096317920500000000002
1775658940445,ideal,-821.0032910971125999999999993
1775658940445,good,-1436.301619382394100000000023
1775658940445,realistic,-2420.778944638844499999999987
1775658940445,bad,-4881.972257779970500000000002
1775658945198,ideal,-866.0107154175396999999999993
1775658945198,good,-1481.331542915138950000000023
1775658945198,realistic,-2465.844866911297749999999987
1775658945198,bad,-4927.128176901694750000000002
1775658945198,ideal,-866.0633914756446999999999993
1775658945198,good,-1481.384245306006450000000023
1775658945198,realistic,-2465.897611434585249999999987
1775658945198,bad,-4927.181026756032250000000002
1775659384808,ideal,-911.0714878164489999999999993
1775659384808,good,-1526.414841195071500000000023
1775659384808,realistic,-2510.964206600867499999999987
1775659384808,bad,-4972.337620115357500000000002
1775659384808,ideal,-923.9458207681689999999999993
1775659384808,good,-1539.295610026091500000000023
1775659384808,realistic,-2523.855272838767499999999987
1775659384808,bad,-4985.254429870457500000000002
1775659547488,ideal,-826.6880270009392450586456989
1775659547488,good,-1539.519532767153471835819612
1775659547488,realistic,-2680.049941993096234679297807
1775659547488,bad,-5531.375965057953141787993366
1775659604528,ideal,-785.2923540140933554696939692
1775659604528,good,-1529.459243136686883441834414
1775659604528,realistic,-2720.126265732836528197259061
1775659604528,bad,-5696.793822223210640085820741
1775659643308,ideal,-802.3040939262422554696939692
1775659643308,good,-1546.479487217958033441834414
1775659643308,realistic,-2737.160116484703278197259061
1775659643308,bad,-5713.861689651566390085820741
1775659647872,ideal,-825.8356228089458554696939692
1775659647872,good,-1570.022779512420633441834414
1775659647872,realistic,-2760.722230237980278197259061
1775659647872,bad,-5737.470857051879390085820741
1775659694006,ideal,-825.8410563899447554696939692
1775659694006,good,-1570.028215809666783441834414
1775659694006,realistic,-2760.727670881222028197259061
1775659694006,bad,-5737.476308560110140085820741
1775659921251,ideal,-825.8709192555428176140046231
1775659921251,good,-1570.072972088343028980538345
1775659921251,realistic,-2760.796256620823367166992234
1775659921251,bad,-5737.604467952024212633127021
1775659921251,ideal,-825.8950939562650583974942
1775659921251,good,-1570.109203361557132511870098
1775659921251,realistic,-2760.851778410024451094871469
1775659921251,bad,-5737.708216031192747552374962
1775659921251,ideal,-825.9661960172128254077576616
1775659921251,good,-1570.215765929833907604022314
1775659921251,realistic,-2761.015077790027639118045691
1775659921251,bad,-5738.0133574405119679031042
1775659921251,ideal,-826.3928083828994274693384312
1775659921251,good,-1570.855141339494558156935608
1775659921251,realistic,-2761.994874070046767257091023
1775659921251,bad,-5739.844205896427290007479627
1775659921251,ideal,-826.4168131941063682528280081
1775659921251,good,-1570.891202808155111688267361
1775659921251,realistic,-2762.050226190633101184970258
1775659921251,bad,-5739.947784646828074926727568
1775659921251,ideal,-894.1315615134502077965140335
1775659921251,good,-1672.616363373851852571457329
1775659921251,realistic,-2918.19204635049448421136654
1775659921251,bad,-6032.131253792101063311139609
1775659921251,ideal,-914.9155142591969261750594758
1775659921251,good,-1703.622017897116940635254994
1775659921251,realistic,-2965.552423717788963771567762
1775659921251,bad,-6120.378438269469021612349717
1775659921251,ideal,-914.9381070226858116183437835
1775659921251,good,-1703.655958102915108664743703
1775659921251,realistic,-2965.604519831281983938983513
1775659921251,bad,-6120.475924152199172124583073
1775659921251,ideal,-915.3617213381024136799245531
1775659921251,good,-1704.292336961630759217656997
1775659921251,realistic,-2966.581321959276112078028845
1775659921251,bad,-6122.3037844533894942289585
1775659921251,ideal,-915.38606592833995446341413
1775659921251,good,-1704.32873803939841274898875
1775659921251,realistic,-2966.63701341709194600590808
1775659921251,bad,-6122.407701861325779148206441
1775659921319,ideal,-1034.859546046140645810175279
1775659921319,good,-1882.560159874341575947053019
1775659921319,realistic,-3238.881141999463064166057352
1775659921319,bad,-6629.683597312266784713568176
1775659927492,ideal,-1034.987065515323582508271045
1775659927492,good,-1882.716782546365535908845094
1775659927492,realistic,-3239.084329796032661349763521
1775659927492,bad,-6630.003197920200474952059579
1775659939021,ideal,-1070.304116923887807727620378
1775659939021,good,-1931.778706401272774638102121
1775659939021,realistic,-3310.138049565088721694872859
1775659939021,bad,-6756.036407474628589336799686
1775659947789,ideal,-1258.175467544659858237561258
1775659947789,good,-2219.679144508892841570013577
1775659947789,realistic,-3758.085027651665614901937257
1775659947789,bad,-7604.099735508597548231746361
1775659967193,ideal,-1303.183717960272958237561258
1775659967193,good,-2264.709894549788691570013577
1775659967193,realistic,-3803.151777093013864901937257
1775659967193,bad,-7649.256483451076798231746361
1775660173449,ideal,-1319.038554628072138640593242
1775660173449,good,-2283.79789342330662781207927
1775660173449,realistic,-3827.412835495681810486456885
1775660173449,bad,-7686.450190676619767172400826
1775660173449,ideal,-1385.07137415649387879588997
1775660173449,good,-2363.296308398065811348777367
1775660173449,realistic,-3928.456203184580903433397169
1775660173449,bad,-7841.355940150868633644946584
1775660179593,ideal,-1514.370321440398137003864734
1775660179593,good,-2535.652138687210973505066456
1775660179593,realistic,-4169.703046282111511906989183
1775660179593,bad,-8254.830315269362857911795887
1775660181353,ideal,-1618.73465298776770328861548
1775660181353,good,-2670.853278923425455589799582
1775660181353,realistic,-4354.243080420477859271694118
1775660181353,bad,-8562.717584163108868476430332
1775660183289,ideal,-1663.74310797378670328861548
1775660183289,good,-2715.884233636991955589799582
1775660183289,realistic,-4399.310034698120359271694118
1775660183289,bad,-8607.874537350941368476430332
1775660202780,ideal,-1706.27191918321630328861548
1775660202780,good,-2758.434304999995555589799582
1775660202780,realistic,-4441.894122306842359271694118
1775660202780,bad,-8650.543665573959368476430332
1775660202780,ideal,-1751.27591267461480328861548
1775660202780,good,-2803.460795988640305589799582
1775660202780,realistic,-4486.956609291081109271694118
1775660202780,bad,-8695.696142547183118476430332
1775660215430,ideal,-1753.240761689355494728807752
1775660215430,good,-2805.780357203448353904337081
1775660215430,realistic,-4489.843710025996928585183981
1775660215430,bad,-8700.002092082368365287301103
1775660418727,ideal,-1768.324713278511988905180464
1775660418727,good,-2824.506194172588429611491823
1775660418727,realistic,-4514.396563603110734741589971
1775660418727,bad,-8739.122487179416497566835213
1775660583594,ideal,-1776.435641968521146032191002
1775660583594,good,-2834.926505703424925849243718
1775660583594,realistic,-4528.511887679270973556528037
1775660583594,bad,-8762.475342618886092824738707
1775660603678,ideal,-1775.383902875584505235796078
1775660603678,good,-2834.855896482667380913278511
1775660603678,realistic,-4530.011086253999981997250377
1775660603678,bad,-8767.899060682331484707179913
1775660603749,ideal,-1770.684513749341595781384078
1775660603749,good,-2834.540399791074420014428193
1775660603749,realistic,-4536.70981745784693878729875
1775660603749,bad,-8792.133361624778235719475011
1775660603949,ideal,-1770.641957832286355980373879
1775660603949,good,-2834.537542770581340161527867
1775660603949,realistic,-4536.77047867185331485137422
1775660603949,bad,-8792.352818425033251575989973
1775660604757,ideal,-1770.593322498508939064933651
1775660604757,good,-2834.534277604303534615356066
1775660604757,realistic,-4536.8398057735748874960319
1775660604757,bad,-8792.603626196753269697721358
1775660654740,ideal,-1772.671882025444539064933651
1775660654740,good,-2836.611797643578134615356066
1775660654740,realistic,-4538.9156626325918874960319
1775660654740,bad,-8794.675325105126269697721358
1775660704909,ideal,-1719.093535324654172883777329
1775660704909,good,-2814.443112837188493106174767
1775660704909,realistic,-4567.002436857243405462010651
1775660704909,bad,-8948.400746907380686351600205
1775660722022,ideal,-1699.304957944496670390685988
1775660722022,good,-2809.121962452731771705618372
1775660722022,realistic,-4584.829169665907933809510175
1775660722022,bad,-9024.097187698848339069239513
1775660725895,ideal,-1706.804884795069470390685988
1775660725895,good,-2816.618138589736571705618372
1775660725895,realistic,-4592.319344661203933809510175
1775660725895,bad,-9031.572359839872339069239513
1775660735552,ideal,-1705.060192491307220638987519
1775660735552,good,-2816.063230179390757541926452
1775660735552,realistic,-4593.668090480324416586628734
1775660735552,bad,-9037.68024123265856419838427
1775660833075,ideal,-1596.43173497850601861978731
1775660833075,good,-2783.711211978970678697081762
1775660833075,realistic,-4683.35837517971413482075291
1775660833075,bad,-9432.476283181572775129930533
1775660927623,ideal,-1541.977453909249676308529277
1775660927623,good,-2788.641874560161618758193618
1775660927623,realistic,-4783.304947601620726677656616
1775660927623,bad,-9769.962630205268496476313806
1775660928033,ideal,-1541.857204171880830537334869
1775660928033,good,-2788.652762792800087101290754
1775660928033,realistic,-4783.525656586270897603620224
1775660928033,bad,-9770.707891069947923859443591
1775661036633,ideal,-1542.016623031730830537334869
1775661036633,good,-2788.812101927275087101290754
1775661036633,realistic,-4783.684868160145897603620224
1775661036633,bad,-9770.866783742322923859443591
1775661086033,ideal,-1507.410467056385949411573557
1775661086033,good,-2835.893244865466326310899477
1775661086033,realistic,-4961.46568935999492934982104
1775661086033,bad,-10275.39680059631643694712456
1775661271250,ideal,-1349.730802749204604099782576
1775661271250,good,-2778.070299783498347653121785
1775661271250,realistic,-5063.413495038368337338464656
1775661271250,bad,-10776.77148317554331155182135
1775661305266,ideal,-1058.727718849042243862667235
1775661305266,good,-2586.863074964381697093952285
1775661305266,realistic,-5031.879644748924822264008546
1775661305266,bad,-11144.42106921028263518914862
1775661319374,ideal,-1029.136726818930837888507077
1775661319374,good,-2567.774525096531783118405323
1775661319374,realistic,-5029.595002340693295486242702
1775661319374,bad,-11184.14619545109707640583556
1775661319374,ideal,-777.5493226845239786504256192
1775661319374,good,-2405.480584256169411553170244
1775661319374,realistic,-5010.170602770802104197561869
1775661319374,bad,-11521.89564905738383580854025
1775661336467,ideal,-715.6899933431139905834957193
1775661336467,good,-2362.552905772415187339436238
1775661336467,realistic,-4997.533565659297102148941301
1775661336467,bad,-11584.98521537650188917270326
1775661350899,ideal,-759.1363071462467448191334988
1775661350899,good,-2422.651749735599885586758535
1775661350899,realistic,-5084.276457878564910814958828
1775661350899,bad,-11738.33822823597747388545886
1775661587651,ideal,-399.1323983820814542356378184
