ts,profile,equity
1775672456073,ideal,-1.79960879979
1775672456073,good,-1.800508424265
1775672456073,realistic,-1.801947823425
1775672456073,bad,-1.805546321325
1775672456073,ideal,-25.15690332459
1775672456073,good,-25.169479261065
1775672456073,realistic,-25.189600759425
1775672456073,bad,-25.239904505325
1775672456073,ideal,-26.08720829838
1775672456073,good,-26.10024929433
1775672456073,realistic,-26.12111488785
1775672456073,bad,-26.17327887165
1775672456073,ideal,-33.75671624325
1775672456073,good,-33.773591226375
1775672456073,realistic,-33.800591199375
1775672456073,bad,-33.868091131875
1775672511572,ideal,-84.07520382843
1775672511572,good,-84.117233024505
1775672511572,realistic,-84.184479738225
1775672511572,bad,-84.352596522525
1775672513769,ideal,-90.01794373875
1775672513769,good,-90.062943710625
1775672513769,realistic,-90.134943665625
1775672513769,bad,-90.314943553125
1775681617684,ideal,-90.4321043154006
1775681617684,good,-90.5028763614021
1775681617684,realistic,-90.6161116350045
1775681617684,bad,-90.8991998190105
1775681617684,ideal,-101.2514762988006
1775681617684,good,-101.9829708033021
1775681617684,realistic,-103.1533620105045
1775681617684,bad,-106.0793400285105
1775681617684,ideal,-112.9291726376091
1775681617684,good,-114.36592434538185
1775681617684,realistic,-116.66472707781825
1775681617684,bad,-122.41173390890925
1775681617684,ideal,-120.8817160919852
1775681617684,good,-122.8077623869482
1775681617684,realistic,-125.889436458889
1775681617684,bad,-133.593621638741
1775681617684,ideal,-121.2647376948044
1775681617684,good,-123.2145732368154
1775681617684,realistic,-126.334310104033
1775681617684,bad,-134.133652272077
1775681617684,ideal,-122.0733388563116
1775681617684,good,-124.0733961420906
1775681617684,realistic,-127.273487799337
1775681617684,bad,-135.273716942453
1775681617684,ideal,-134.3441733773313
1775681617684,good,-137.10781096190955
1775681617684,realistic,-141.52963109723475
1775681617684,bad,-152.58418143554775
1775681617684,ideal,-135.1527745388385
1775681617684,good,-137.96663386718475
1775681617684,realistic,-142.46880879253875
1775681617684,bad,-153.72424610592375
1775681617684,ideal,-136.7911870477405
1775681617684,good,-139.70381392334175
1775681617684,realistic,-144.36401692430375
1775681617684,bad,-156.01452442670875
1775681617684,ideal,-307.2506835126589
1775681617684,good,-320.23526303055615
1775681617684,realistic,-341.01059025919175
1775681617684,bad,-392.94890833078075
1775681617684,ideal,-308.5061432107885
1775681617684,good,-321.56869859400975
1775681617684,realistic,-342.46878720716375
1775681617684,bad,-394.71900874004875
1775681617684,ideal,-332.8145910658769
1775681617684,good,-347.33447969181915
1775681617684,realistic,-370.56630149332675
1775681617684,bad,-428.64585599709575
1775681617684,ideal,-345.1778055092162
1775681617684,good,-360.4612282347567
1775681617684,realistic,-384.9147045956215
1775681617684,bad,-446.0483954977835
1775681617684,ideal,-356.0571384980162
1775681617684,good,-372.0012536955567
1775681617684,realistic,-397.5118380116215
1775681617684,bad,-461.2882988017835
1775681617684,ideal,-419.7204438289298
1775681617684,good,-439.5815587737543
1775681617684,realistic,-471.3593426854735
1775681617684,bad,-550.8038024647715
1775681617684,ideal,-452.2342416077474
1775681617684,good,-474.0481862196159
1775681617684,realistic,-508.9504975986055
1775681617684,bad,-596.2062760460795
1775681617684,ideal,-457.6178230251506
1775681617684,good,-479.7661387205271
1775681617684,realistic,-515.2034438331295
1775681617684,bad,-603.7967066146355
1775681617684,ideal,-458.0319836018012
1775681617684,good,-480.2060713713042
1775681617684,realistic,-515.684611802509
1775681617684,bad,-604.380962880521
1775681617684,ideal,-471.6901929910644
1775681617684,good,-494.6861200237254
1775681617684,realistic,-531.479603275983
1775681617684,bad,-623.463311406627
1775681617684,ideal,-472.1849292280392
1775681617684,good,-495.2115840381372
1775681617684,realistic,-532.054231734294
1775681617684,bad,-624.160850974686
1775681617684,ideal,-489.4641303022008
1775681617684,good,-513.5173148177028
1775681617684,realistic,-552.002410042506
1775681617684,bad,-648.215148104514
1775681617684,ideal,-502.720396699837
1775681617684,good,-527.5639801619295
1775681617684,realistic,-567.3137137012775
1775681617684,bad,-666.6880475496475
1775681617684,ideal,-514.6170044695769
1775681617684,good,-540.18172285476915
1775681617684,realistic,-581.08527227107675
1775681617684,bad,-683.34414581184575
1775681617684,ideal,-883.8736950121153
1775681617684,good,-931.53557148365355
1775681617684,realistic,-1007.79457383811475
1775681617684,bad,-1198.44207972426775
1775681617684,ideal,-900.9025594594793
1775681617684,good,-949.57243909942755
1775681617684,realistic,-1027.44424652334475
1775681617684,bad,-1222.12376508313775
1775681617684,ideal,-949.9715257240937
1775681617684,good,-1001.53552870557795
1775681617684,realistic,-1084.03793347595275
1775681617684,bad,-1290.29394540188975
1775681617684,ideal,-953.1998070664763
1775681617684,good,-1004.95770568641705
1775681617684,realistic,-1087.77034347832225
1775681617684,bad,-1294.80193795808525
1775681617684,ideal,-1015.7701570566139
1775681617684,good,-1071.27240737189865
1775681617684,realistic,-1160.07600787635425
1775681617684,bad,-1382.08500913749325
1775681617684,ideal,-1026.7094510508139
1775681617684,good,-1082.87236385159865
1775681617684,realistic,-1172.73302433285425
1775681617684,bad,-1397.38467553599325
1775681617684,ideal,-1029.1458940243027
1775681617684,good,-1085.46013286880945
1775681617684,realistic,-1175.56291502002025
1775681617684,bad,-1400.81987039804725
1775681617684,ideal,-1034.6997072651811
1775681617684,good,-1091.35889019188385
1775681617684,realistic,-1182.01358287460825
1775681617684,bad,-1408.65031458141925
1775681617684,ideal,-1046.1157149518817
1775681617684,good,-1103.47728835283595
1775681617684,realistic,-1195.25580579436275
1775681617684,bad,-1424.70209939817975
1775681617684,ideal,-1054.3102703446929
1775681617684,good,-1112.17134236767515
1775681617684,realistic,-1204.74905760444675
1775681617684,bad,-1436.19334569637575
1775681617684,ideal,-1062.2286263178638
1775681617684,good,-1120.5696841600233
1775681617684,realistic,-1213.9153767074785
1775681617684,bad,-1447.2796080761165
1775681617684,ideal,-1063.3193642010054
1775681617684,good,-1121.7271560210189
1775681617684,realistic,-1215.1796229330405
