ts,profile,equity
1775658262425,ideal,-12.36333992355
1775658262425,good,-12.369520357425
1775658262425,realistic,-12.379409051625
1775658262425,bad,-12.404130787125
1775658262425,ideal,-24.7266798471
1775658262425,good,-24.73904071485
1775658262425,realistic,-24.75881810325
1775658262425,bad,-24.80826157425
1775658288030,ideal,-25.2085642047
1775658288030,good,-25.22116596645
1775658288030,realistic,-25.24132878525
1775658288030,bad,-25.29173583225
1775658328671,ideal,10.0989326524656050955414025
1775658328671,good,-17.40562959375891719745223055
1775658328671,realistic,-61.4129291877181528662420365
1775658328671,bad,-171.431178172616242038216561
1775658340941,ideal,38.480933385931210191082805
1775658340941,good,-16.5121259040178343949044611
1775658340941,realistic,-104.501020767936305732484073
1775658340941,bad,-324.473257927732484076433122
1775658554050,ideal,38.475463689710710191082805
1775658554050,good,-16.5175983345395843949044611
1775658554050,realistic,-104.506497573340055732484073
1775658554050,bad,-324.478745670341234076433122
1775658646360,ideal,26.125293399560710191082805
1775658646360,good,-28.8739424750645843949044611
1775658646360,realistic,-116.872719874465055732484073
1775658646360,bad,-336.869663372966234076433122
1775658646360,ideal,25.088199878832010191082805
1775658646360,good,-29.9115544388650343949044611
1775658646360,realistic,-117.911161347180305732484073
1775658646360,bad,-337.910178617968484076433122
1775658646796,ideal,25.068948809388010191082805
1775658646796,good,-29.9308151319190343949044611
1775658646796,realistic,-117.930437438010305732484073
1775658646796,bad,-337.929493203238484076433122
1775658647411,ideal,12.735430318932010191082805
1775658647411,good,-42.2704991485150343949044611
1775658647411,realistic,-130.279986296430305732484073
1775658647411,bad,-350.303704166218484076433122
1775658658719,ideal,12.03113227765452745865716371
1775658658719,good,-44.97352234111289179376302867
1775658658719,realistic,-136.1809697311407625976353225
1775658658719,bad,-364.1995882062104396073160766
1775658683020,ideal,12.01509859316872792613802621
1775658683020,good,-45.00238088613782639903387539
1775658683020,realistic,-136.230348053028313319308904
1775658683020,bad,-364.300265970254530619996495
