ts,profile,equity
1775677257620,ideal,-0.4423743951876
1775677257620,good,-0.4425955381566
1775677257620,realistic,-0.442949366907
1775677257620,bad,-0.443833938783
1775679105661,ideal,-2.2426682904693
1775679105661,good,-2.24378940039255
1775679105661,realistic,-2.24558317626975
1775679105661,bad,-2.25006761596275
1775689017809,ideal,-54.34462872248849999999999899
1775689017809,good,-59.30340115245974999999999975
1775689017809,realistic,-67.2374370404137500000000005
1775689017809,bad,-87.07252676029874999999999902
1775689017809,ideal,-55.04043656508209999999999899
1775689017809,good,-59.99886102153734999999999975
1775689017809,realistic,-67.9323401518657500000000005
1775689017809,bad,-87.76603797768674999999999902
1775690057450,ideal,-56.25361866559049999999999899
1775690057450,good,-62.38711701831674999999999975
1775690057450,realistic,-72.2007143826787500000000005
1775690057450,bad,-96.73470779358374999999999902
1775690057450,ideal,-56.32942840326449999999999899
1775690057450,good,-62.53635517517574999999999975
1775690057450,realistic,-72.4674380102337500000000005
1775690057450,bad,-97.29514509787874999999999902
1775690057450,ideal,-58.47595201062809999999999899
1775690057450,good,-66.41772075594834999999999975
1775690057450,realistic,-79.1245507484607500000000005
1775690057450,bad,-110.891625729741749999999999
1775690057450,ideal,-58.55999475981689999999999899
1775690057450,good,-66.50180551810914999999999975
1775690057450,realistic,-79.2087027313767500000000005
1775690057450,bad,-110.975945764545749999999999
1775707932876,ideal,-58.90342552823609999999999899
1775707932876,good,-66.84540796757634999999999975
1775707932876,realistic,-79.5525798705207500000000005
1775707932876,bad,-111.320509627881749999999999
1775707932876,ideal,-59.00982104308409999999999899
1775707932876,good,-66.95185666954434999999999975
1775707932876,realistic,-79.6591136718807500000000005
1775707932876,bad,-111.427256177721749999999999
1775707985924,ideal,-59.09976498077459999999999899
1775707985924,good,-67.04184557021109999999999975
1775707985924,realistic,-79.7491745133095000000000005
1775707985924,bad,-111.517496871055499999999999
1775710979725,ideal,-66.49177722642579999999999899
1775710979725,good,-75.11775906999029999999999975
1775710979725,realistic,-88.9193300196935000000000005
1775710979725,bad,-123.423257393951499999999999
1775710979725,ideal,-69.45162111789399999999999899
1775710979725,good,-78.35751854262899999999999975
1775710979725,realistic,-92.6069544222050000000000005
1775710979725,bad,-128.230544121144999999999999
1775710979725,ideal,-69.65996419133399999999999899
1775710979725,good,-78.58513729966899999999999975
1775710979725,realistic,-92.8654142730050000000000005
1775710979725,bad,-128.566106706344999999999999
1775710979725,ideal,-69.78051336240309999999999899
1775710979725,good,-78.71686651216084999999999975
1775710979725,realistic,-93.0150315517732500000000005
1775710979725,bad,-128.760444150804249999999999
1775711389583,ideal,-69.91504931982909999999999899
1775711389583,good,-78.85133518815184999999999975
1775711389583,realistic,-93.1493925774682500000000005
1775711389583,bad,-128.894536050759249999999999
1775711389583,ideal,-70.23032173673229999999999899
1775711389583,good,-79.16644993731304999999999975
1775711389583,realistic,-93.4642550582422500000000005
1775711389583,bad,-129.208767860565249999999999
1775711702134,ideal,-72.59316483161469999999999899
1775711702134,good,-81.72798679940144999999999975
1775711702134,realistic,-96.3437019478602500000000005
1775711702134,bad,-132.882989819007249999999999
1775713247985,ideal,-73.88139966056139999999999899
1775713247985,good,-83.01686561696489999999999975
1775713247985,realistic,-97.6336111472105000000000005
1775713247985,bad,-134.175474972824499999999999
1775713247985,ideal,-73.94340500415039999999999899
1775713247985,good,-83.07890195702639999999999975
1775713247985,realistic,-97.6956970816280000000000005
1775713247985,bad,-134.237684893131999999999999
1775714076879,ideal,-76.6375197297494030674846616
1775714076879,good,-86.16721759650788006134969296
1775714076879,realistic,-101.4147341833214432515337428
1775714076879,bad,-139.533525650355351226993864
1775714076879,ideal,-79.49228055211161411042944691
1775714076879,good,-89.43810616186150828220858862
1775714076879,realistic,-105.3514271374613389570552152
1775714076879,bad,-145.1347295764609156441717781
1775714076879,ideal,-80.96495019244599999999999907
1775714076879,good,-91.10353142106099999999999964
1775714076879,realistic,-107.3252613868450000000000005
1775714076879,bad,-147.879586301304999999999999
1775714076879,ideal,-80.96998353991419999999999907
1775714076879,good,-91.10856728469969999999999964
1775714076879,realistic,-107.3303012763565000000000005
1775714076879,bad,-147.884636255498499999999999
1775714076879,ideal,-80.97675322658079999999999907
1775714076879,good,-91.11534035553279999999999964
1775714076879,realistic,-107.3370797618560000000000005
1775714076879,bad,-147.891428277663999999999999
1775714076879,ideal,-81.27184213256079999999999907
1775714076879,good,-91.41057677646279999999999964
1775714076879,realistic,-107.6325522067060000000000005
1775714076879,bad,-148.187490782313999999999999
1775714989663,ideal,-86.98498630209069999999999907
1775714989663,good,-97.80253099606744999999999964
1775714989663,realistic,-115.1106025064302500000000005
1775714989663,bad,-158.380781282337249999999999
1775734480535,ideal,-102.6998610720554801056338025
1775734480535,good,-116.5117293243090571302816884
1775734480535,realistic,-138.6107185279147803697183118
1775734480535,bad,-193.8581915369290884683098584
1775734480535,ideal,-99.87279262676582918538840373
1775734480535,good,-114.1447194657109230812019338
1775734480535,realistic,-136.9798024080230733145035878
1775734480535,bad,-194.0675097638034488977577111
1775734480535,ideal,-96.49885644184908010563380251
1775734480535,good,-111.3198355385866571302816883
1775734480535,realistic,-135.0334020933667803697183117
1775734480535,bad,-194.3173184803170884683098583
1775734586172,ideal,-96.39459168730068010563380251
