ts,profile,equity
1775698217013,ideal,-0.0055226043
1775698217013,good,-0.00552536505
1775698217013,realistic,-0.00552978225
1775698217013,bad,-0.00554082525
1775698218488,ideal,-0.01583146566
1775698218488,good,-0.01583937981
1775698218488,realistic,-0.01585204245
1775698218488,bad,-0.01588369905
1775698219026,ideal,-0.02356311168
1775698219026,good,-0.02357489088
1775698219026,realistic,-0.0235937376
1775698219026,bad,-0.0236408544
1775698234337,ideal,-0.110452086
1775698234337,good,-0.110507301
1775698234337,realistic,-0.110595645
1775698234337,bad,-0.110816505
