ts,profile,equity
1775658112873,ideal,-0.188123612751
1775658112873,good,-0.1880295321285
1775658112873,realistic,-0.1878790031325
1775658112873,bad,-0.1875026806425
1775658113006,ideal,-0.401878463229
1775658113006,good,-0.4016774838015
1775658113006,realistic,-0.4013559167175
1775658113006,bad,-0.4005519990075
1775658120918,ideal,-0.532476988299
1775658120918,good,-0.5322106965465
1775658120918,realistic,-0.5317846297425
1775658120918,bad,-0.5307194627325
1775658158890,ideal,-0.58624952145516
1775658158890,good,-0.58601011059306
1775658158890,realistic,-0.5856270532137
1775658158890,bad,-0.5846694097653
1775658195983,ideal,-0.03330348716242430517711161
1775658195983,good,-0.356282622516713950953678502
1775658195983,realistic,-0.873049239083577384196185168
1775658195983,bad,-2.164965780500735967302452435
1775658208504,ideal,-1.10549749646422430517711161
1775658208504,good,-1.427940427573013950953678502
1775658208504,realistic,-1.943849117347077384196185168
1775658208504,bad,-3.233620841782235967302452435
1775658325823,ideal,-1.13293845260803430517711161
1775658325823,good,-1.455395101451348950953678502
1775658325823,realistic,-1.971325739600652384196185168
1775658325823,bad,-3.261152334973910967302452435
1775658327045,ideal,-1.27045147971403430517711161
1775658327045,good,-1.592976871322348950953678502
1775658327045,realistic,-2.109017497895652384196185168
1775658327045,bad,-3.399119064328910967302452435
1775658338033,ideal,-1.89889296627403430517711161
1775658338033,good,-2.221104074282348950953678502
1775658338033,realistic,-2.736641847095652384196185168
1775658338033,bad,-4.025486279128910967302452435
1775658366649,ideal,-1.92438634257883430517711161
1775658366649,good,-2.246584701349148950953678502
1775658366649,realistic,-2.762102075381652384196185168
1775658366649,bad,-4.050895510462910967302452435
1775658400827,ideal,-1.95220189245601430517711161
1775658400827,good,-2.274386340669278950953678502
1775658400827,realistic,-2.789881457810502384196185168
1775658400827,bad,-4.078619250663560967302452435
1775658420261,ideal,-1.97154082389601430517711161
1775658420261,good,-2.293715600709278950953678502
1775658420261,realistic,-2.809195243610502384196185168
1775658420261,bad,-4.097894350863560967302452435
1775658430684,ideal,-1.97694175356595430517711161
1775658430684,good,-2.299119230304068950953678502
1775658430684,realistic,-2.814603193085052384196185168
1775658430684,bad,-4.103313100037510967302452435
1775658430883,ideal,-2.14125741287650430517711161
1775658430883,good,-2.463517031015993950953678502
1775658430883,realistic,-2.979132420039177384196185168
1775658430883,bad,-4.268170892597135967302452435
1775658478068,ideal,-2.25746077140100430517711161
1775658478068,good,-2.579778479601743950953678502
1775658478068,realistic,-3.095486812722927384196185168
1775658478068,bad,-4.384757645525885967302452435
1775658486322,ideal,-2.643139047318313765926958334
1775658486322,good,-3.590097637067404427176244956
1775658486322,realistic,-5.105231380665949485175102026
1775658486322,bad,-8.893065739662312130172248795
1775658554384,ideal,-2.702093257802713765926958334
1775658554384,good,-3.649081318762804427176244956
1775658554384,realistic,-5.164262216298949485175102026
1775658554384,bad,-8.952214460139312130172248795
1775658561077,ideal,-2.720864351270713765926958334
1775658561077,good,-3.667861795900804427176244956
1775658561077,realistic,-5.183057707308949485175102026
1775658561077,bad,-8.971047485829312130172248795
1775658561077,ideal,-2.757674007729913765926958334
