ts,profile,equity
1775658643348,ideal,-0.0198091090296
1775658643348,good,-0.0198190116036
1775658643348,realistic,-0.019834855722
1775658643348,bad,-0.019874466018
1775658690772,ideal,-5.99057985219516
1775658690772,good,-5.99357454318306
1775658690772,realistic,-5.9983660487637
1775658690772,bad,-6.0103448127153
1775658690772,ideal,-6.5531022018687
1775658690772,good,-6.55637809779045
1775658690772,realistic,-6.56161953126525
1775658690772,bad,-6.57472311495225
1775658794820,ideal,-7.11562121142435
1775658794820,good,-7.119178310610225
1775658794820,realistic,-7.124869669307625
1775658794820,bad,-7.139098066051125
1775658796772,ideal,-7.67807165651985
1775658796772,good,-7.681909924694475
1775658796772,realistic,-7.688051153773875
1775658796772,bad,-7.703404226472375
1775658796772,ideal,-7.80482145281013
1775658796772,good,-7.808723083210455
1775658796772,realistic,-7.814965691850975
1775658796772,bad,-7.830572213452275
1775658801579,ideal,-15.99634185419511
1775658801579,good,-16.004338425807885
1775658801579,realistic,-16.017132940388325
1775658801579,bad,-16.049119226839425
1775658801579,ideal,-16.55886086375076
1775658801579,good,-16.56713863862766
1775658801579,realistic,-16.5803830784307
1775658801579,bad,-16.6134941779383
1775658882666,ideal,-17.12138055159204
1775658882666,good,-17.12993953007214
1775658882666,realistic,-17.1436338956403
1775658882666,bad,-17.1778698095607
1775658883418,ideal,-18.79701976642284
1775658883418,good,-18.80641639697994
1775658883418,realistic,-18.8214510058713
1775658883418,bad,-18.8590375280997
1775658883686,ideal,-19.99939940576514
1775658883686,good,-20.00939710592799
1775658883686,realistic,-20.02539342618855
1775658883686,bad,-20.06538422683995
1775658883971,ideal,-21.19273759667934
1775658883971,good,-21.20333184662769
1775658883971,realistic,-21.22028264654505
1775658883971,bad,-21.26265964633845
1775658884219,ideal,-22.38345033610824
1775658884219,good,-22.39463982337884
1775658884219,realistic,-22.4125430030118
1775658884219,bad,-22.4573009520942
1775658884545,ideal,-23.53926611704104
1775658884545,good,-23.55103339664364
1775658884545,realistic,-23.5698610440078
1775658884545,bad,-23.6169301624182
1775658884749,ideal,-24.62896946513124
1775658884749,good,-24.64128148745934
1775658884749,realistic,-24.6609807231843
1775658884749,bad,-24.7102288124967
1775658885012,ideal,-25.73101802126934
1775658885012,good,-25.74388095769269
1775658885012,realistic,-25.76446165597005
1775658885012,bad,-25.81591340166345
1775658885228,ideal,-26.49949325708364
1775658885228,good,-26.51274035429274
1775658885228,realistic,-26.5339357098273
1775658885228,bad,-26.5869240986637
1775658885569,ideal,-27.24960895272414
1775658885569,good,-27.26323103278449
1775658885569,realistic,-27.28502636088105
1775658885569,bad,-27.33951468112245
1775658885772,ideal,-28.56127600267794
1775658885772,good,-28.57555378512279
1775658885772,realistic,-28.59839823703455
1775658885772,bad,-28.65550936681395
1775658885914,ideal,-29.86348131916344
1775658885914,good,-29.87841007407204
1775658885914,realistic,-29.9022960819258
1775658885914,bad,-29.9620111015602
1775658886187,ideal,-31.06039459295124
1775658886187,good,-31.07592168482934
1775658886187,realistic,-31.1007650318343
1775658886187,bad,-31.1628733993467
1775658886477,ideal,-32.26617641309364
1775658886477,good,-32.28230627532774
1775658886477,realistic,-32.3081140549023
1775658886477,bad,-32.3726335038387
1775658886795,ideal,-33.46012907137674
1775658886795,good,-33.47685579056859
1775658886795,realistic,-33.50361854127555
1775658886795,bad,-33.57052541804295
1775658886931,ideal,-34.57844904264714
1775658886931,good,-34.59573481001499
1775658886931,realistic,-34.62339203780355
1775658886931,bad,-34.69253510727495
1775658887280,ideal,-35.20678581787374
1775658887280,good,-35.22438569080809
